TEMPEST_ACCOUNT_NO,HOUSE_NO,STREET,CRE_DATE,MOD_DATE,Latitude,Longitude
349652,13552,22A AVE,,,49.042838,-122.846716
349778,2076,INDIAN FORT DR,,,49.040130,-122.879013
349860,12449,22 AVE,,,49.042794,-122.876966
349922,2117,OCEAN FOREST DR,,,49.040779,-122.876899
349963,12664,22 AVE,,,49.042408,-122.871471
350008,1876,OCEAN PARK RD,,,49.036323,-122.876492
350076,1953,OCEAN WIND DR,,,49.037610,-122.876677
350092,12470,20 AVE,,,49.039006,-122.877171
350123,12597,22 AVE,,,49.042749,-122.872938
334628,10588,131A ST,,,49.195171,-122.857803
334629,10499,132 ST,,,49.193539,-122.856709
334630,10476,128 ST,,,49.193197,-122.867471
334645,13425,104 AVE,,,49.197577,-122.850256
334678,10711,132A ST,,,49.197327,-122.855399
358599,5621,156 ST,,,49.104705,-122.790156
358611,5969,156 ST,,,49.110946,-122.790071
358634,15429,KILDARE DR,,,49.111276,-122.794513
358750,6162,KILLARNEY DR,,,49.114599,-122.797658
358754,6086,KILLARNEY DR,,,49.113303,-122.796318
358781,16724,57A AVE,,,49.107100,-122.758760
358799,5763,167 ST,,,49.107710,-122.759980
358813,5828,167A ST,,,49.108591,-122.757792
358814,5818,167A ST,,,49.108436,-122.757791
358815,5845,168 ST,,,49.108716,-122.756864
358816,5839,168 ST,,,49.108579,-122.756864
358817,5833,168 ST,,,49.108431,-122.756881
358818,5827,168 ST,,,49.108287,-122.756864
358854,16646,63 AVE,,,49.116375,-122.761426
358860,16658,63 AVE,,,49.116372,-122.761015
358862,16558,63 AVE,,,49.116395,-122.763640
358864,16577,62A AVE,,,49.115784,-122.763223
358912,6111,166A ST,,,49.113876,-122.760889
358932,6222,167A ST,,,49.115126,-122.758855
358935,6260,167A ST,,,49.115802,-122.758847
358938,6292,167A ST,,,49.116328,-122.758856
358958,6232,166A ST,,,49.115299,-122.761336
359024,15272,66 AVE,,,49.122417,-122.798894
359037,6502,152 ST,,,49.120873,-122.800699
359051,14975,67A AVE,,,49.125637,-122.807269
359052,6584,148 ST,,,49.122512,-122.811937
359055,14955,66A AVE,,,49.123679,-122.807934
359057,14976,68 AVE,,,49.126252,-122.807269
359058,6736,151A ST,,,49.124813,-122.802339
359062,6789,150 ST,,,49.126185,-122.806788
360354,14331,71 AVE,,,49.131982,-122.825494
360355,14378,72 AVE,,,49.133550,-122.824181
360356,6878,142 ST,,,49.127664,-122.828576
360357,14125,68 AVE,,,49.126364,-122.830891
360359,7028,140 ST,,,49.130426,-122.834231
360362,14242,69A AVE,,,49.128958,-122.827834
360364,7034,140 ST,,,49.130590,-122.834232
360368,14332,71 AVE,,,49.131672,-122.825033
360370,7107,143A ST,,,49.132021,-122.824995
360371,7148,143A ST,,,49.132926,-122.824707
360378,14338,71 AVE,,,49.131645,-122.824764
360380,7115,143A ST,,,49.132206,-122.824996
360381,14245,69A AVE,,,49.129248,-122.827513
360382,14191,68 AVE,,,49.126359,-122.829105
360389,7132,143A ST,,,49.132521,-122.824559
360390,7123,143A ST,,,49.132392,-122.824996
360398,6838,142A ST,,,49.127080,-122.827130
360400,7131,143A ST,,,49.132578,-122.824997
360401,7153,144 ST,,,49.132847,-122.823569
360402,14261,69A AVE,,,49.129255,-122.827023
360408,7093,144 ST,,,49.131771,-122.823572
360409,14320,71A AVE,,,49.132611,-122.825505
360410,7165,144 ST,,,49.133013,-122.823574
360413,14284,71 AVE,,,49.131661,-122.826571
360417,7085,144 ST,,,49.131610,-122.823574
360418,7118,143A ST,,,49.132076,-122.824557
360419,7177,144 ST,,,49.133183,-122.823565
360429,14306,71A AVE,,,49.132606,-122.825974
360430,7189,144 ST,,,49.133352,-122.823567
360431,14287,69A AVE,,,49.129266,-122.826432
360433,7106,140 ST,,,49.131741,-122.834243
360434,7160,142 ST,,,49.132926,-122.828678
360437,7069,144 ST,,,49.131284,-122.823572
360438,14303,71A AVE,,,49.132876,-122.825961
360439,14287,69 AVE,,,49.128368,-122.826564
360444,14389,70A AVE,,,49.131064,-122.823786
360449,6849,142A ST,,,49.127213,-122.827540
360450,14249,70 AVE,,,49.130130,-122.827442
360451,14319,71A AVE,,,49.132881,-122.825436
360454,14239,71A AVE,,,49.132894,-122.827817
360457,14363,70A AVE,,,49.131145,-122.824459
360458,14327,71A AVE,,,49.132875,-122.825188
360464,14357,70A AVE,,,49.131154,-122.824706
360467,6944,143A ST,,,49.128967,-122.824536
360468,6873,142A ST,,,49.127701,-122.827541
360470,14348,72 AVE,,,49.133544,-122.824933
360474,14344,69A AVE,,,49.128926,-122.824721
360475,7005,143 ST,,,49.130132,-122.826289
360476,14333,70A AVE,,,49.131133,-122.825211
360477,14336,72 AVE,,,49.133542,-122.825214
360479,7075,142 ST,,,49.131331,-122.829082
360482,7019,143 ST,,,49.130330,-122.826289
360483,14325,70A AVE,,,49.131104,-122.825462
360484,14016,72 AVE,,,49.133475,-122.833876
360487,14235,68 AVE,,,49.126329,-122.827839
359448,14308,HYLAND RD,,,49.124956,-122.825887
359449,6672,142A ST,,,49.123963,-122.827245
359457,6649,142A ST,,,49.123449,-122.827593
359458,14158,65 AVE,,,49.121236,-122.830484
359461,14357,67A AVE,,,49.125452,-122.824407
359462,6477,141A ST,,,49.120972,-122.830992
359465,14343,67A AVE,,,49.125604,-122.824791
359466,6483,141A ST,,,49.121089,-122.830993
359467,14166,66A AVE,,,49.123706,-122.829558
359468,14262,HYLAND RD,,,49.125307,-122.827139
359470,14158,66A AVE,,,49.123706,-122.829799
359471,14246,HYLAND RD,,,49.125358,-122.827396
359472,6505,141A ST,,,49.121330,-122.830993
359473,14152,66A AVE,,,49.123705,-122.830061
359474,14234,HYLAND RD,,,49.125402,-122.827647
359475,6511,141A ST,,,49.121449,-122.830993
359476,14144,66A AVE,,,49.123702,-122.830313
359478,14218,HYLAND RD,,,49.125471,-122.828145
359479,6539,141A ST,,,49.121697,-122.830993
359483,6520,141A ST,,,49.121586,-122.830657
359486,6510,141A ST,,,49.121467,-122.830657
359487,14217,67 AVE,,,49.124899,-122.828256
359488,6519,141B ST,,,49.121469,-122.829998
359489,14225,67 AVE,,,49.124885,-122.827977
359490,6525,141B ST,,,49.121592,-122.829998
359491,6681,141A ST,,,49.124274,-122.830178
340963,11972,98 AVE,,,49.180721,-122.890939
340966,9791,120 ST,,,49.180703,-122.890409
340967,11639,98A AVE,,,49.181905,-122.900207
340977,9767,120 ST,,,49.180269,-122.890404
340980,9759,120 ST,,,49.180125,-122.890398
340986,11755,97A AVE,,,49.180101,-122.896982
340989,9890,119A ST,,,49.182355,-122.891436
340996,9939,119A ST,,,49.183318,-122.892429
340998,11893,99 AVE,,,49.182819,-122.893025
341004,11628,98A AVE,,,49.181615,-122.900418
341008,11650,98A AVE,,,49.181615,-122.899792
341010,11970,97 AVE,,,49.178912,-122.890945
341012,11798,98A AVE,,,49.181623,-122.895667
341013,9693,120 ST,,,49.178895,-122.890369
341015,9687,120 ST,,,49.178750,-122.890370
341019,9679,120 ST,,,49.178606,-122.890370
341025,11846,98A AVE,,,49.181626,-122.894410
341030,11949,96 AVE,,,49.177284,-122.891581
341032,11736,96A AVE,,,49.178001,-122.897513
341036,11933,96 AVE,,,49.177286,-122.891993
341038,11925,96 AVE,,,49.177286,-122.892203
341039,11923,96 AVE,,,49.177286,-122.892412
341041,11919,96 AVE,,,49.177285,-122.892621
341047,11863,96 AVE,,,49.177283,-122.894223
341048,11861,96 AVE,,,49.177282,-122.894432
341055,11926,97A AVE,,,49.179815,-122.892184
341056,11831,96 AVE,,,49.177282,-122.895059
341058,11819,96 AVE,,,49.177281,-122.895269
341060,11705,96 AVE,,,49.177276,-122.898349
341061,11829,98 AVE,,,49.181006,-122.894834
341062,11809,96 AVE,,,49.177281,-122.895478
341063,11709,96 AVE,,,49.177277,-122.898139
341065,11801,96 AVE,,,49.177281,-122.895687
341067,11723,96 AVE,,,49.177277,-122.897721
341069,11853,98 AVE,,,49.181007,-122.894206
341070,11861,98 AVE,,,49.181008,-122.893997
341072,9743,120 ST,,,49.179794,-122.890384
341073,11778,96A AVE,,,49.178005,-122.896319
341079,11765,96 AVE,,,49.177279,-122.896676
341082,11895,98 AVE,,,49.181015,-122.893026
341083,11903,98 AVE,,,49.181007,-122.892819
341085,11911,98 AVE,,,49.181009,-122.892606
341090,11957,97 AVE,,,49.179201,-122.891361
341092,11949,97 AVE,,,49.179201,-122.891570
341097,11606,97 AVE,,,49.178899,-122.900916
341098,11622,97 AVE,,,49.178900,-122.900611
342913,16423,10 AVE,,,49.020339,-122.767679
338094,9660,120A ST,,,49.178145,-122.888553
338095,9860,120A ST,,,49.181853,-122.888547
338099,9860,123 ST,,,49.181838,-122.881657
338103,9841,123 ST,,,49.181479,-122.882099
338107,12255,97A AVE,,,49.179929,-122.883045
338114,9852,123 ST,,,49.181657,-122.881658
338115,9746,123 ST,,,49.179763,-122.881664
338118,12195,98 AVE,,,49.180924,-122.884787
338120,9842,120A ST,,,49.181491,-122.888548
338127,12326,99A AVE,,,49.183287,-122.881115
338128,12199,98 AVE,,,49.180923,-122.884495
338129,9960,120 ST,,,49.183418,-122.889920
338130,9826,120 ST,,,49.181311,-122.889924
338135,9828,123 ST,,,49.181296,-122.881660
338140,12202,98A AVE,,,49.181537,-122.884483
338149,12304,99A AVE,,,49.183288,-122.881772
335271,14306,108 AVE,,,49.198613,-122.825612
360666,6913,144 ST,,,49.128389,-122.823590
360667,14298,72 AVE,,,49.133535,-122.825975
360668,6893,144 ST,,,49.128205,-122.823590
360673,7065,141A ST,,,49.131208,-122.830545
360683,14264,72 AVE,,,49.133512,-122.826819
360684,14252,71A AVE,,,49.132570,-122.827298
360685,14254,71A AVE,,,49.132574,-122.827170
360686,14297,71 AVE,,,49.131980,-122.826306
360687,14299,71 AVE,,,49.131983,-122.826214
360688,6638,134 ST,,,49.123450,-122.825197
360690,6490,135 ST,,,49.120583,-122.848012
360692,6751,133 ST,,,49.125349,-122.854588
359492,6533,141B ST,,,49.121706,-122.829998
359493,6690,142 ST,,,49.124563,-122.878763
359494,6689,141A ST,,,49.124438,-122.830165
359495,6538,141B ST,,,49.121704,-122.829676
359497,6522,141B ST,,,49.121585,-122.829676
359499,14050,68 AVE,,,49.126048,-122.832963
359500,14134,67 AVE,,,49.124516,-122.830679
359501,6518,141B ST,,,49.121465,-122.829676
359504,14271,67 AVE,,,49.124624,-122.826804
359505,14124,67 AVE,,,49.124645,-122.830953
359508,14291,67 AVE,,,49.124486,-122.826217
359509,14121,67 AVE,,,49.124938,-122.830737
359515,14264,67 AVE,,,49.124398,-122.826839
359517,6692,141A ST,,,49.124693,-122.829809
359518,6680,142A ST,,,49.124128,-122.827270
359520,6682,141A ST,,,49.124356,-122.829812
359522,6674,141A ST,,,49.124186,-122.829812
359525,14208,67 AVE,,,49.124676,-122.828525
359526,6676,142 ST,,,49.124124,-122.828594
359541,14070,66A AVE,,,49.123437,-122.832591
359548,14035,66A AVE,,,49.123722,-122.833337
359551,14079,66A AVE,,,49.123691,-122.832409
359567,6704,141 ST,,,49.124402,-122.831833
359582,14044,HYLAND RD,,,49.125237,-122.833144
359591,14349,66A AVE,,,49.123776,-122.824692
359593,14353,66 AVE,,,49.122877,-122.824435
359600,14379,66A AVE,,,49.123797,-122.823973
359602,14396,66A AVE,,,49.123559,-122.823825
339043,9782,130 ST,,,49.180535,-122.862098
339044,13020,98 AVE,,,49.180648,-122.861718
339045,9772,130 ST,,,49.180297,-122.862067
339046,9771,130A ST,,,49.180289,-122.861141
339047,9762,130 ST,,,49.180104,-122.862076
339048,13011,96A AVE,,,49.178099,-122.862068
339049,13023,96A AVE,,,49.178085,-122.861741
339050,13034,96A AVE,,,49.177867,-122.861483
339055,13025,96 AVE,,,49.177311,-122.861661
339056,13033,96 AVE,,,49.177309,-122.861409
339061,13038,98 AVE,,,49.180644,-122.861155
339067,9637,131 ST,,,49.177828,-122.859852
339068,13066,96A AVE,,,49.177810,-122.860759
339070,9707,131 ST,,,49.178963,-122.859746
339071,13071,96 AVE,,,49.177289,-122.860370
339072,13075,96 AVE,,,49.177285,-122.860227
339074,9761,130A ST,,,49.180109,-122.861150
339075,9763,130A ST,,,49.180109,-122.861150
339077,9780,128 ST,,,49.180447,-122.867501
339081,9750,128 ST,,,49.179919,-122.867518
339084,12876,96B AVE,,,49.178421,-122.865143
339092,9790,128A ST,,,49.180620,-122.866101
339093,12847,96A AVE,,,49.177917,-122.866582
339103,12838,96B AVE,,,49.178433,-122.866842
339106,12882,100 AVE,,,49.184270,-122.865392
339108,12994,100 AVE,,,49.184259,-122.862491
342730,1555,134A ST,,,49.030510,-122.849569
342737,13480,15A AVE,,,49.030206,-122.848713
342740,13525,15 AVE,,,49.029604,-122.847217
342752,1591,132B ST,,,49.031052,-122.854712
342770,1437,133A ST,,,49.028301,-122.853287
342781,13317,15B AVE,,,49.030876,-122.853261
342800,13330,14A AVE,,,49.028526,-122.852795
342816,13273,MARINE DR,,,49.027047,-122.854161
342840,1343,132B ST,,,49.026522,-122.854831
342854,820,164A ST,,,49.016896,-122.766498
342881,825,164A ST,,,49.016930,-122.766896
342909,867,165A ST,,,49.017816,-122.764311
352482,15473,27A AVE,,,49.052094,-122.793702
352505,15482,27A AVE,,,49.051809,-122.793614
352510,15526,27 AVE,,,49.050860,-122.792306
352518,15705,28 AVE,,,49.052985,-122.787402
352567,15853,28 AVE,,,49.052997,-122.783581
352577,15519,26 AVE,,,49.049348,-122.792432
352590,15430,27A AVE,,,49.051790,-122.795035
352597,2655,PARKWAY DR,,,49.050318,-122.796083
352607,15755,28 AVE,,,49.052982,-122.785203
352879,15210,29A AVE,,,49.055314,-122.800895
352893,2989,152A ST,,,49.056398,-122.799920
365754,7456,HURDLE CR,,,49.138489,-122.864998
363065,6436,121A ST,,,49.119938,-122.885751
363066,6659,124 ST,,,49.124028,-122.879201
363070,6670,124 ST,,,49.124259,-122.878817
363071,12335,64A AVE,,,49.120342,-122.880727
363072,6520,122 ST,,,49.121590,-122.884326
363073,12221,65A AVE,,,49.122202,-122.883986
363074,6577,124A ST,,,49.122318,-122.877645
363075,12293,64 AVE,,,49.119416,-122.882078
363076,12413,64A AVE,,,49.120461,-122.878475
363077,12640,68 AVE,,,49.126488,-122.872348
363078,6625,124A ST,,,49.123484,-122.877690
363079,6769,128 ST,,,49.126052,-122.868017
363082,6568,125A ST,,,49.122352,-122.874929
363083,6659,127A ST,,,49.123785,-122.869688
363085,12095,64 AVE,,,49.119477,-122.887571
363088,6446,121A ST,,,49.120105,-122.885750
363089,6546,121A ST,,,49.121985,-122.885747
363090,6669,124 ST,,,49.124220,-122.879202
363091,6650,122 ST,,,49.123907,-122.884473
363093,6738,124 ST,,,49.125446,-122.878763
363094,6662,124 ST,,,49.124101,-122.878772
363095,12321,64A AVE,,,49.120303,-122.881104
363096,12228,64A AVE,,,49.120055,-122.883704
363097,6510,122 ST,,,49.121377,-122.884334
363098,12211,65A AVE,,,49.122209,-122.884262
363099,6563,124A ST,,,49.122147,-122.877641
363100,12425,64A AVE,,,49.120443,-122.878226
363101,6433,124A ST,,,49.120037,-122.877624
363103,12650,68 AVE,,,49.126485,-122.872131
363105,12733,67A AVE,,,49.125239,-122.869627
363106,12732,67B AVE,,,49.125740,-122.869636
363107,6560,125A ST,,,49.122217,-122.874929
363108,6653,127A ST,,,49.123657,-122.869689
363113,6456,121A ST,,,49.120272,-122.885750
363114,6679,124 ST,,,49.124412,-122.879202
363115,6647,124A ST,,,49.123856,-122.877689
363117,6744,124 ST,,,49.125592,-122.878763
363118,12326,68 AVE,,,49.126516,-122.881416
363119,12313,64A AVE,,,49.120303,-122.881401
363120,6463,124 ST,,,49.120367,-122.879197
363121,12225,64A AVE,,,49.120342,-122.883699
363122,6578,122 ST,,,49.122528,-122.884354
363124,12433,64A AVE,,,49.120435,-122.877962
363125,6445,124A ST,,,49.120168,-122.877616
363126,6630,123 ST,,,49.123615,-122.881776
363127,12658,68 AVE,,,49.126485,-122.871904
363132,6552,125A ST,,,49.122084,-122.874929
363137,6689,124 ST,,,49.124604,-122.879202
363140,6752,124 ST,,,49.125737,-122.878763
363141,12318,68 AVE,,,49.126517,-122.881670
363142,6476,123 ST,,,49.120605,-122.881419
363144,6513,122A ST,,,49.121358,-122.883803
363145,12210,66 AVE,,,49.122834,-122.884249
363146,6541,124A ST,,,49.121873,-122.877621
363148,6635,123 ST,,,49.123616,-122.881974
363149,12662,68 AVE,,,49.126485,-122.871691
363151,12751,67A AVE,,,49.125236,-122.869215
363152,6546,125A ST,,,49.121940,-122.874929
363153,12757,66A AVE,,,49.123686,-122.869311
363155,6680,121A ST,,,49.124473,-122.885866
363156,6470,121A ST,,,49.120607,-122.885749
363158,6699,124 ST,,,49.124796,-122.879202
363160,12224,68 AVE,,,49.126549,-122.884230
363161,6634,124 ST,,,49.123655,-122.878774
363162,6482,123 ST,,,49.120693,-122.881454
363163,6437,124 ST,,,49.120012,-122.879201
363164,6479,122A ST,,,49.120690,-122.883436
363165,12218,66 AVE,,,49.122830,-122.883966
325409,14612,106A AVE,,,49.195879,-122.817268
325413,14431,105A AVE,,,49.194129,-122.822310
325414,14650,107A AVE,,,49.197682,-122.816250
325416,14620,106A AVE,,,49.195877,-122.817006
325417,10442,144 ST,,,49.192285,-122.822846
325420,14575,105A AVE,,,49.194100,-122.818390
325423,14632,106A AVE,,,49.195876,-122.816744
325425,14447,104A AVE,,,49.192877,-122.821790
325441,14668,106A AVE,,,49.195871,-122.815959
325449,14433,106 AVE,,,49.195328,-122.822277
325458,14710,108 AVE,,,49.198578,-122.814862
325466,14722,106A AVE,,,49.195864,-122.814649
325471,14700,107 AVE,,,49.196772,-122.815161
325477,14688,107 AVE,,,49.196773,-122.815433
325480,10760,146 ST,,,49.198026,-122.817266
325483,10770,146 ST,,,49.198209,-122.817260
325485,14547,105A AVE,,,49.194104,-122.819018
325498,14673,107A AVE,,,49.198003,-122.815627
325501,14683,107A AVE,,,49.198002,-122.815351
325506,14761,106 AVE,,,49.195278,-122.813605
325507,14715,107A AVE,,,49.197998,-122.814799
325522,14699,106 AVE,,,49.195287,-122.815176
323386,11240,159A ST,,,49.207198,-122.779690
323396,16363,112 AVE,,,49.206293,-122.768511
323400,16303,113B AVE,,,49.209447,-122.773332
323406,16267,112 AVE,,,49.206264,-122.771612
323411,16221,112 AVE,,,49.206250,-122.772974
323415,11255,162 ST,,,49.206903,-122.774195
323469,16448,110 AVE,,,49.202366,-122.766377
323486,16745,108 AVE,,,49.199023,-122.757955
323489,16739,108 AVE,,,49.199022,-122.758184
323495,16670,108A AVE,,,49.199541,-122.760124
323509,10859,166A ST,,,49.199884,-122.760529
323514,16722,108A AVE,,,49.199547,-122.758647
323518,10879,166A ST,,,49.200358,-122.760527
323520,16738,108A AVE,,,49.199549,-122.758179
323521,10885,166A ST,,,49.200483,-122.760526
323532,10921,166A ST,,,49.201337,-122.760523
323534,10929,166A ST,,,49.201493,-122.760521
323553,16729,108A AVE,,,49.199768,-122.758465
323563,10900,166A ST,,,49.200866,-122.760189
323568,10884,166A ST,,,49.200591,-122.760190
323574,10866,166A ST,,,49.200085,-122.760196
323576,10860,166A ST,,,49.199977,-122.760209
323580,10905,168 ST,,,49.200906,-122.758508
323582,16743,109 AVE,,,49.200682,-122.758649
323586,10915,168 ST,,,49.201079,-122.758722
323587,10925,168 ST,,,49.201192,-122.758848
323605,16536,108A AVE,,,49.199535,-122.763868
323611,16466,108A AVE,,,49.199537,-122.765516
323614,16497,108A AVE,,,49.199748,-122.764568
323625,16475,109 AVE,,,49.201339,-122.765040
323648,16558,109A AVE,,,49.201871,-122.763304
323661,16701,109 AVE,,,49.200427,-122.759412
323663,16590,108A AVE,,,49.199939,-122.762205
323668,10933,168 ST,,,49.201300,-122.758968
323669,10930,165B ST,,,49.201498,-122.762844
323670,10941,168 ST,,,49.201410,-122.759091
323671,10959,168 ST,,,49.201630,-122.759334
323672,10948,166A ST,,,49.201803,-122.759865
323673,11158,164 ST,,,49.204515,-122.767251
323681,11020,165B ST,,,49.203089,-122.762572
323696,11042,164A ST,,,49.203462,-122.765703
323698,16458,111 AVE,,,49.204112,-122.765468
323702,11044,168 ST,,,49.203711,-122.761187
323703,11050,168 ST,,,49.203823,-122.761474
323704,11056,168 ST,,,49.203962,-122.761726
323717,16180,112 AVE,,,49.205981,-122.773264
323718,16172,110 AVE,,,49.202326,-122.773872
323720,11172,160 ST,,,49.205646,-122.778479
323726,16098,110 AVE,,,49.202306,-122.776244
323733,16110,110 AVE,,,49.202309,-122.775946
323734,16188,110 AVE,,,49.202316,-122.773347
323738,16125,109A AVE,,,49.201825,-122.775680
323772,16099,110A AVE,,,49.203491,-122.775915
323790,16391,108 AVE,,,49.198973,-122.767806
350618,12681,27A AVE,,,49.052320,-122.870617
350635,12536,25A AVE,,,49.048848,-122.875397
350636,2665,126 ST,,,49.051059,-122.873290
350650,12533,25A AVE,,,49.049087,-122.875352
350689,2621,127A ST,,,49.050237,-122.869007
350692,2641,127A ST,,,49.050604,-122.869005
350707,2642,127 ST,,,49.050548,-122.869867
350743,12659,25 AVE,,,49.048266,-122.871198
350755,12523,25 AVE,,,49.048301,-122.875302
350769,12766,27A AVE,,,49.051769,-122.868290
350779,12561,25 AVE,,,49.048316,-122.874177
350783,12545,25 AVE,,,49.048296,-122.874986
350857,2438,123A ST,,,49.046570,-122.879542
350916,12645,BECKETT RD,,,49.054228,-122.871548
350917,12510,CRESCENT RD,,,49.053987,-122.875482
350922,12492,CRESCENT RD,,,49.053959,-122.875844
350927,2570,DOGWOOD DR,,,49.049298,-122.878628
350935,2654,132 ST,,,49.050422,-122.856218
350946,2710,132 ST,,,49.051435,-122.856226
350951,2693,133 ST,,,49.051383,-122.853709
351053,13118,CRESCENT RD,,,49.056260,-122.858829
351100,13284,CRESCENT RD,,,49.057415,-122.853842
351106,13575,BALSAM CR,,,49.058173,-122.846301
351109,13450,BALSAM CR,,,49.058033,-122.849688
351115,13565,WOODCREST DR,,,49.057544,-122.846530
351209,13707,27 AVE,,,49.051463,-122.842478
351247,2868,139 ST,,,49.054123,-122.837125
351341,3098,138 ST,,,49.058479,-122.839710
331080,15490,99A AVE,,,49.183223,-122.792897
331081,9735,153A ST,,,49.179448,-122.797065
331083,9747,153A ST,,,49.179650,-122.797052
331087,9777,153A ST,,,49.180306,-122.880727
331088,9748,153A ST,,,49.179631,-122.796547
331095,9627,154 ST,,,49.177409,-122.795731
331098,9671,154 ST,,,49.178274,-122.795715
335276,10712,140 ST,,,49.197239,-122.833864
335278,10738,141A ST,,,49.197729,-122.829693
335282,10722,141A ST,,,49.197411,-122.829694
335284,10671,141A ST,,,49.196484,-122.830195
335287,10758,140 ST,,,49.198060,-122.833861
335296,10725,141A ST,,,49.197482,-122.830189
335303,10640,141A ST,,,49.195959,-122.829702
335308,10620,141A ST,,,49.195554,-122.829705
335309,10785,141A ST,,,49.198534,-122.830115
335316,10715,142 ST,,,49.197265,-122.828729
335319,10695,142 ST,,,49.196919,-122.828753
335320,10708,141 ST,,,49.197142,-122.831091
335325,10661,142 ST,,,49.196262,-122.828758
335329,14220,108 AVE,,,49.198632,-122.827978
335332,14110,108 AVE,,,49.198689,-122.831027
335337,10644,141 ST,,,49.195991,-122.831098
335346,10660,142 ST,,,49.196260,-122.828263
335348,10606,142 ST,,,49.195322,-122.828285
335351,10638,140 ST,,,49.195874,-122.833840
335352,10650,140 ST,,,49.196071,-122.833839
335357,10735,142A ST,,,49.197569,-122.827423
335365,10655,142A ST,,,49.196089,-122.827438
335367,10605,142A ST,,,49.195348,-122.827445
335368,10489,144 ST,,,49.193071,-122.823336
335378,10649,141 ST,,,49.196277,-122.831592
335379,10657,141 ST,,,49.196441,-122.831591
335386,10759,141 ST,,,49.198085,-122.831581
335389,10747,144 ST,,,49.197753,-122.823791
335390,10651,144 ST,,,49.196090,-122.823288
335392,10737,144 ST,,,49.197761,-122.823283
335393,10657,144 ST,,,49.196190,-122.823715
335497,10473,144 ST,,,49.192805,-122.823835
335498,10471,144 ST,,,49.192744,-122.823832
335499,10573,144 ST,,,49.194459,-122.823820
335500,10571,144 ST,,,49.194459,-122.823820
335507,10563,144 ST,,,49.194406,-122.823324
335508,10561,144 ST,,,49.194406,-122.823324
335517,10609,144 ST,,,49.195330,-122.823292
335518,10607,144 ST,,,49.195330,-122.823292
335534,10091,141 ST,,,49.185895,-122.831598
335537,10189,141 ST,,,49.187137,-122.831596
335543,14297,103A AVE,,,49.190661,-122.826093
335546,14290,100A AVE,,,49.185032,-122.826184
335554,14109,100A AVE,,,49.185257,-122.830999
360516,7021,143A ST,,,49.130471,-122.825115
360518,6955,144 ST,,,49.129181,-122.823565
360519,14228,70A AVE,,,49.130785,-122.828216
360520,7017,143A ST,,,49.130350,-122.825104
360522,6947,144 ST,,,49.129028,-122.823565
360523,7001,143A ST,,,49.130278,-122.824963
360526,7028,142 ST,,,49.130481,-122.828657
360527,7002,143A ST,,,49.130275,-122.824761
360530,7010,143A ST,,,49.130310,-122.824612
360531,7054,141A ST,,,49.130998,-122.830103
360532,7006,142 ST,,,49.130061,-122.828646
360533,7018,143A ST,,,49.130427,-122.824543
360535,6992,142 ST,,,49.129826,-122.828646
360536,7026,143A ST,,,49.130580,-122.824649
360537,14066,71A AVE,,,49.132192,-122.832558
360539,6980,142 ST,,,49.129648,-122.828632
360540,7080,141A ST,,,49.131492,-122.830109
360541,14380,70A AVE,,,49.130835,-122.824226
360542,7102,140A ST,,,49.131708,-122.832899
360543,7090,141A ST,,,49.131656,-122.830111
360545,7035,144 ST,,,49.130614,-122.823571
360548,7023,144 ST,,,49.130451,-122.823571
360549,7130,141A ST,,,49.132149,-122.830116
360552,7140,141A ST,,,49.132559,-122.830120
360553,14080,71 AVE,,,49.131443,-122.832072
360559,14071,70 AVE,,,49.130075,-122.832493
360561,7005,140A ST,,,49.130101,-122.833251
360563,7035,140A ST,,,49.130594,-122.833256
360564,7045,140A ST,,,49.130759,-122.833257
360567,7075,140A ST,,,49.131252,-122.833262
360569,7111,140A ST,,,49.131910,-122.833268
360573,7178,140A ST,,,49.132959,-122.833007
360574,7172,140A ST,,,49.132892,-122.832852
360576,14075,71A AVE,,,49.132553,-122.832294
360577,14059,71A AVE,,,49.132425,-122.832846
360581,14106,72 AVE,,,49.133485,-122.831544
360584,14144,72 AVE,,,49.133494,-122.830492
360585,14135,71A AVE,,,49.132844,-122.830720
360589,14114,71A AVE,,,49.132462,-122.831299
361179,12890,64A AVE,,,49.119828,-122.864885
361180,12855,66B AVE,,,49.124081,-122.866371
361181,6570,128 ST,,,49.122214,-122.867570
361182,6678,128 ST,,,49.124283,-122.867554
361183,6550,128 ST,,,49.121704,-122.867598
361184,6460,128 ST,,,49.120224,-122.867540
343878,16453,18 AVE,,,49.034892,-122.766279
365756,13083,74 AVE,,,49.137486,-122.859798
365758,13091,74 AVE,,,49.137483,-122.859597
365760,7470,HURDLE CR,,,49.138661,-122.865502
365761,13099,74 AVE,,,49.137544,-122.859362
365762,7484,HURDLE CR,,,49.138814,-122.865761
365764,13107,74 AVE,,,49.137553,-122.859194
365765,13092,74 AVE,,,49.137215,-122.859621
365767,13115,74 AVE,,,49.137506,-122.859076
365770,13121,74 AVE,,,49.137425,-122.859077
365780,7552,HURDLE CR,,,49.139962,-122.866285
365782,7562,HURDLE CR,,,49.140126,-122.866287
365784,7580,HURDLE CR,,,49.140455,-122.866290
365786,7588,HURDLE CR,,,49.140620,-122.866291
365789,7495,HURDLE CR,,,49.138773,-122.866204
365790,7487,HURDLE CR,,,49.138641,-122.866110
365794,7457,HURDLE CR,,,49.138234,-122.865228
365796,7423,HURDLE CR,,,49.138135,-122.864485
