,,,"City of Surrey, BC",Surrey,Surrey,"Greater Vancouver, Regional district , BC",GVRD,GVRD,British Columbia [Province],BC,BC
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 100% data,,397735,195290,202440,1978485,957500,1020990,3727360,1815500,1911860
Income of individuals in 2015,    Median total income in 2015 among recipients ($),,29822,36533,24663,32612,38879,27793,33012,40370,27543
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,,398230,195735,202495,1981210,959985,1021225,3731980,1819375,1912600
Income of individuals in 2015,    Median after-tax income in 2015 among recipients ($),,27200,32228,23441,29422,34038,25878,29783,35383,25659
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 100% data,,349505,176850,172655,1781275,875745,905525,3363310,1665225,1698085
Income of individuals in 2015,    Median market income in 2015 among recipients ($),,29979,37122,23748,32645,39631,26888,31585,39557,25304
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 100% data,,285365,122180,163185,1370155,582530,787620,2628215,1140195,1488025
Income of individuals in 2015,    Median government transfers in 2015 among recipients ($),,3266,1478,4330,2459,1246,3359,4592,3717,4920
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 100% data,,301705,156635,145070,1487050,752840,734210,2775010,1415295,1359715
Income of individuals in 2015,    Median employment income in 2015 among recipients ($),,30804,37394,25015,33621,40050,28268,31713,39186,26034
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,22,419065,205530,213540,2064615,998830,1065780,3870375,1882770,1987605
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 25% sample data,,397880,195320,202560,1978880,957440,1021440,3727715,1815380,1912335
Income of individuals in 2015,    Average total income in 2015 among recipients ($),,39978,47640,32589,46821,55848,38360,45616,54797,36901
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,,398370,195760,202605,1981625,959975,1021650,3732420,1819290,1913130
Income of individuals in 2015,    Average after-tax income in 2015 among recipients ($),,33815,39183,28628,38512,44592,32798,37922,44282,31874
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 25% sample data,,350080,176880,173200,1780850,875325,905525,3362835,1664850,1697985
Income of individuals in 2015,    Average market income in 2015 among recipients ($),,40195,48434,31782,47281,57128,37762,44933,54787,35271
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,,285325,122325,163000,1370125,581865,788260,2628230,1139390,1488840
Income of individuals in 2015,    Average government transfers in 2015 among recipients ($),,6430,6033,6728,6169,5955,6327,7207,7255,7171
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,,301705,156380,145325,1487050,752855,734200,2775010,1415100,1359910
Income of individuals in 2015,    Average employment income in 2015 among recipients ($),,40014,47626,31823,46081,55081,36854,43339,52171,34149
Income of individuals in 2015,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,23,419065,205525,213540,2064615,998830,1065785,3870375,1882770,1987605
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,24,124605,72975,51630,637395,361430,275965,1147070,652115,494950
Income of individuals in 2015,    Median employment income in 2015 for full-year full-time workers ($),25,50026,55725,44357,54955,60834,49056,53940,61004,47039
Income of individuals in 2015,    Average employment income in 2015 for full-year full-time workers ($),26,59318,66016,49850,67916,76209,57055,64625,72840,53801
Income of individuals in 2015,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,27,100,100,100,100,100,100,100,100,100
Income of individuals in 2015,  Market income (%),28,88.5,92.1,83.4,90.9,93.5,87.3,88.9,91.7,84.9
Income of individuals in 2015,    Employment income (%),29,75.6,79.6,69.8,74,77.5,69.1,70.8,74.4,65.8
Income of individuals in 2015,  Government transfers (%),30,11.5,7.9,16.6,9.1,6.5,12.7,11.1,8.3,15.1
Income of individuals in 2015,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,31,419065,205495,213570,2064585,998865,1065715,3870330,1882865,1987460
Income of individuals in 2015,  Without total income,,21330,10205,11125,86100,41365,44730,142970,67370,75600
Income of individuals in 2015,  With total income,,397735,195295,202445,1978485,957500,1020990,3727360,1815505,1911860
Income of individuals in 2015,  Percentage with total income,,94.9,95,94.8,95.8,95.9,95.8,96.3,96.4,96.2
Income of individuals in 2015,    Under $10;000 (including loss),,69415,28885,40535,337915,144295,193620,573315,240120,333195
Income of individuals in 2015,    $10;000 to $19;999,,76230,31215,45015,345805,143880,201920,653915,262225,391685
Income of individuals in 2015,    $20;000 to $29;999,,54095,23260,30840,248300,105920,142380,503290,209095,294195
Income of individuals in 2015,    $30;000 to $39;999,,46405,21720,24690,211515,94955,116565,424330,188860,235470
Income of individuals in 2015,    $40;000 to $49;999,,39630,19750,19880,188015,87605,100415,366220,173020,193200
Income of individuals in 2015,    $50;000 to $59;999,,30080,16185,13890,149455,74735,74720,286310,148095,138215
Income of individuals in 2015,    $60;000 to $69;999,,22130,13355,8775,116775,64280,52500,222975,129400,93580
Income of individuals in 2015,    $70;000 to $79;999,,15900,10105,5790,89555,51260,38295,171625,103795,67830
Income of individuals in 2015,    $80;000 to $89;999,,12205,7815,4400,70690,41215,29475,134090,83100,50990
Income of individuals in 2015,    $90;000 to $99;999,,8375,5565,2815,50825,30925,19900,96825,62825,34005
Income of individuals in 2015,    $100;000 and over,,23265,17445,5820,169635,118430,51210,294475,214980,79500
Income of individuals in 2015,      $100;000 to $149;999,,16225,11865,4360,109000,73655,35350,198355,142260,56095
Income of individuals in 2015,      $150;000 and over,,7040,5580,1460,60640,44780,15860,96115,72715,23405
Income of individuals in 2015,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,32,419065,205495,213570,2064585,998865,1065720,3870330,1882870,1987460
Income of individuals in 2015,  Without after-tax income,,20830,9760,11070,83375,38885,44495,138350,63495,74855
Income of individuals in 2015,  With after-tax income,,398230,195735,202495,1981210,959985,1021225,3731980,1819375,1912605
Income of individuals in 2015,  Percentage with after-tax income,,95,95.3,94.8,96,96.1,95.8,96.4,96.6,96.2
Income of individuals in 2015,    Under $10;000 (including loss),,71655,30315,41335,350380,152065,198315,597310,253480,343835
Income of individuals in 2015,    $10;000 to $19;999,,79805,33255,46555,361855,152890,208965,686510,280490,406015
Income of individuals in 2015,    $20;000 to $29;999,,64300,28495,35805,293480,127930,165550,593490,252075,341415
Income of individuals in 2015,    $30;000 to $39;999,,54050,26070,27975,250620,114225,136395,495200,226080,269120
Income of individuals in 2015,    $40;000 to $49;999,,42865,22185,20685,209335,101565,107765,402535,200565,201965
Income of individuals in 2015,    $50;000 to $59;999,,29110,17155,11955,153280,83240,70045,293450,167870,125585
Income of individuals in 2015,    $60;000 to $69;999,,19245,12240,7005,109410,62820,46595,210085,128000,82080
Income of individuals in 2015,    $70;000 to $79;999,,13140,8310,4835,79210,46380,32825,151775,95230,56545
Income of individuals in 2015,    $80;000 and over,,24065,17720,6345,173650,118875,54770,301635,215590,86045
Income of individuals in 2015,      $80;000 to $89;999,,7915,5410,2510,50810,32310,18500,94700,64330,30370
Income of individuals in 2015,      $90;000 to $99;999,,4725,3505,1220,32520,21870,10645,59050,42050,17000
Income of individuals in 2015,      $100;000 and over,,11420,8805,2615,90320,64700,25625,147885,109215,38670
Income of individuals in 2015,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,33,419065,205495,213570,2064585,998870,1065715,3870330,1882865,1987460
Income of individuals in 2015,  Without employment income,,117355,48860,68500,577530,246030,331505,1095320,467570,627745
Income of individuals in 2015,  With employment income,,301710,156635,145070,1487050,752835,734210,2775010,1415295,1359715
Income of individuals in 2015,  Percentage with employment income,,72,76.2,67.9,72,75.4,68.9,71.7,75.2,68.4
Income of individuals in 2015,    Under $5;000 (including loss),,41110,18615,22490,209270,93700,115565,441080,204275,236810
Income of individuals in 2015,    $5;000 to $9;999,,24800,10380,14425,112350,48000,64355,212715,90015,122705
Income of individuals in 2015,    $10;000 to $19;999,,44505,19570,24935,199780,88465,111315,371875,160350,211525
Income of individuals in 2015,    $20;000 to $29;999,,37220,17150,20065,164960,74780,90180,309470,135945,173525
Income of individuals in 2015,    $30;000 to $39;999,,34510,16805,17705,153815,70955,82860,282045,126870,155180
Income of individuals in 2015,    $40;000 to $49;999,,30535,15565,14970,141800,66710,75095,253810,118870,134935
Income of individuals in 2015,    $50;000 to $59;999,,23420,13180,10240,113915,59035,54880,203885,107605,96280
Income of individuals in 2015,    $60;000 to $69;999,,17575,11210,6365,90840,52060,38780,163740,98205,65535
Income of individuals in 2015,    $70;000 to $79;999,,12945,8490,4455,71740,42295,29440,132340,82120,50220
Income of individuals in 2015,    $80;000 and over,,35085,25660,9425,228585,156840,71740,404040,291050,112990
Income of individuals in 2015,      $80;000 to $89;999,,10220,6655,3565,57565,34490,23075,106680,67815,38860
Income of individuals in 2015,      $90;000 to $99;999,,6800,4735,2065,40995,26105,14890,76470,51990,24480
Income of individuals in 2015,      $100;000 and over,,18065,14270,3795,130030,96250,33775,220890,171245,49645
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 100% data,34,169965,,,960895,,,1881970,,
Income of households in 2015,  Median total income of households in 2015 ($),,77494,,,72662,,,69995,,
Income of households in 2015,  Median after-tax income of households in 2015 ($),,68060,,,63365,,,61280,,
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 100% data,,34515,,,275455,,,541915,,
Income of households in 2015,      Median total income of one-person households in 2015 ($),,37675,,,38164,,,35701,,
Income of households in 2015,      Median after-tax income of one-person households in 2015 ($),,33381,,,33804,,,31899,,
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,,135445,,,685440,,,1340055,,
Income of households in 2015,      Median total income of two-or-more-person households in 2015 ($),,90657,,,92067,,,88466,,
Income of households in 2015,      Median after-tax income of two-or-more-person households in 2015 ($),,79548,,,80158,,,77108,,
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 25% sample data,35,169965,,,960895,,,1881970,,
Income of households in 2015,  Average total income of households in 2015 ($),,93586,,,96423,,,90354,,
Income of households in 2015,  Average after-tax income of households in 2015 ($),,79256,,,79421,,,75209,,
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 25% sample data,,34500,,,275485,,,541925,,
Income of households in 2015,      Average total income of one-person households in 2015 ($),,45234,,,49950,,,46696,,
Income of households in 2015,      Average after-tax income of one-person households in 2015 ($),,38166,,,41250,,,39091,,
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,,135465,,,685410,,,1340045,,
Income of households in 2015,      Average total income of two-or-more-person households in 2015 ($),,105900,,,115102,,,108010,,
Income of households in 2015,      Average after-tax income of two-or-more-person households in 2015 ($),,89720,,,94764,,,89816,,
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,36,169965,,,960895,,,1881965,,
Income of households in 2015,  Under $5;000,,3065,,,28325,,,43415,,
Income of households in 2015,  $5;000 to $9;999,,1950,,,15385,,,27140,,
Income of households in 2015,  $10;000 to $14;999,,3975,,,28770,,,55745,,
Income of households in 2015,  $15;000 to $19;999,,5235,,,38305,,,77565,,
Income of households in 2015,  $20;000 to $24;999,,5585,,,36160,,,78695,,
Income of households in 2015,  $25;000 to $29;999,,5820,,,35655,,,72985,,
Income of households in 2015,  $30;000 to $34;999,,5990,,,36315,,,78080,,
Income of households in 2015,  $35;000 to $39;999,,6400,,,36535,,,78395,,
Income of households in 2015,  $40;000 to $44;999,,6490,,,36630,,,76775,,
Income of households in 2015,  $45;000 to $49;999,,6550,,,36510,,,75860,,
Income of households in 2015,  $50;000 to $59;999,,13000,,,70005,,,143475,,
Income of households in 2015,  $60;000 to $69;999,,12310,,,65325,,,132845,,
Income of households in 2015,  $70;000 to $79;999,,11340,,,60005,,,122350,,
Income of households in 2015,  $80;000 to $89;999,,11095,,,55025,,,111350,,
Income of households in 2015,  $90;000 to $99;999,,9675,,,49190,,,99420,,
Income of households in 2015,  $100;000 and over,,61475,,,332745,,,607855,,
Income of households in 2015,    $100;000 to $124;999,,20385,,,100070,,,198140,,
Income of households in 2015,    $125;000 to $149;999,,14075,,,72355,,,138420,,
Income of households in 2015,    $150;000 to $199;999,,15450,,,82630,,,149210,,
Income of households in 2015,    $200;000 and over,,11570,,,77695,,,122080,,
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,32,169965,,,960890,,,1881965,,
Income of households in 2015,  Under $5;000,,3255,,,30260,,,46350,,
Income of households in 2015,  $5;000 to $9;999,,1985,,,15590,,,27605,,
Income of households in 2015,  $10;000 to $14;999,,4030,,,29290,,,56780,,
Income of households in 2015,  $15;000 to $19;999,,5435,,,39595,,,80315,,
Income of households in 2015,  $20;000 to $24;999,,6340,,,41050,,,89795,,
Income of households in 2015,  $25;000 to $29;999,,6915,,,42935,,,88035,,
Income of households in 2015,  $30;000 to $34;999,,7340,,,43900,,,93640,,
Income of households in 2015,  $35;000 to $39;999,,7650,,,44060,,,92220,,
Income of households in 2015,  $40;000 to $44;999,,7985,,,44380,,,91635,,
Income of households in 2015,  $45;000 to $49;999,,7785,,,43085,,,88520,,
Income of households in 2015,  $50;000 to $59;999,,14970,,,80740,,,165685,,
Income of households in 2015,  $60;000 to $69;999,,13950,,,73390,,,150650,,
Income of households in 2015,  $70;000 to $79;999,,13175,,,66785,,,136430,,
Income of households in 2015,  $80;000 to $89;999,,11775,,,58300,,,118520,,
Income of households in 2015,  $90;000 to $99;999,,10275,,,50780,,,101185,,
Income of households in 2015,  $100;000 and over,,47105,,,256755,,,454595,,
Income of households in 2015,    $100;000 to $124;999,,19380,,,97835,,,187490,,
Income of households in 2015,    $125;000 to $149;999,,11780,,,61380,,,111260,,
Income of households in 2015,    $150;000 and over,,15950,,,97535,,,155845,,
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,37,132070,,,653340,,,1276275,,
Income of economic families in 2015,  Median total income of economic families in 2015 ($),,89793,,,92273,,,88451,,
Income of economic families in 2015,  Median after-tax income of economic families in 2015 ($),,78901,,,80245,,,77002,,
Income of economic families in 2015,  Average family size of economic families,,3.5,,,3.1,,,3,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,35330,,,222585,,,519030,,
Income of economic families in 2015,  Median total income of couple economic families without children or other relatives in 2015 ($),,79991,,,85383,,,80788,,
Income of economic families in 2015,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),,69731,,,73895,,,70464,,
Income of economic families in 2015,  Average family size of couple economic families without children or other relatives,,2,,,2,,,2,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,73685,,,313355,,,536175,,
Income of economic families in 2015,  Median total income of couple economic families with children in 2015 ($),,104953,,,112167,,,111736,,
Income of economic families in 2015,  Median after-tax income of couple economic families with children in 2015 ($),,91865,,,96888,,,96176,,
Income of economic families in 2015,  Average family size of couple economic families with children,,4.4,,,4.1,,,4,,
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,18180,,,93805,,,179945,,
Income of economic families in 2015,  Median total income of lone-parent economic families in 2015 ($),,53135,,,53852,,,51056,,
Income of economic families in 2015,  Median after-tax income of lone-parent economic families in 2015 ($),,48352,,,49006,,,46668,,
Income of economic families in 2015,  Average family size of lone-parent economic families,,2.7,,,2.6,,,2.6,,
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,38,131980,,,652795,,,1275865,,
Income of economic families in 2015,  Average total income of economic families in 2015 ($),,104987,,,115694,,,108241,,
Income of economic families in 2015,  Average after-tax income of economic families in 2015 ($),,88838,,,95002,,,89792,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,35250,,,222050,,,518295,,
Income of economic families in 2015,  Average total income of couple economic families without children or other relatives in 2015 ($),,95517,,,109780,,,100772,,
Income of economic families in 2015,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),,79370,,,88896,,,83021,,
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,73805,,,313600,,,536580,,
Income of economic families in 2015,  Average total income of couple economic families with children in 2015 ($),,119698,,,135322,,,131213,,
Income of economic families in 2015,  Average after-tax income of couple economic families with children in 2015 ($),,101378,,,111039,,,108407,,
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,,18050,,,93545,,,179615,,
Income of economic families in 2015,  Average total income of lone-parent economic families in 2015 ($),,62818,,,67562,,,63004,,
Income of economic families in 2015,  Average after-tax income of lone-parent economic families in 2015 ($),,55188,,,57922,,,54655,,
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,21,52060,26955,25105,393510,189750,203760,768855,373390,395465
Income of economic families in 2015,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),39,31548,32897,30263,32421,33964,31209,31255,33342,29674
Income of economic families in 2015,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),39,28501,29419,27643,29236,30331,28391,28320,29815,27221
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,40,51935,26555,25385,392915,188815,204100,766660,371595,395060
Income of economic families in 2015,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),41,39475,40766,38124,43593,46216,41167,41666,44615,38892
Income of economic families in 2015,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),41,33616,34316,32884,36392,38096,34815,35191,37100,33395
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,42,511540,253320,258220,2426235,1185395,1240835,4560235,2237490,2322745
Income of economic families in 2015,  In the bottom half of the distribution,,263500,128320,135180,1175575,559445,616130,2265245,1078695,1186555
Income of economic families in 2015,    In the bottom decile,,53940,26540,27400,303915,145415,158500,537405,258275,279140
Income of economic families in 2015,    In the second decile,,49270,23365,25905,228320,105405,122915,449395,205320,244075
Income of economic families in 2015,    In the third decile,,51145,24800,26350,210945,100050,110895,420355,198845,221510
Income of economic families in 2015,    In the fourth decile,,54560,26650,27905,212600,102000,110595,422805,203710,219095
Income of economic families in 2015,    In the fifth decile,,54580,26960,27615,219800,106575,113225,435290,212555,222735
Income of economic families in 2015,  In the top half of the distribution,,248040,125000,123035,1250655,625955,624705,2294990,1158795,1136195
Income of economic families in 2015,    In the sixth decile,,54190,26860,27335,225360,110195,115170,442070,218225,223845
Income of economic families in 2015,    In the seventh decile,,53400,26775,26620,234070,116115,117950,451795,226240,225555
Income of economic families in 2015,    In the eighth decile,,52060,26370,25685,245245,122625,122620,462900,233935,228970
Income of economic families in 2015,    In the ninth decile,,48155,24395,23760,260490,131100,129390,473535,241165,232375
Income of economic families in 2015,    In the top decile,,40240,20600,19640,285490,145915,139575,464685,239235,225450
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,43,511540,253325,258215,2417260,1181115,1236145,4477875,2196415,2281460
Low income in 2015,  0 to 17 years,,112320,58195,54120,441530,227695,213835,822390,422685,399710
Low income in 2015,    0 to 5 years,,35185,18145,17040,139285,71940,67345,260110,133670,126445
Low income in 2015,  18 to 64 years,,330060,162380,167680,1612685,785035,827650,2876495,1404390,1472105
Low income in 2015,  65 years and over,,69165,32745,36420,363045,168390,194660,778990,369345,409645
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),,75640,36500,39145,398715,187770,210950,694960,325015,369940
Low income in 2015,  0 to 17 years,,21985,11355,10625,83635,42965,40675,151880,78110,73770
Low income in 2015,    0 to 5 years,,6795,3440,3350,24690,12560,12130,46920,24035,22885
Low income in 2015,  18 to 64 years,,44940,21345,23600,255225,119285,135940,427085,198475,228615
Low income in 2015,  65 years and over,,8715,3795,4915,59860,25525,34335,115990,48430,67560
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,14.8,14.4,15.2,16.5,15.9,17.1,15.5,14.8,16.2
Low income in 2015,  0 to 17 years (%),,19.6,19.5,19.6,18.9,18.9,19,18.5,18.5,18.5
Low income in 2015,    0 to 5 years (%),,19.3,19,19.7,17.7,17.5,18,18,18,18.1
Low income in 2015,  18 to 64 years (%),,13.6,13.1,14.1,15.8,15.2,16.4,14.8,14.1,15.5
Low income in 2015,  65 years and over (%),,12.6,11.6,13.5,16.5,15.2,17.6,14.9,13.1,16.5
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),,60260,29565,30695,337085,160485,176600,491645,236430,255215
Low income in 2015,  0 to 17 years,,16925,8705,8225,67065,34355,32710,99330,50890,48450
Low income in 2015,    0 to 5 years,,5170,2595,2575,19175,9740,9435,29250,14930,14315
Low income in 2015,  18 to 64 years,,38355,18710,19645,232635,110555,122085,345345,165740,179605
Low income in 2015,  65 years and over,,4980,2150,2825,37380,15580,21805,46965,19805,27165
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,11.8,11.7,11.9,13.9,13.6,14.3,11,10.8,11.2
Low income in 2015,  0 to 17 years (%),,15.1,15,15.2,15.2,15.1,15.3,12.1,12,12.1
Low income in 2015,    0 to 5 years (%),,14.7,14.3,15.1,13.8,13.5,14,11.2,11.2,11.3
Low income in 2015,  18 to 64 years (%),,11.6,11.5,11.7,14.4,14.1,14.8,12,11.8,12.2
Low income in 2015,  65 years and over (%),,7.2,6.6,7.8,10.3,9.3,11.2,6,5.4,6.6
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,44,511540,253265,258275,2426230,1185400,1240835,4560235,2237490,2322745
Knowledge of languages,  Official languages,,478215,239765,238450,2290560,1129240,1161325,4407125,2173840,2233285
Knowledge of languages,    English,,478010,239640,238370,2289520,1128740,1160780,4405380,2173040,2232340
Knowledge of languages,    French,,22960,10450,12510,172260,76600,95660,314225,140085,174140
Knowledge of languages,  Non-official languages,,287750,139540,148210,1220345,574040,646300,1546550,727200,819355
Knowledge of languages,    Aboriginal languages,,225,80,140,1605,670,935,17190,8115,9075
Knowledge of languages,      Algonquian languages,,95,30,65,485,200,290,1950,905,1045
Knowledge of languages,        Blackfoot,,0,0,0,15,0,15,35,0,35
Knowledge of languages,        Cree-Montagnais languages,,45,20,25,310,145,165,1600,795,805
Knowledge of languages,          Atikamekw,,0,0,0,0,0,0,0,0,0
Knowledge of languages,          Montagnais (Innu),,0,0,0,0,0,0,0,0,0
Knowledge of languages,          Moose Cree,,0,0,0,0,0,10,15,0,10
Knowledge of languages,          Naskapi,,0,0,0,0,0,0,0,0,0
Knowledge of languages,          Northern East Cree,,0,0,0,0,0,0,10,0,10
Knowledge of languages,          Plains Cree,,20,10,10,85,45,40,345,160,180
Knowledge of languages,          Southern East Cree,,0,0,0,0,0,0,0,0,0
Knowledge of languages,          Swampy Cree,,0,0,0,20,10,20,55,25,30
Knowledge of languages,          Woods Cree,,0,0,0,15,0,10,80,45,40
Knowledge of languages,          Cree; n.o.s.,,20,10,10,180,90,90,1090,560,525
Knowledge of languages,        Eastern Algonquian languages,,10,0,10,20,10,0,30,20,10
Knowledge of languages,          Malecite,,0,0,0,0,0,0,10,10,0
Knowledge of languages,          Mi'kmaq,,10,0,10,15,0,10,25,15,0
Knowledge of languages,        Ojibway-Potawatomi languages,,45,10,35,140,40,100,310,100,205
Knowledge of languages,          Algonquin,,0,0,0,15,10,10,20,0,15
Knowledge of languages,          Ojibway,,45,10,30,120,35,85,275,95,180
Knowledge of languages,          Oji-Cree,,10,0,10,10,0,10,15,0,15
Knowledge of languages,          Ottawa (Odawa),,0,0,0,0,0,0,0,0,0
Knowledge of languages,        Algonquian languages; n.i.e.,,0,0,0,0,0,0,0,0,0
Knowledge of languages,      Athabaskan languages,,10,0,0,85,30,60,4375,2050,2330
Knowledge of languages,        Northern Athabaskan languages,,10,0,0,80,30,55,4345,2035,2315
Knowledge of languages,          Babine (Wetsuwet'en),,0,0,0,10,10,0,200,100,95
Knowledge of languages,          Beaver,,0,0,0,0,0,0,255,130,130
Knowledge of languages,          Carrier,,0,0,10,50,10,40,2045,940,1110
Knowledge of languages,          Chilcotin,,0,0,0,10,0,0,1130,525,605
Knowledge of languages,          Dene,,0,0,0,10,0,0,130,55,80
Knowledge of languages,          Dogrib (Tlicho),,0,0,0,0,0,0,0,0,0
Knowledge of languages,          Gwich'in,,0,0,0,0,0,0,0,0,0
Knowledge of languages,          Sarsi (Sarcee),,0,0,0,0,0,0,0,0,0
Knowledge of languages,          Sekani,,0,0,0,0,0,0,185,85,100
Knowledge of languages,          Slavey-Hare languages,,0,0,0,0,0,0,125,60,75
Knowledge of languages,            North Slavey (Hare),,0,0,0,0,0,0,10,0,10
Knowledge of languages,            South Slavey,,0,0,0,0,0,0,25,15,10
Knowledge of languages,            Slavey; n.o.s.,,0,0,0,0,0,0,105,45,60
Knowledge of languages,          Tahltan languages,,0,0,0,10,10,0,290,155,130
Knowledge of languages,            Kaska (Nahani),,0,10,0,0,0,0,35,20,15
Knowledge of languages,            Tahltan,,0,0,0,0,10,0,250,135,120
Knowledge of languages,          Tutchone languages,,0,0,0,0,0,10,10,0,10
Knowledge of languages,            Northern Tutchone,,0,0,0,0,0,0,0,0,10
Knowledge of languages,            Southern Tutchone,,0,0,0,0,0,0,10,0,0
Knowledge of languages,        Athabaskan languages; n.i.e.,,0,0,0,10,10,0,30,15,10
Knowledge of languages,      Haida,,20,20,10,60,35,30,455,195,255
Knowledge of languages,      Inuit languages,,20,10,10,60,30,35,170,70,95
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0,0,0,10,10,0,20,10,10
Knowledge of languages,        Inuktitut,,20,0,10,40,15,25,120,50,70
Knowledge of languages,        Inuit languages; n.i.e.,,0,0,0,10,0,10,35,15,25
Knowledge of languages,      Iroquoian languages,,0,0,0,0,10,10,30,10,15
Knowledge of languages,        Cayuga,,0,0,0,0,0,0,0,0,0
Knowledge of languages,        Mohawk,,0,0,0,10,10,0,25,10,15
Knowledge of languages,        Oneida,,0,0,0,0,0,0,0,0,0
Knowledge of languages,        Iroquoian languages; n.i.e.,,0,0,0,0,0,0,0,10,0
Knowledge of languages,      Kutenai,,0,0,0,0,0,0,170,95,80
Knowledge of languages,      Michif,,10,0,0,30,15,15,110,50,60
Knowledge of languages,      Salish languages,,45,10,30,535,215,330,5660,2690,2970
Knowledge of languages,        Comox,,0,0,0,20,0,15,185,75,105
Knowledge of languages,        Halkomelem,,0,0,0,150,60,90,1045,470,570
Knowledge of languages,        Lillooet,,10,0,10,20,15,10,790,405,385
Knowledge of languages,        Okanagan,,35,15,20,35,15,20,805,360,445
Knowledge of languages,        Shuswap (Secwepemctsin),,0,0,0,10,0,0,1280,630,650
Knowledge of languages,        Squamish,,0,0,0,225,100,125,280,125,155
Knowledge of languages,        Straits,,0,0,0,0,0,0,360,160,200
Knowledge of languages,        Thompson (Ntlakapamux),,10,0,10,25,10,15,440,220,220
Knowledge of languages,        Salish languages; n.i.e.,,10,0,10,60,20,45,540,280,260
Knowledge of languages,      Siouan languages,,0,0,0,30,15,20,55,20,35
Knowledge of languages,        Dakota,,0,0,0,15,10,10,30,15,15
Knowledge of languages,        Stoney,,0,0,0,0,0,0,10,10,10
Knowledge of languages,        Siouan languages; n.i.e.,,0,0,0,10,10,0,15,10,10
Knowledge of languages,      Tlingit,,0,0,0,0,0,0,60,40,20
Knowledge of languages,      Tsimshian languages,,0,0,10,180,80,100,2685,1330,1350
Knowledge of languages,        Gitxsan (Gitksan),,0,0,10,55,15,40,1275,635,645
Knowledge of languages,        Nisga'a,,0,0,0,65,35,35,1035,535,500
Knowledge of languages,        Tsimshian,,0,0,0,65,30,30,405,180,230
Knowledge of languages,      Wakashan languages,,15,0,10,100,45,55,1460,670,795
