SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
PCM PROPERTY SERVICES INC.,"51,536.62"
PEDRE CONTRACTORS LTD.,"4,165,784.31"
PEEL'S NURSERIES LTD.,"57,676.86"
PEERS EMPLOYMENT & EDUCATION RESOURCES INC,"64,499.40"
PENCILNECK SOFTWARE CORP.,"33,075.00"
"PENNY COATES, CONSULTANT","88,871.36"
PEN-WEST DEVELOPMENTS INC.,"118,698.33"
PERFORMANCE ELECTRIC LTD.,"82,354.02"
"PETER CLAIR, INSTRUCTOR","36,885.73"
PHOENIX ENVIRONMENTAL SERVICES LTD.,"37,881.70"
PHOENIX TENT AND EVENT RENTALS,"94,082.43"
PIONEER PAVING LTD.,"101,105.55"
PIT STOP PORTABLE TOILET SERVICES LTD. BC,"25,880.14"
PITNEY BOWES,"48,503.81"
PITNEYWORKS,"505,000.05"
PIVOTAL PROJECTS INCORPORATED,"41,723.50"
PLANET CLEAN CANADA INC.,"28,851.71"
PLASTICS SOLUTIONS CANADA INC.,"121,656.27"
PNR RAILWORKS INC.,"256,718.26"
POLYCRETE RESTORATIONS LTD.,"252,993.05"
POLYGON HARVARD GARDENS LTD,"462,486.70"
POPCORN MEDIA,"25,255.88"
POSABILITIES ASSOCIATION OF BRITISH COLUMBIA,"38,270.94"
POSITRONICS ENTERPRISES LTD.,"209,348.66"
PRAIRIECOAST EQUIPMENT,"68,531.55"
PRECISION SERVICE & PUMPS INC.,"147,736.33"
PREMIER PACIFIC SEEDS LTD.,"47,512.43"
PRICEWATERHOUSE COOPERS LLP CHARTERED ACCOUNTANTS,"54,862.50"
PRINTHINK SOLUTIONS INC,"218,205.61"
PRO QUALITY LOCKSMITH CO.,"41,276.14"
PROFIRE EMERGENCY EQUIPMENT INC.,"62,545.85"
PROGRESSIVE WASTE SOLUTIONS CANADA INC.,"9,045,808.00"
PROPER LANDSCAPING INC.,"280,320.02"
PROSHOW AUDIOVISUAL BROADCAST,"52,844.41"
PUREWORLD SOLUTIONS INC.,"41,803.62"
PW TRENCHLESS CONSTRUCTION INC.,"276,965.47"
QUALICO DEVELOPMENTS (VANCOUVER) INC.,"401,655.45"
QUALITY CLASSROOMS,"53,722.33"
QUANTUM MURRAY LP,"25,190.91"
R. AND L. BIO-PEST CONTROL LTD.,"58,186.10"
R.F. BINNIE & ASSOCIATES LTD.,"1,191,986.46"
RAINBOW PAVING LTD.,"176,197.88"
RAINCOAST APPLIED ECOLOGY,"57,789.15"
RAYBERN ERECTORS LTD.,"306,824.27"
RAZOR MANUFACTURING LTD.,"75,933.51"
RE/MAX 2000 REALTY GUILDFORD LANDMARK BUILDING,"26,460.00"
RE/MAX PERFORMANCE REALTY,"25,725.00"
"REACHMASTER, INC","27,826.28"
RECEIVER GENERAL FOR CANADA,"102,960,036.61"
RECTEC INDUSTRIES INC.,"156,737.83"
REPUBLIC OF QUALITY,"126,559.13"
RESHAPE INFRASTRUCTURE STRATEGIES LTD.,"29,741.25"
REVOLUTION ENVIRONMENTAL SOLUTIONS LP,"74,002.85"
RICHCO CONTRACTING LTD.,"1,601,446.78"
RISKWIDE CONSULTING INC,"63,525.02"
RJS PAINTING & WALLCOVERING LIMITED,"140,138.25"
ROADWAY TRAFFIC PRODUCTS LTD.,"56,962.72"
ROARON CONSTRUCTION LIMITED,"27,284.25"
ROCK MECHANICAL INC.,"61,226.94"
ROCKY MOUNTAIN PHOENIX,"176,896.30"
ROLLINS MACHINERY LIMITED,"69,331.08"
RONA HOME CENTRE ,"27,500.20"
RONA REVY INC.,"33,930.96"
RONCO PRODUCTS INC.,"32,820.07"
ROSE SECURITY SERVICES INC.,"26,229.00"
ROYAL CITY FIRE SUPPLIES LTD.,"31,980.99"
ROYAL CITY YOUTH BALLET,"42,270.40"
SACRE-DAVEY ENGINEERING INC.,"194,030.41"
SAFE GUARD FENCE LTD.,"190,451.94"
SAFELIGHT COMMUNICATIONS LTD.,"45,316.11"
SAFETEK EMERGENCY VEHICLES LTD,"801,990.46"
SAFEWAY,"35,289.40"
SALMON'S RENTALS LTD.,"43,496.38"
SANDPIPER CONTRACTING LLP,"2,347,139.32"
SAVE ON FOODS ,"26,813.61"
SBC INSURANCE AGENCIES LTD.,"39,779.89"
SCALAR DECISIONS INC.,"310,101.64"
SCHINDLER ELEVATOR CORPORATION,"93,281.11"
SCHOOL DISTRICT (NO. 36),"396,221.05"
SEA TO SKY TRANSFER,"124,494.49"
SEAGATE PROPERTIES (GATEWAY)LTD.,"61,658.25"
SELECT PROJECT MANAGEMENT LTD.,"222,957.63"
SEMIAHMOO ARTS SOCIETY,"89,249.19"
SEMIAHMOO BULLDOZING & TRUCKING LTD.,"172,583.30"
SENSUS COMMUNICATION SOLUTIONS INC,"54,121.94"
SENTINEL SECURITY SOLUTIONS INC.,"112,787.11"
SERVANTAGE SERVICES GROUP,"189,485.45"
"SERVICENOW, INC.","76,297.38"
SHADES TANKERS (1976) LTD.,"232,317.75"
SHANAHAN'S BUILDING PRODUCTS DIV OF SHANAHANS LTD PARTNERSH,"113,186.85"
SHAPE ARCHITECTURE INC.,"193,974.36"
"SHAW BUSINESS, A DIVISION OF SHAW TELECOM G.P","39,254.88"
SHAW CABLESYSTEMS G.P.,"64,450.30"
SHELTER MODULAR INC,"44,605.64"
SHERATON VANCOUVER GUILDFORD HOTEL,"54,888.36"
SHERINE INDUSTRIES LTD.,"55,796.68"
SHERWIN-WILLIAMS,"40,044.01"
SHOWMAX EVENT PRODUCTION SERVICES,"31,821.55"
SIERRA SYSTEMS GROUP INC.,"136,269.00"
SIGMA SAFETY,"54,909.16"
SIMON FRASER UNIVERSITY,"96,072.31"
SINGH TRUCKING LTD.,"81,621.70"
SIRSIDYNIX (CANADA) INC.,"148,497.52"
SKYE CONSULTING (B.C.) LTD.,"91,230.60"
SMEAL FIRE APPARATUS CO.,"2,608,914.00"
SMITH-CAMERON PUMP SOLUTIONS,"64,831.92"
SMS EQUIPMENT INC.,"88,783.27"
"SNC-LAVALIN INC., ENVIRONMENT DIVISION","85,510.72"
SOFTCHOICE CORPORATION,"132,768.17"
"SOLARWINDS, INC.","102,746.88"
SOTHEBY'S INTERNATIONAL REALTY CANADA,"42,648.38"
SOURCE OFFICE FURNISHINGS & SYSTEMS LTD.,"80,268.75"
SOUTHERN RAILWAY OF BC LTD.,"103,934.01"
SPATIAL TECHNOLOGIES INC,"66,650.88"
SPECIMEN TREES WHOLESALE NURSERIES LTD.,"201,966.72"
SPICERS CANADA ULC,"146,570.50"
STACEY HOLLOWAY & ASSOCIATES LTD.,"29,735.21"
STAK FITNESS,"84,458.75"
STANTEC CONSULTING LTD.,"808,657.88"
STAR RENTALS LTD.,"43,484.20"
STEELE SECURITY INC.,"164,595.40"
STEELE'S GARAGE,"61,039.03"
"STEFAN, FRASER & ASSOCIATES INC.","152,008.50"
STEVE MURRAY TRUCKING,"81,789.17"
STEWART BROTHERS NURSERIES LTD.,"34,249.08"
STILLWOOD CAMP & CONFERENCE CENTRE,"30,404.00"
SULLY'S LAWN CARE & LANDSCAPING,"99,135.22"
SUNCORP VALUATIONS LTD.,"47,775.00"
SUNRISE LANDSCAPING LTD.,"109,831.27"
SUPER SAVE DISPOSAL INC.,"31,559.90"
SUPERIOR CITY SERVICES LTD.,"282,374.83"
SURREY ASSOCIATION FOR COMMUNITY LIVING,"58,570.80"
SURREY CITY DEVELOPMENT CORPORATION,"410,927.31"
SURREY CRIME PREVENTION SOCIETY,"32,300.00"
SURREY FIREFIGHTERS ASSOC LOCAL 1271,"32,744.81"
SURREY FOOD BANK SOCIETY,"27,648.00"
SURREY RADIATOR & AIR CONDITIONING,"58,925.43"
SURREY TOURISM AND CONVENTION ASSOCIATION,"618,258.01"
"SUSAN A. POINT, ARTIST","52,000.00"
SUTTLE RECREATION INC.,"136,233.16"
SUTTON ROAD MARKING LTD.,"786,347.84"
SWAN COMMUNITY SERVICES LTD.,"45,760.00"
SWITZER MILLWORK INC.,"25,841.56"
SWR DRAIN SERVICE LTD,"118,762.57"
SYBERTECH WASTE REDUCTION LTD.,"27,560.23"
"SYSCO FOOD SERVICES OF CANADA, INC.","96,714.60"
TAG CONSTRUCTION LTD.,"491,338.58"
TARMAC GRINDING LTD.,"47,445.70"
TAYLOR KURTZ ARCHITECTURE & DESIGN INC.,"379,373.79"
TECHART WOODWORKS LTD.,"43,151.86"
TELUS COMMUNICATIONS COMPANY,"588,272.92"
TELUS SERVICES INC. PAYMENT PROCESSING,"349,223.78"
TENNANT SALES & SERVICE COMPANY,"41,341.72"
TERRA EQUIPMENT LTD.,"103,495.60"
TERRA REMOTE SENSING INC.,"33,166.87"
TERVITA CORPORATION,"44,159.51"
TETRA TECH EBA INC.,"442,772.60"
"THE ACTIVE NETWORK, LTD.","155,489.68"
THE AME CONSULTING GROUP LTD.,"50,918.54"
"THE BERRANT GROUP, A DIVISION OF BERRANT INTERNATIONAL","28,337.75"
THE CANADIAN RED CROSS SOCIETY,"33,044.65"
THE CENTRE FOR CHILD DEVELOPMENT OF THE L.MAINLAND,"87,210.00"
THE CO-OPERATORS,"40,346.30"
THE CORPORATION OF DELTA,"26,884.80"
THE DRIVING FORCE INC.,"184,119.36"
THE FINDOLOGIST,"53,106.46"
THE HERJAVEC GROUP INC.,"138,412.57"
THE HOCKEY SHOP,"36,323.19"
THE HOME DEPOT ,"55,622.50"
THE LOGIC GROUP,"70,026.99"
THE STEWART GROUP,"363,315.49"
THE TEMPEST SOFTWARE DEVELOPMENT GROUP INC.,"106,392.73"
THE W GROUP,"169,975.76"
THINKSPACE ARCHITECTURE PLANNING INTERIOR DESIGN,"70,869.02"
THURBER ENGINEERING LTD.,"197,888.40"
TIDE'S OUT SERVICES LTD.,"807,691.42"
TK GRAPHICS,"245,528.73"
TMF TEXTILE SERVICES,"28,553.01"
TODAY'S TILE LTD,"42,822.68"
TOMKO SPORTS SYSTEMS INC.,"58,109.28"
TOTER INCORPORATED,"433,786.56"
TOURISM SURREY,"35,777.49"
TRANE CANADA T42324C,"292,635.38"
TRE CANADA INC,"29,400.00"
TRI ENVIRONMENTAL CONSULTING INC.,"55,823.25"
TRICK OR TREAT ENTERTAINMENT,"32,500.00"
TRICO EXCAVATING INC.,"1,091,853.92"
TURNBULL CONSTRUCTION PROJECT MANAGERS LTD.,"283,226.60"
TYBO CONTRACTING LTD.,"4,917,534.84"
TYCO INTEGRATED FIRE & SECURITY,"43,881.24"
ULINE CANADA CORPORATION,"85,663.69"
ULMER CONTRACTING LTD.,"47,250.00"
UNION OF BRITISH COLUMBIA MUNICIPALITIES,"201,517.33"
UNISOURCE CANADA INC.,"75,135.35"
UNIT4 BUSINESS SOFTWARE CORP,"215,216.68"
UNIVERSITY OF THE FRASER VALLEY,"32,602.50"
UNIWELD SERVICES (2007) LTD.,"34,839.26"
URBAN SYSTEMS LTD.,"706,329.92"
URS CANADA  INC.,"178,604.33"
VALLEY MOBILE POWERWASH (AVON-LEAH ENTERPRISES LTD.),"43,113.11"
VALLEY TRAFFIC SYSTEMS INC,"69,942.23"
VANCOUVER AXLE & FRAME LTD.,"31,316.99"
VANCOUVER CASKET LTD.,"88,886.00"
VANE LAWN & GARDEN SERVICES LTD.,"435,932.35"
VAN-KEL IRRIGATION DIV. OF EMCO CORPORATION,"36,543.80"
VERATEC ENGINEERED PRODUCTS INC.,"101,351.67"
VERGE CONTRACTING SERVICES LTD.,"99,121.73"
VIMAR EQUIPMENT LTD.,"395,236.24"
VISION CRITICAL COMMUNICATIONS INC.,"95,810.18"
W.K. WILLIAMS CONSULTING SERVICES,"40,215.00"
WAL-MART SUPERCENTER,"45,333.14"
WALNUT GROVE CONSTRUCTION,"50,424.68"
"WARREN H. BRUBACHER, CONSULTANT","36,750.00"
WASTE MANAGEMENT OF CANADA CORPORATION,"329,491.72"
WATERMARK SOLUTIONS LTD,"30,922.50"
WEB ENGINEERING LTD.,"461,506.67"
WEDLER ENGINEERING LLP,"186,715.68"
WEST COAST BARK PRODUCTS INC,"38,092.41"
WEST PACIFIC CONSULTING GROUP MANAGED SERVICES INC.,"184,752.77"
WESTBURNE WEST DIVISION OF REXEL CANADA ELECTRICAL INC.,"43,301.98"
WESTCHEM MFG. LTD.,"50,656.72"
WESTERN SAFETY PRODUCTS LTD.,"65,218.22"
WESTERRA EQUIPMENT LP,"76,284.33"
WESTKEY GRAPHICS LTD.,"32,739.42"
WESTPRO INFRASTRUCTURE LTD.,"742,429.25"
WESTVAC INDUSTRIAL LTD.,"441,936.65"
WESTVIEW SALES LTD.,"125,941.92"
WF ARCHITECTURE INC. & AEPLI ARCHITECTURE INC. ,"126,911.93"
WHITE PAPER CO. LTD.,"66,838.86"
WHITEWATER WEST INDUSTRIES LTD,"57,496.52"
WILCO CIVIL INC.,"2,069,479.48"
WILLIS CANADA INC.,"2,304,652.14"
WINVAN PAVING LTD.,"4,489,304.63"
WOLSELEY CANADA INC.,"319,667.18"
WOOD WYANT INC.,"74,665.41"
WOODWORKING MACHINE SERVICES LTD.,"25,211.03"
"WORK AUTHORITY, A DIVISION OF KODIAK GROUP HOLDINGS CO.","47,350.44"
WORK TRUCK WEST A DIV OF WEST COAST MACHINERY,"106,242.39"
WORKSAFE BC WORKERS COMPENSATION BOARD/BC,"2,341,246.99"
XEROX CANADA LTD.,"547,747.88"
XYLEM CANADA COMPANY,"56,164.63"
YARD-AT-A-TIME CONCRETE (1988) LTD.,"255,868.59"
YELLOW PENCIL INC.,"375,978.78"
ZAPPONE TRUCKING LTD.,"64,032.67"
ZEEMAC VEHICLE LEASE LTD.,"56,462.28"
ZGF COTTER ARCHITECTS INC.,"28,140.83"
ZIBIT DESIGN & DISPLAY,"46,085.51"
,
"Consolidated Total Paid to Suppliers Who Received Aggregate Payment Exceeding $25,000","484,831,667.84"
,
"Consolidated Total Paid to Suppliers Who Received Aggregate Payment of $25,000 or less","13,047,584.97"
,
Total Amount Paid to Suppliers,"497,879,252.81"
