SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
PEDRE CONTRACTORS LTD.,"10,194,109.32"
PEEL'S NURSERIES LTD.,"38,160.84"
"PENNY COATES, CONSULTANT","74,291.71"
PEN-WEST DEVELOPMENTS INC.,"202,777.79"
PERFORMANCE ELECTRIC LTD.,"172,792.96"
PERFORMANCE VISUAL WORKS INC,"27,424.17"
"PETER CLAIR, INSTRUCTOR","39,177.53"
PHOENIX ENTERPRISES LTD,"252,499.95"
PHOENIX TENT AND EVENT RENTALS,"118,768.15"
PICTOMETRY CANADA CORP.,"113,655.93"
PINE MECHANICAL LTD.,"54,642.00"
PIONEER PAVING LTD.,"124,979.82"
PIT STOP PORTABLE TOILET SERVICES LTD. BC,"33,122.72"
PITNEY BOWES,"49,036.51"
PITNEYWORKS,"400,000.04"
PITT RIVER QUARRIES LTD.,"75,367.74"
POLYCRETE RESTORATIONS LTD.,"275,458.74"
POLYGON HARVARD GARDENS LTD,"68,181.75"
POPULAR LANDSCAPING & GARDENING LTD.,"25,790.70"
PORTAL VILLAGE MANAGEMENT LTD.,"38,006.17"
POSSIBIL.COM CONSULTING INC.,"35,775.00"
PREMIER PACIFIC SEEDS LTD.,"93,144.73"
PREMIUM RESTORATION LTD.,"56,189.13"
PRESSED METAL PRODUCTS LTD.,"30,037.43"
PRINTHINK SOLUTIONS INC,"288,373.16"
PRO QUALITY LOCKSMITH CO.,"49,223.25"
PRO SOUND & STAGE LIGHTING LTD.,"50,919.70"
PROFIRE EMERGENCY EQUIPMENT INC.,"112,989.48"
PROGRESSIVE WASTE SOLUTIONS CANADA INC.,"13,355,326.89"
PROPER LANDSCAPING INC.,"321,978.52"
PROSHOW AUDIOVISUAL BROADCAST,"41,139.79"
PROTECT INTERNATIONAL INC.,"41,018.25"
PURE TECHNOLOGIES LTD.,"49,229.46"
PW TRENCHLESS CONSTRUCTION INC.,"209,863.85"
PWL PARTNERSHIP LANDSCAPE ARCHITECT INC.,"52,957.12"
QUALICO DEVELOPMENTS (VANCOUVER) INC.,"111,445.25"
QUALITY CLASSROOMS,"35,285.94"
QUALITY PROGRAM SERVICES,"42,000.00"
QUANTUM MURRAY LP,"34,706.77"
R. AND L. BIO-PEST CONTROL LTD.,"54,902.72"
R.F. BINNIE & ASSOCIATES LTD.,"1,218,470.91"
RAINBOW PAVING LTD.,"133,554.75"
RAINCOAST APPLIED ECOLOGY,"84,471.64"
"RAM PARTAP SINGH & SUDESHNA DEVI SINGH, LESSOR","44,520.00"
RAYBERN ERECTORS LTD.,"695,634.25"
RAZOR MANUFACTURING LTD.,"99,239.03"
RE:SOUND MUSIC LICENSING COMPANY,"28,335.09"
RECEIVER GENERAL FOR CANADA,"114,863,845.36"
RECTEC INDUSTRIES INC.,"304,117.97"
REPUBLIC OF QUALITY,"111,595.58"
REVOLUTION ENVIRONMENTAL SOLUTIONS LP,"56,020.69"
RICHCO CONTRACTING LTD.,"2,682,022.59"
RICHELIEU BUILDING SPECIALTIES A DIV OF RICHELIEU HARWARE LTD.,"31,393.74"
RISKWIDE CONSULTING INC,"40,267.50"
RJS PAINTING & WALLCOVERING LIMITED,"129,990.00"
ROARON CONSTRUCTION LIMITED,"54,026.70"
"ROBERT SURANYI, CONSULTANT","27,300.00"
ROCKY MOUNTAIN PHOENIX,"327,071.20"
ROCKY POINT ENGINEERING LTD.,"25,840.50"
ROLLINS MACHINERY LIMITED,"263,681.10"
RONA HOME CENTRE,"27,566.65"
RONA REVY INC.,"43,859.92"
RONCO PRODUCTS INC.,"68,083.52"
ROPER GREYELL LLP,"38,944.35"
ROSEMARY DEVELOPEMENTS LTD.,"45,557.40"
ROWE EVENT & SHOW SERVICES LTD,"32,205.70"
ROYAL CITY FIRE SUPPLIES LTD.,"29,918.18"
ROYAL CITY YOUTH BALLET,"34,667.43"
ROYAL LEPAGE WOLSTENCROFT,"45,150.00"
ROYAL PRINTERS LTD.,"36,933.12"
RTB SAFE TRAFFIC INC.,"92,531.24"
SAFE GUARD FENCE LTD.,"76,829.55"
SAFELIGHT COMMUNICATIONS LTD.,"102,505.53"
SAFEWAY,"34,711.10"
SANDPIPER CONTRACTING LLP,"4,109,132.23"
SAVE ON FOODS,"26,726.80"
SBC INSURANCE AGENCIES LTD.,"42,236.19"
SCALAR DECISIONS INC.,"819,585.83"
SCHINDLER ELEVATOR CORPORATION,"89,284.85"
SCHOOL DISTRICT (NO. 36),"90,425.56"
SEA TO SKY CONTRACTING DBA SEA TO SKY TRANSFER,"171,141.36"
SECURIGUARD SERVICES LIMITED,"180,502.39"
SELECT PROJECT MANAGEMENT LTD.,"65,208.67"
"SEMIAHMOO ARTS, COMMUNITY ARTS","125,414.13"
SEMIAHMOO BULLDOZING & TRUCKING LTD.,"161,917.96"
SENSUS COMMUNICATION SOLUTIONS INC,"40,806.48"
SENTINEL SECURITY SOLUTIONS INC.,"106,079.91"
SERVANTAGE SERVICES CORP.,"327,095.85"
"SERVICENOW, INC.","822,475.55"
SHABNEM AFZAL PUBLIC SAFETY INC.,"108,397.28"
SHANAHAN'S BUILDING PRODUCTS DIV OF SHANAHANS LTD PARTNERSHIP,"62,020.87"
SHAPE ARCHITECTURE INC.,"247,506.59"
"SHAW BUSINESS, A DIVISION OF SHAW TELECOM G.P","115,261.94"
SHAW CABLESYSTEMS G.P.,"68,657.71"
SHELDON TETREAULT CONSULTING INC.,"64,661.31"
SHELTER MODULAR INC,"57,925.36"
SHERINE INDUSTRIES LTD.,"126,429.85"
SIERRA SYSTEMS GROUP INC.,"146,412.00"
SIGMA SAFETY,"38,426.65"
SIMON FRASER UNIVERSITY,"37,162.14"
SINGH TRUCKING LTD.,"73,211.28"
SIRSIDYNIX (CANADA) INC.,"88,022.60"
SITE ACCESS CONSTRUCTION,"26,525.11"
SIX FACTOR PROFESSIONAL SERVICES LTD.,"61,932.98"
SKY IS FALLING INC.,"39,375.00"
SKYE CONSULTING (B.C.) LTD.,"157,509.27"
SMITH-CAMERON PUMP SOLUTIONS,"146,831.42"
SMITHRITE DELIVERY SERVICES LTD.,"60,900.00"
SMITHRITE DISPOSAL LTD.,"398,631.61"
SMS EQUIPMENT INC.,"106,445.47"
SNAP-TEX CANWEST INC,"30,360.75"
"SNC-LAVALIN INC., ENVIRONMENT DIVISION","88,383.24"
SOFTBALL BC,"40,215.00"
SOFTBALL CITY,"26,300.00"
SOFTCHOICE CORPORATION,"165,412.60"
"SOLARWINDS, INC.","60,359.37"
SOURCE OFFICE FURNISHINGS & SYSTEMS LTD.,"35,157.22"
SOUTH COAST BRITISH COLUMBIA TRANSPORTATION AUTHORITY,"673,586.55"
SOUTHERN RAILWAY OF BC LTD.,"150,098.27"
SPEARHEAD EXECUTIVE COACHING,"51,467.52"
SPECIALTY COATINGS CO. DIV. OF L&M PAINTING & DEC.,"25,305.00"
SPECIMEN TREES WHOLESALE NURSERIES LTD.,"137,100.46"
SPICERS CANADA ULC,"141,418.25"
SPORT MEDICINE COUNCIL OF B.C.,"32,021.28"
STAK FITNESS,"136,788.59"
STANTEC CONSULTING LTD.,"810,985.73"
STAR RENTALS LTD.,"30,589.96"
STEELE'S GARAGE,"46,785.61"
"STEFAN, FRASER & ASSOCIATES INC.","109,830.00"
STERLING FLEET OUTFITTERS,"45,641.99"
STEVE MURRAY TRUCKING,"66,491.25"
STEWART GROUP STRATEGIC CONSULTING INC.,"154,893.09"
STILLWOOD CAMP & CONFERENCE CENTRE,"28,153.00"
STONEWATER VENTURES #182,"57,790.55"
SULLY'S LAWN CARE & LANDSCAPING,"189,754.41"
SUNCORP VALUATIONS LTD.,"50,610.00"
SUNRISE LANDSCAPING LTD.,"101,531.14"
SUPER SAVE DISPOSAL INC.,"27,172.96"
SUPERIOR CITY SERVICES LTD.,"341,032.59"
SURESPAN CONSTRUCTION LTD.,"516,663.17"
SURREY ASSOCIATION FOR COMMUNITY LIVING,"58,380.80"
SURREY FOOD BANK SOCIETY,"28,968.00"
SURREY RADIATOR & AIR CONDITIONING,"43,409.24"
SURREY TOURISM AND CONVENTION ASSOCIATION,"751,428.24"
"SUSAN A. POINT, ARTIST","38,069.14"
SUTTLE RECREATION INC.,"41,272.08"
SUTTON ROAD MARKING LTD.,"1,434,627.42"
SWAN COMMUNITY SERVICES LTD.,"34,320.00"
SWR DRAIN SERVICE LTD,"56,441.17"
"SYSCO CANADA, INC.","57,541.06"
TAG CONSTRUCTION LTD.,"2,610,449.36"
TALBOT MARKETING,"102,565.28"
TAYLOR KURTZ ARCHITECTURE & DESIGN INC.,"720,669.08"
TELUS COMMUNICATIONS COMPANY,"630,078.32"
TELUS SERVICES INC. PAYMENT PROCESSING,"486,529.68"
TERMINAL VIDEO LISTING INC.,"245,942.94"
TERRA EQUIPMENT LTD.,"84,939.76"
TERRALINK HORTICULTURE INC.,"35,928.27"
TERVITA CORPORATION,"139,600.70"
TETRA TECH CANADA INC.,"389,870.26"
"THE ACTIVE NETWORK, LTD.","109,423.48"
THE AME CONSULTING GROUP LTD.,"77,740.24"
"THE BERRANT GROUP, A DIVISION OF BERRANT INTERNATIONAL","33,474.00"
THE CANADIAN RED CROSS SOCIETY,"99,678.17"
THE CENTRE FOR CHILD DEVELOPMENT OF THE L.MAINLAND,"88,411.20"
THE CO-OPERATORS,"39,766.38"
THE DRIVING FORCE INC.,"206,178.44"
THE FELDMAN AGENCY,"77,875.00"
THE FINDOLOGIST,"37,497.06"
THE HERJAVEC GROUP INC.,"90,730.25"
THE HOCKEY SHOP,"62,613.73"
THE HOME DEPOT,"55,622.50"
THE LOGIC GROUP,"86,523.54"
THE TEMPEST DEVELOPMENT GROUP INC.,"188,065.74"
THE W GROUP,"178,117.44"
THINKSPACE ARCHITECTURE PLANNING INTERIOR DESIGN,"52,989.08"
THURBER ENGINEERING LTD.,"154,712.87"
TIDE'S OUT SERVICES LTD.,"859,874.97"
TIENSHER MANAGEMENT GROUP,"25,305.00"
TK GRAPHICS,"283,852.56"
TMF TEXTILE SERVICES,"30,532.03"
TODAY'S TILE LTD,"48,796.55"
TOMKO SPORTS SYSTEMS INC.,"33,315.65"
TOPPING ELECTRONICS - DIV.  OF INSPECTECH ANALYGAS GROUP INC.,"35,936.43"
"TOTER, LLC C/O WASTEQUIP, LLC","550,231.90"
TRANE CANADA T42324C,"211,562.62"
TRANSFORM COMPOST SYSTEMS,"47,763.56"
TRANSITION CONSTRUCTION INC.,"95,288.47"
TRICO EXCAVATING INC.,"918,738.18"
TURNBULL CONSTRUCTION PROJECT MANAGERS LTD.,"141,683.20"
TWO TALL TOTEMS LTD.,"39,768.75"
TYBO CONTRACTING LTD.,"4,237,045.08"
UBCM,"62,116.08"
UBS INDUSTRIES,"47,408.23"
ULINE CANADA CORPORATION,"64,744.85"
ULMER CONTRACTING LTD.,"88,725.00"
UNION OF BRITISH COLUMBIA MUNICIPALITIES,"107,941.50"
UNIT4 BUSINESS SOFTWARE CORP,"270,557.22"
UNIVERSAL LANDSCAPING INC,"26,729.85"
UNIVERSITY OF THE FRASER VALLEY,"60,090.00"
UNIVERSITY SPRINKLERS,"47,502.00"
UNIWELD SERVICES (2007) LTD.,"43,194.46"
UPAKNEE INC.,"197,270.44"
URBAN SYSTEMS LTD.,"574,870.15"
VALLEY MOBILE POWERWASH (AVON-LEAH ENTERPRISES LTD.),"56,459.88"
VALLEY TRAFFIC SYSTEMS INC,"159,561.78"
VANCOUVER CASKET LTD.,"45,020.22"
VANE LAWN & GARDEN SERVICES LTD.,"487,902.72"
VERGE CONTRACTING SERVICES INC.,"162,392.70"
"VERITIV CANADA, INC.","69,485.61"
VIKING FIRE PROTECTION INC.,"29,174.77"
VIMAR EQUIPMENT LTD.,"120,762.49"
VISION CRITICAL COMMUNICATIONS INC.,"45,353.28"
VP DEVELOPMENTS INC.,"29,822.37"
W.K. WILLIAMS CONSULTING SERVICES,"40,409.25"
WAJAX EQUIPMENT,"100,681.83"
WAL-MART SUPERCENTRE,"45,319.76"
WASTE MANAGEMENT OF CANADA CORPORATION,"342,699.19"
WATER POLO CANADA,"41,000.00"
WATERMARK SOLUTIONS LTD,"74,928.00"
WEB ENGINEERING LTD.,"1,082,741.83"
WEDLER ENGINEERING LLP,"115,820.70"
WEST COAST BARK PRODUCTS INC,"35,931.53"
WEST COAST NISSAN LTD.,"109,935.84"
WEST PACIFIC CONSULTING GROUP MANAGED SERVICES INC. dba ITIQ TECH RECRUITERS,"265,363.90"
WESTBURNE WEST DIVISION OF REXEL CANADA ELECTRICAL INC.,"27,638.90"
WESTCHEM MFG. LTD.,"78,374.10"
WESTERN SAFETY PRODUCTS LTD.,"46,148.78"
WESTVAC INDUSTRIAL LTD.,"59,148.33"
WESTVIEW SALES LTD.,"92,894.35"
WF ARCHITECTURE INC. & AEPLI ARCHITECTURE INC. DBA FRANCL ARCHITECTURE,"610,012.93"
WILCO CIVIL INC.,"326,538.63"
WILD WEST GARDENS LTD.,"51,706.38"
WILL CREATIVE INC.,"35,122.50"
WILLIS CANADA INC.,"1,891,995.00"
WINVAN PAVING LTD.,"5,460,498.12"
WOLSELEY CANADA INC.,"347,887.27"
WOOD WYANT INC.,"75,417.43"
"WORK AUTHORITY, A DIVISION OF KODIAK GROUP HOLDINGS CO.","50,949.76"
WORK TRUCK WEST A DIV OF WEST COAST MACHINERY,"396,509.63"
WORKSAFE BC WORKERS COMPENSATION BOARD/BC,"3,078,687.43"
WSP CANADA INC.,"41,497.12"
WURTH CANADA LTD,"33,677.26"
XEROX CANADA LTD.,"567,618.69"
XYLEM CANADA COMPANY,"34,664.54"
YARD-AT-A-TIME CONCRETE (1988) LTD.,"245,181.01"
YELLOW PENCIL INC.,"578,878.67"
ZAPPONE TRUCKING LTD.,"57,079.05"
Z-CARD CANADA,"33,132.76"
ZEEMAC VEHICLE LEASE LTD.,"123,426.64"
ZENTERRA GRANDVIEW LIMITED PARTNERSHIP,"28,921.63"
ZENTERRA SUNNYSIDE TITLE CO LTD.,"473,946.03"
ZIBIT DESIGN & DISPLAY,"67,125.38"
ZONE WEST ENTERPRISES LTD.,"36,511.48"
ZYNBIT.COM INC,"41,351.43"
,
"Consolidated Total Paid to Suppliers Who Received Aggregate Payment Exceeding $25,000","507,973,804.50"
,
"Consolidated Total Paid to Suppliers Who Received Aggregate Payment of $25,000 or less","13,568,599.58"
,
Total Amount Paid to Suppliers,"521,542,404.08"
