SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
SAFELIGHT COMMUNICATIONS LTD.,30742.76
SANDHURST PROPERTIES INC.,1293333.6
SBC INSURANCE AGENCIES LTD.,34479.77
SCALAR DECISIONS INC.,61882.44
SCHINDLER ELEVATOR CORPORATION,238740.9
SCHOOL DISTRICT (NO. 36),77443.03
SEA TO SKY TRANSFER,105319.04
SEMIAHMOO BULLDOZING & TRUCKING LTD.,140802.39
SENTINEL SECURITY SOLUTIONS INC.,141230.04
SHANAHAN´S BUILDING PRODUCTS DIV OF SHANAHANS LTD PARTNERSHIP,50981.28
SHAPE ARCHITECTURE INC.,68367.72
"SHAW BUSINESS, A DIVISION OF SHAW TELECOM G.P",36381.91
SHAW CABLESYSTEMS G.P.,94213.95
SHELL CANADA PRODUCTS LIMITED,34406.13
SHERATON VANCOUVER GUILDFORD HOTEL,30627.36
SHERINE INDUSTRIES LTD.,78674.83
SHOWTIME EVENT & DISPLAY,34660.3
SIERRA SYSTEMS GROUP INC.,131700.8
SIGNS NOW,44093.22
SIMON FRASER UNIVERSITY,38319.72
SINGH TRUCKING,36798.04
SINGLETON URQUHART LLP,33198.6
SIRSI CORP DBA: SIRSIDYNIX,66979.61
SKYE CONSULTING,95805
SMITH-CAMERON PUMP SOLUTIONS,151072.32
SMITHRITE DISPOSAL LTD.,343265.34
SMS EQUIPMENT INC.,49482.66
"SOCIETY OF COMPOSERS, AUTHORS AND MUSIC PUBLISHERS OF CANADA",27982.01
SOFTCHOICE CORPORATION,183793.43
SOUND SOLUTIONS (2002) INC.,36519.29
SOURCE OFFICE FURNISHINGS & SYSTEMS LTD.,43633.5
SOUTH 60 DEVELOPMENT INC.,157717.01
SOUTHERN RAILWAY OF BC LTD.,103749.58
SOUTHWESTERN FLOWTECH & ENVIRONMENTAL LTD.,121099.95
SPECIALTY COATINGS CO. DIV. OF L&M PAINTING & DEC.,37716
SPECIMEN TREES WHOLESALE NURSERIES LTD.,55183.96
SPICERS CANADA LTD.,161213.04
SPORT MEDICINE COUNCIL OF B.C.,28541.91
SPOTLESS JANITORIAL SERVICES,30474.95
SR ENVIRONMENTAL GROUP INC.,54395.25
STAALS EQUIPMENT LTD.,55720
STANTEC CONSULTING LTD.,1049778.43
STEELE´S GARAGE,99437.77
STEER DAVIES & GLEAVE NORTH AMERICA INCORPORATED,102899
"STEFAN, FRASER & ASSOCIATES INC.",145118.31
STEVE MURRAY TRUCKING,49159.64
STILLWOOD CAMP & CONFERENCE CENTRE,30980
STONEMARKS ENGRAVING,41568.4
STUDIO ROSO LIMITED,353942.54
SULLIVAN HILLS DEVELOPMENT CORPORATION,38192
SULLY´S LANDSCAPING & LAWNCARE,41863.72
SUNCOR ENERGY PRODUCTS PARTNERSHIP,48636.9
SUNCORP VALUATIONS LTD.,39532.5
SUNRISE LANDSCAPING LTD.,119576.4
SUPER SAVE DISPOSAL INC.,164048.92
SUPER SAVE TOILET RENTALS INC.,32139.93
SUPERIOR CITY SERVICES LTD.,370461.58
SUPERIOR PROPANE INC.,32894.32
SURREY ASSOCIATION FOR COMMUNITY LIVING,69301.98
SURREY BOARD OF TRADE,32101.98
SURREY CRIME PREVENTION SOCIETY,32250
SURREY FOOD BANK SOCIETY,35199.88
SURREY INTERNATIONAL MARATHON SOCIETY,165000
SURREY MEMORIAL HOSPITAL FOUNDATION,405546.28
SURREY RADIATOR & AIR CONDITIONING,58662.62
SURREY TOURISM AND CONVENTION ASSOCIATION,456992.53
SUSTAINABLE CONCRETE CANADA LTD,789801.4
SUTTLE RECREATION INC.,167430.92
SUTTON ROAD MARKING LTD.,385202.56
SUTTON WEST COAST REALTY-VAN49,52479.78
SWAN COMMUNITY SERVICES LTD.,34320
SWR DRAIN SERVICE LTD,134606.65
SYMANTEC CORPORATION,32735.21
"SYSCO FOOD SERVICES OF CANADA, INC.",110026.55
TAG CONSTRUCTION LTD.,7542028.89
TARGA CONTRACTING LTD.,151756.92
TASK CONSTRUCTION MANAGEMENT,81621.95
TAYLOR KURTZ ARCHITECTURE & DESIGN INC.,1590476.34
TEAM 3000 REALTY LTD.,57198.75
TEK SYSTEMS CANADA INC.,952752.75
TELUS COMMUNICATIONS COMPANY,984665.71
TELUS COMMUNICATIONS INC.,184353.16
TELUS OUTSIDE PLANT ENGINEERING,206512.94
TELUS SERVICES INC. PAYMENT PROCESSING,414689.34
TERRA EQUIPMENT LTD.,60151.98
TERRASOL ENVIRONMENT INC.,59613.12
TEXTILE IMAGE INC.,39513.38
"THE ACTIVE NETWORK, LTD.",93490
"THE AGENCY GROUP, LTD.",29875
THE AME CONSULTING GROUP LTD.,84320.4
THE CO-OPERATORS,45190.74
THE CORPORATION OF DELTA,103110.48
THE DRIVING FORCE INC.,135000.92
THE DUTCHMAN´S CATERERS LTD.,28553.85
THE FELDMAN AGENCY,25500
THE FINDOLOGIST,49943.56
THE LOGIC GROUP,43593.4
THE PEPSI BOTTLING GROUP (CANADA) CO.,30349.95
THE TEMPEST DEVELOPMENT GROUP INC.,231722.24
THE W GROUP,49700
THORNLEY ADVERTISING SERVICES LTD,57934.71
THURBER ENGINEERING LTD.,81838.51
TIDE´S OUT SERVICES LTD.,756642.18
T-KENNEL,97536.62
TODAY´S TILE LTD,145891
TOPPING ELECTRONICS - DIV.  OF INSPECTECH ANALYGAS GROUP INC.,36624
TOTAL ENERGY SYSTEMS LTD.,133572.11
TOTER INCORPORATED,4331168.95
TOURISM SURREY,30509.5
TRAFCO (CANADA),37754.74
TRAILER WIZARDS LTD.,28616
TRANE CANADA T42324C,192494.93
TRANSAFE CONSULTING LTD.,54289.91
TRANSLINK,57031.54
TRI ENVIRONMENTAL CONSULTING INC.,74037.4
TRICO EXCAVATING INC.,1033233.71
TRILLIUM INFRASTRUCTURE SOLUTIONS INC.,327918.26
TURNBULL CONSTRUCTION SERVICES LTD.,303839.75
TYBO CONTRACTING LTD.,6578534.77
U.S. BANCORP CANADA CO.,643005.9
UBS INDUSTRIES,59901.32
ULMER CONTRACTING LTD.,50876
UNION OF BRITISH COLUMBIA MUNICIPALITIES,64684.51
UNISOURCE CANADA INC.,122066.44
UNIT4 BUSINESS SOFTWARE CORP,997225.38
"UNITED RENTALS OF CANADA, INC.",33927.58
UNITED WAY OF THE LOWER MAINLAND,206563.78
UNITOW SERVICES (1978) LTD.,45929.27
UNIVERSAL POWER SOLUTIONS INC.,46152.4
UNIVERSAL SUPPLY CO. INC,45112.5
UNIVERSITY OF THE FRASER VALLEY,190544
UNIWELD SERVICES (2007) LTD.,131956.25
URBAN SYSTEMS LTD.,614675.61
URS CANADA  INC.,138840.82
VALLEY MOBILE POWERWASH (AVON-LEAH ENTERPRISES LTD.),52372.64
VALLEY TRAFFIC SYSTEMS INC,81303.29
VAN DER ZALM & ASSOCIATES INC.,99458.98
VANCOUVER AREA CYCLING COALITION,63750
VANCOUVER CASKET LTD.,41545.35
VANE LAWN & GARDEN SERVICES LTD.,843692.76
VENKATESH HOLDING COMPANY (1998) LTD.,38900
VIMAR EQUIPMENT LTD.,47888.78
VISION CRITICAL COMMUNICATIONS INC.,58377.9
W.K. WILLIAMS CONSULTING SERVICES,60701.2
WALES MCLELLAND CONSTRUCTION COMPANY (1988) LTD.,33600
WAL-MART CANADA INC.,37655.59
WALNUT GROVE CONSTRUCTION,49339.12
WASTE MANAGEMENT OF CANADA CORPORATION,84929.22
WATERFORD PARTNERS INC.,107900.36
WEB ENGINEERING LTD.,1248394.03
WEDLER ENGINEERING LLP,107246.99
WEEDBUSTERS LTD. LANDSCAPE MAINTENANCE SERV,37082.05
WEST COAST BARK PRODUCTS INC,31620.83
WEST PACIFIC CONSULTING GROUP MANAGED SERVICES INC.,410593.09
WESTBURNE WEST DIVISION OF REXEL CANADA ELECTRICAL INC.,34322.3
WESTCHEM MFG. LTD.,53504.6
WESTERN DECAL LTD.,31901.32
WESTERN SAFETY PRODUCTS LTD.,49066.36
WESTERN TURF FARMS LTD.,25646.18
WESTKEY GRAPHICS LTD.,29863.36
WESTPORT CONSTRUCTION GROUP INC.,3002032.06
WESTPRO INFRASTRUCTURE LTD.,7724444.62
WESTSHORE CONSTRUCTORS LTD.,96456.14
WESTVIEW SALES LTD.,148889.47
WHITE PAPER CO. LTD.,84187.41
WICKE HERFST MAVER CONSULTING INC.,25418.19
WILCO CIVIL INC.,356031.66
WILLETTS CONTRACTING (2004)LTD,67781.7
WILLIS CANADA INC.,1892034
WINVAN PAVING LTD.,7828008.29
WOLSELEY CANADA INC.,411376.51
WOOD WYANT INC.,75178.57
"WORK AUTHORITY, A DIVISION OF KODIAK GROUP HOLDINGS CO.",56056.45
WORKSAFE BC WORKERS COMPENSATION BOARD/BC,1815325.03
WORLEYPARSONS CANADA SERVICES LTD.,112039.14
WPCG FINANCE & PROFESSIONAL RECRUITMENT INC.,37776.38
XEROX CANADA LTD.,422384.48
XYLEM CANADA COMPANY,61896.33
YARD-AT-A-TIME CONCRETE (1988) LTD.,234719.65
YELLOW PENCIL INC.,832253
YOLLES PARTNERSHIP INC,32320.96
YOUNG WOMEN´S CHRISTIAN ASSOCIATION,426544.08
"YOUNG, ANDERSON BARRISTERS & SOLICITORS",38748.24
ZAHRA INVESTMENTS LTD.,50000
ZAPPONE TRUCKING LTD.,27514.33
ZONDERVAN ASSOCIATES ENGINEERING LTD.,37012.51
ZONE WEST ENTERPRISES LTD.,69189.19
"PAYMENTS TO SUPPLIERS WHO RECEIVED AGGREGATE PAYMENTS EXCEEDING $25,000",585654451.4
,
"CONSOLIDATED TOTAL PAID TO SUPPLIERS WHO RECEIVED AGGREGATE PAYMENTS OF $25,000 OR LESS",13255709.61
