BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,ADDRESS,POSTAL_CODE,PHONE,TOWN_CENTRE,BUSINESS_LICENCE_APPLICATION_TYPE,NAIC,NAIC_DESCRIPTION,SECTORS,LONGITUDE,LATITUDE
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,13450 102 Ave,V3T5X3,6045826620,SCC,Commercial/Industrial,445310,"Beer, Wine & Liquor Stores",,-122.849125,49.188109
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,13450 102 Ave,V3T5X3,6045826620,SCC,Commercial/Industrial,722110,Restaurants,,-122.849125,49.188109
Central City Brewers & Distillers Ltd,"Restaurant, Neighbourhood Pub, Beer & Wine Store",190,13450,102 Ave,13450 102 Ave,V3T5X3,6045826620,SCC,Commercial/Industrial,722410,Drinking Places,,-122.849125,49.188109
Central City Brewers & Distillers Ltd,Manufacturer - Brewery & Distillery with small onsite Retail (selling only items produced on property,,11411,Bridgeview Dr,11411 Bridgeview Dr,V3R0C2,6045826620,WTC,Commercial/Industrial,312120,Breweries,,-122.863767,49.209429
Central City Brewers & Distillers Ltd,Manufacturer - Brewery & Distillery with small onsite Retail (selling only items produced on property,,11411,Bridgeview Dr,11411 Bridgeview Dr,V3R0C2,6045826620,WTC,Commercial/Industrial,722511,Full-service restaurants,,-122.863767,49.209429
Central City Comix Co,Retail Comics & Collectibles,,10221,King George Blvd,10221 King George Blvd,V3T2W6,6049518757,SCC,Commercial/Industrial,451120,"Hobby, Toy & Game Stores",,-122.845534,49.188317
Central City Fresh Slice Pizza Ltd,Restaurant - No Alcohol,101,10252,135 St,10252 135 St,V3T4C2,6049572277,SCC,Commercial/Industrial,722110,Restaurants,,0.000000,0.000000
Central City Insurance Services Inc,Insurance Agent,121,7218,King George Blvd,7218 King George Blvd,V3W5A5,6045983004,NTC,Commercial/Industrial,524210,Insurance Agencies & Brokerages,,-122.845443,49.133826
Central City Law Corporation,Professional Practitioner-Lawyer,1139,10153,King George Blvd,10153 King George Blvd,V3T2W1,7783956588,SCC,Commercial/Industrial,541110,Offices of Lawyers,,-122.845548,49.186961
Central City Medical Clinic,Professional Practitioner-Medical,3110,10153,King George Blvd,10153 King George Blvd,V3T2W1,6049510885,SCC,Commercial/Industrial,621110,Offices of Physicians,,-122.845548,49.186961
Central Countertop,Countertop Contractor,4,12468,82 Ave,12468 82 Ave,V3W3E9,6045012725,NTC,Commercial/Industrial,232460,Finish Carpentry & Wood Flooring Work,,-122.876767,49.151903
Central Painting Inc,Contractor - Painting,510,13329,78 Ave,13329 78 Ave,V3W5B9,8884560926,NTC,Commercial/Industrial,232450,Building Painting & Paperhanging Work,,-122.853238,49.144616
Central Service,Auto Serv. & Repair,,8782,Harvie Rd,8782 Harvie Rd,V3S5X7,6045139979,GTC,Commercial/Industrial,811111,General Automotive Repair,,-122.699634,49.162181
Centre for Child Development of the Lower Mainland The,Non Profit Society providing rehabilitation services to children with special needs and their famili,,9460,140 St,9460 140 St,V3V5Z4,6045841361,WTC,Commercial/Industrial,813990,Other Membership Organizations,,-122.834455,49.174913
Centre Line Autobody & Repair,Auto Body/Painting,4,7680,134 St,7680 134 St,V3W7T8,6045994515,NTC,Commercial/Industrial,811111,General Automotive Repair,,-122.851071,49.142348
Centreline Auto Sales,Auto Dealer/Rebuilder,4,7680,134 St,7680 134 St,V3W7T8,6045994515,NTC,Commercial/Industrial,441120,Used Car Dealers,,-122.851071,49.142348
Centreline Auto Sales,Auto Dealer/Rebuilder,4,7680,134 St,7680 134 St,V3W7T8,6045994515,NTC,Commercial/Industrial,811111,General Automotive Repair,,-122.851071,49.142348
Centricare Medical Center,Professional Practioner - Medical Clinic,104,8140,120 St,8140 120 St,V3W3N3,6045936616,NTC,Commercial/Industrial,621110,Offices of Physicians,,-122.890226,49.151143
Centum Axis Mortgage Corp,Financial Planning/Consultant,204,12885,80 Ave,12885 80 Ave,V3W0E6,6048312947,NTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.865525,49.148250
Centum D G Dotcom Financial Services Inc,Mortgage Broker,207,13049,76 Ave,13049 76 Ave,V3W2V7,6045013800,NTC,Commercial/Industrial,522310,Mortgage & Non-Mortgage Loan Brokers,,-122.860523,49.141054
Centum Mortgage Concept Inc,General Business Office,206,13569,76 Ave,13569 76 Ave,V3W2W3,6045978700,NTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.845989,49.140933
Centurion Trucking Inc,Logistics,109,12921,84 Ave,12921 84 Ave,V3W1B3,7785651486,NTC,Commercial/Industrial,484120,General Freight Trucking,,-122.864838,49.155465
Century 21 Coastal Realty Ltd,Real Estate Office,105/,7928,128 St,7928 128 St,V3W4E8,6045994888,NTC,Commercial/Industrial,531210,Offices of Real Estate Agents & Brokers,,-122.867811,49.146551
Century Books,Retail Books & Magazines,101N,15277,100 Ave,15277 100 Ave,V3R8X2,6045813471,GTC,Commercial/Industrial,451210,Book Stores & News Dealers,,-122.798808,49.184313
Century Locksmith,Locksmith,101Q,15277,100 Ave,15277 100 Ave,V3R8X2,6042821580,GTC,Commercial/Industrial,561622,Locksmiths,,-122.798808,49.184313
Century Sign System Ltd,Sign Manufacturer,6,8125,130 St,8125 130 St,V3W7X4,6048922218,NTC,Commercial/Industrial,541899,All Other Services Related to Advertising,,-122.862412,49.150264
Century Twenty One Gas & Heating Ltd,Contractor - Plumbing/Heating,1,12335,83A Ave,12335 83A Ave,V3W9Y7,6045994404,NTC,Commercial/Industrial,232520,"Plumbing, Heating & Air-Conditioning Installation",,-122.880337,49.154732
Cerebral Palsy Sports Association Of B C,Non Profit Organization,A,6235,136 St,6235 136 St,V3X1H3,6045995240,NTC,Commercial/Industrial,813990,Other Membership Organizations,,-122.845569,49.115692
Cerna Collision Ltd,Autobody & Paint Shop,,11987,Old Yale Rd,11987 Old Yale Rd,V3V3X4,6045802074,WTC,Commercial/Industrial,811121,"Automotive Body, Paint & Interior Repair & Maintenance",,-122.890003,49.203056
Certified Folder Display Service Canada Inc,Warehouse,45,13320,78 Ave,13320 78 Ave,V3W0H6,6045729203,NTC,Commercial/Industrial,493190,Other Warehousing & Storage,,-122.853473,49.144437
C'est Si Bon Cosmetics Inc,Retail - Cosmetics,,13782,104 Ave,13782 104 Ave,V3T1W5,6048748655,SCC,Commercial/Industrial,446120,"Cosmetics, Beauty Supplies & Perfume Stores",,-122.840072,49.191462
CF Canada Financial Group Inc,Financial Serv.,2008,7445,132 St,7445 132 St,V3W1J8,6045969285,NTC,Commercial/Industrial,522310,Mortgage & Non-Mortgage Loan Brokers,,-122.856870,49.137892
Chalifour Canada Ltd,"Whlse. Building Materials,Vending Machine",,7846,128 St,7846 128 St,V3T4X7,6045961551,NTC,Commercial/Industrial,416320,"Lumber, Plywood & Millwork Wholesaler-Distributors",,-122.867805,49.144781
Chalifour Canada Ltd,"Whlse. Building Materials,Vending Machine",,7846,128 St,7846 128 St,V3T4X7,6045961551,NTC,Commercial/Industrial,416330,Hardware Wholesaler-Distributors,,-122.867805,49.144781
Challenger Doors Door Depot,Manufacturer/Machine Shop - Door assembly,,12999,80 Ave,12999 80 Ave,V3W3B1,6045014800,NTC,Commercial/Industrial,332710,Machine Shops,,-122.862437,49.148255
Chamco Industries Ltd,Warehouse & Repair - Pumps/Compressors,,9444,190 St,9444 190 St,V4N3S2,6045138770,GTC,Commercial/Industrial,417230,"Industrial Machinery, Equipment & Supplies Wholesaler-Distributors",,-122.695910,49.174227
Chamco Industries Ltd,Warehouse & Repair - Pumps/Compressors,,9444,190 St,9444 190 St,V4N3S2,6045138770,GTC,Commercial/Industrial,493190,Other Warehousing & Storage,,-122.695910,49.174227
Chamkaur Jeweller Inc,Jewellery,114,8312,128 St,8312 128 St,V3W4G2,6045014033,NTC,Commercial/Industrial,448310,Jewellery Stores,,-122.867855,49.153661
Champers Salons (120 St),"Hairdressing, Esthetics & Tanning,Tanning Salon,Hair&  esthetics",110,6388,120 St,6388 120 St,V3X3K1,6045721155,NTC,Commercial/Industrial,812115,Beauty Salons,,-122.890240,49.119045
Champers Salons (120 St),"Hairdressing, Esthetics & Tanning,Tanning Salon,Hair&  esthetics",110,6388,120 St,6388 120 St,V3X3K1,6045721155,NTC,Commercial/Industrial,812190,Other Personal Care Services,,-122.890240,49.119045
Champers Salons Champers Hair Design,Hairdressing Salon,201,15920,Fraser Hwy,15920 Fraser Hwy,V4N0X8,6045838020,FTC,Commercial/Industrial,812114,Barber Shops,,-122.781466,49.158273
Champers Salons Champers Hair Design,Hairdressing Salon,201,15920,Fraser Hwy,15920 Fraser Hwy,V4N0X8,6045838020,FTC,Commercial/Industrial,812115,Beauty Salons,,-122.781466,49.158273
Champers Tanning Salon,Tanning Salon,201,15920,Fraser Hwy,15920 Fraser Hwy,V4N0X8,6045724070,FTC,Commercial/Industrial,812190,Other Personal Care Services,,-122.781466,49.158273
Champion All Star Cheerleading Academy,Cheerleading Dance School,103/,2255,King George Blvd,2255 King George Blvd,V4A5A4,7788819374,SSTC,Commercial/Industrial,611610,Fine Arts Schools,,-122.790384,49.042890
Champion Machining Ltd,Manufacturer/Machine Shop,2,9434,193A St,9434 193A St,V4N4N4,6048882551,GTC,Commercial/Industrial,332710,Machine Shops,,-122.685697,49.173892
Champs Sports Store #70040,Sporting goods,,2267,Guildford Town Centre,2267 Guildford Town Centre,V3R7B9,6045811138,GTC,Commercial/Industrial,451110,Sporting Goods Stores,,0.000000,0.000000
Chancery Chambers Law Corporation,Law Office,201,15300,Croydon Dr,15300 Croydon Dr,V3S0Z5,6045352545,SSTC,Commercial/Industrial,541110,Offices of Lawyers,,-122.798212,49.060090
Chand Hair Design Inc,Esthetician,,12847,96 Ave,12847 96 Ave,V3V6V9,6045889399,SCC,Commercial/Industrial,812115,Beauty Salons,,-122.866278,49.177251
Chand Medical Walk In Clinic,Professional Practitioner-Medical,104,15122,72 Ave,15122 72 Ave,V3S2G2,6045935156,NTC,Commercial/Industrial,621110,Offices of Physicians,,-122.803270,49.133600
Chang Inc Dr Albert,Professional Practitioner-Medical,305,13798,94A Ave,13798 94A Ave,V3V1N1,6045851888,WTC,Commercial/Industrial,621110,Offices of Physicians,,-122.840150,49.174616
Chang's Taekwondo Martial Arts,Martial Arts Training Studio,4,15531,24 Ave,15531 24 Ave,V4A2J4,6045419457,SSTC,Commercial/Industrial,611410,Business & Secretarial Schools,,-122.792152,49.045680
Chang's TaeKwonDo Martial Arts,Recreational Facility,107,19232,Enterprise Way,19232 Enterprise Way,V3S2J4,6045419457,CTC,Commercial/Industrial,713940,Fitness & Recreational Sports Centres,,-122.684538,49.110976
Chapters Inc,Retail Sales - Books,100,12101,72 Ave,12101 72 Ave,V3W2M1,0,NTC,Commercial/Industrial,451210,Book Stores & News Dealers,,-122.887484,49.134141
Charger Engineering Ltd,Engineering,8,9510,189 St,9510 189 St,V4N4W7,6048883682,GTC,Commercial/Industrial,541330,Engineering Services,,-122.698770,49.175367
Charles Groos Law Office,Professional Practitioner-Lawyer,202A,8556,120 St,8556 120 St,V3W3N5,6045981277,NTC,Commercial/Industrial,541110,Offices of Lawyers,,-122.890231,49.158628
Charley's Grilled Subs,Restaurant,2735,10153,King George Blvd,10153 King George Blvd,V3T2W1,6047719473,SCC,Commercial/Industrial,722110,Restaurants,,-122.845548,49.186961
Charlie Smith Machine Works Ltd,Manufacturing & Fabrication,,9800,190 St,9800 190 St,V4N3M9,6048882769,GTC,Commercial/Industrial,332710,Machine Shops,,0.000000,0.000000
Charming Affairs Decor & Event Design,Event Design,,12311,67A Ave,12311 67A Ave,V3W019,6043078766,NTC,Commercial/Industrial,812940,Party & Special Event Services & Rental,,-122.881513,49.125915
Chartac Management Consultants,"Business, Financial and Accounting Services",203,8268,120 St,8268 120 St,V3W3N4,6045184459,NTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.890231,49.153568
Chartwell Asset Management Inc,Financial Planning/Consultant - Asset Mangement,303,15957,84 Ave,15957 84 Ave,V4N0W7,6045938940,FTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.780076,49.155555
Chartwell Financial Group,Insurance Agency,100,5455,152 St,5455 152 St,V3S5A5,6045967188,NTC,Commercial/Industrial,524210,Insurance Agencies & Brokerages,,-122.801203,49.101846
Chase Auto Body Supplies Ltd,"Whlse. Auto Paint & Body Supplies,Snowmobile Repairs,Millwork",13,19257,Enterprise Way,19257 Enterprise Way,V3S6J8,6045305622,CTC,Commercial/Industrial,415290,Other New Motor Vehicle Parts & Accessories Wholesaler-Distributors,,-122.688773,49.107886
Chatha Electrical Services Ltd,Contractor - Electrical,311,17750,65A Ave,17750 65A Ave,V3S5N4,6045745562,CTC,Commercial/Industrial,232510,Electrical Contractors & Other Wiring Installation Contractors,,-122.730696,49.121072
Chatr Wireless,Retail Merchant - Wireless/Cellular phones,K200,10153,King George Blvd,10153 King George Blvd,V3T2W1,4169353355,SCC,Commercial/Industrial,443110,"Appliance, Television & Other Electronics Stores",,-122.845548,49.186961
Chatters Salon,"Retail Merchant - Beauty Products, Hair Salon/Barber",2130,10355,152 St,10355 152 St,V3R7C1,6049304247,GTC,Commercial/Industrial,44612,"Cosmetics, beauty supplies & perfume stores",,-122.801021,49.190628
Chatters Salon South Surrey Ltd,"Hair Salon/Barber, Retail,Retail Merchant - 10 to 19 Employees",80,16041,24 Ave,16041 24 Ave,V3S9H7,7782944410,SSTC,Commercial/Industrial,446120,"Cosmetics, Beauty Supplies & Perfume Stores",,-122.778115,49.045644
Chatters Salon South Surrey Ltd,"Hair Salon/Barber, Retail,Retail Merchant - 10 to 19 Employees",80,16041,24 Ave,16041 24 Ave,V3S9H7,7782944410,SSTC,Commercial/Industrial,812115,Beauty Salons,,-122.778115,49.045644
Chawla's Indian Cuisine,Restaurant - No Alcohol,117,7500,120 St,7500 120 St,V3W3N1,7785931111,NTC,Commercial/Industrial,722110,Restaurants,,-122.890216,49.139065
Check Point Plumbing Heating & Gas Fitting Inc,Plumbing/Heating Cont.,,3033,King George Blvd,3033 King George Blvd,V4P1B8,6045351768,SSTC,Commercial/Industrial,232520,"Plumbing, Heating & Air-Conditioning Installation",,-122.808233,49.057290
Checkers Premium Fudge Inc,Manufacturer,150,19358,96 Ave,19358 96 Ave,V4N4C1,6049084035,GTC,Commercial/Industrial,332710,Machine Shops,,-122.686685,49.176903
Checkwell Decision Corporation,Pre-Employment Background Verifications,200,19433,96 Ave,19433 96 Ave,V4N4C4,6045064663,GTC,Commercial/Industrial,561611,Investigation Services,,-122.684965,49.177081
Cheekychops Consulting Inc,Warehouse - Distributor of sleep sacs and other equipment for sleep training/SIDS,4,17942,55 Ave,17942 55 Ave,V3S6C8,7782988908,CTC,Commercial/Industrial,493190,Other Warehousing & Storage,,-122.725149,49.102199
Cheetah Transport Ltd,Warehouse,103,9785,192 St,9785 192 St,V4N4C7,6048827579,GTC,Commercial/Industrial,493190,Other Warehousing & Storage,,-122.690442,49.180517
Chef's Kebab Restaurant,Restaurant,,16225,Fraser Hwy,16225 Fraser Hwy,V4N0G1,6045935384,FTC,Commercial/Industrial,722110,Restaurants,,-122.772602,49.155032
"Chelsea Schille, RMT",Massage Therapy (RMT),100,10366,136A St,10366 136A St,V3T5R3,6049308211,SCC,Commercial/Industrial,621370,Offices of Massage Therapists,,-122.843195,49.190746
Chemist Pharmacy No 1 The,Retail Pharmacy,17,15300,105 Ave,15300 105 Ave,V3R6A7,6046340303,GTC,Commercial/Industrial,446110,Pharmacies & Drug Stores,,-122.798009,49.193226
Cheryl's Trading Post,Retail Merchant - 0 to 2 Employees,103,1711,152 St,1711 152 St,V4A4N3,6045385008,SSTC,Commercial/Industrial,453220,"Gift, Novelty & Souvenir Stores",,-122.801320,49.033145
Chevron Gas Station,"Gas Station, Retail",,7177,152 St,7177 152 St,V3S8A5,6045906953,NTC,Commercial/Industrial,447110,Gasoline Stations with Convenience Stores,,-122.801216,49.133253
Chevron Scottsdale Town Pantry,"Retail Merchant - Convenience Store, Service Station",,7390,120 St,7390 120 St,V3W3M9,6045969625,NTC,Commercial/Industrial,447110,Gasoline Stations with Convenience Stores,,-122.890217,49.137167
Chevron Scottsdale Town Pantry,"Retail Merchant - Convenience Store, Service Station",,7390,120 St,7390 120 St,V3W3M9,6045969625,NTC,Commercial/Industrial,447190,Other Gasoline Stations,,-122.890217,49.137167
Chevron Town Pantry (10398 Scott Rd),Retail Conv. Store,,10398,Scott Rd,10398 Scott Rd,V3V4G2,6045882490,WTC,Commercial/Industrial,445120,Convenience Stores,,-122.889906,49.192216
Chevron Triple O,Restaurant,,15588,Fraser Hwy,15588 Fraser Hwy,V3S2V9,6045431707,FTC,Commercial/Industrial,722110,Restaurants,,-122.790610,49.161815
Chew Dr S & Dr K Low,Professional Practitioner-Medical,28,15300,105 Ave,15300 105 Ave,V3R6A7,6045846666,GTC,Commercial/Industrial,621110,Offices of Physicians,,-122.798009,49.193226
Chez Louise,Hairdressing,,13525,Hilton Rd,13525 Hilton Rd,V3R5J3,6045883424,SCC,Commercial/Industrial,812115,Beauty Salons,,-122.847486,49.202445
Chicken World,Restaurant - No Alcohol,1,12842,96 Ave,12842 96 Ave,V3V6A8,6045880221,WTC,Commercial/Industrial,722110,Restaurants,,-122.866466,49.177072
Child Evangelism Fellowship Of B C,Educational,204,18515,53 Ave,18515 53 Ave,V4N4A9,6045818242,CTC,Commercial/Industrial,611690,All Other Schools & Instruction,,-122.709853,49.099155
Child Evangelism Fellowship Of B C,Educational,204,18515,53 Ave,18515 53 Ave,V4N4A9,6045818242,CTC,Commercial/Industrial,813990,Other Membership Organizations,,-122.709853,49.099155
Childcare International Society,Charitable Society/Organization,204,5460,152 St,5460 152 St,V3S5J9,6045417900,NTC,Commercial/Industrial,813990,Other Membership Organizations,,-122.800929,49.101944
Children's Place The #3257,Retail Merchant - Kids Clothing,30,2428,160 St,2428 160 St,V3S0C8,2015582400,SSTC,Commercial/Industrial,448130,Children's & Infants' Clothing Stores,,-122.779073,49.046067
Chili House Restaurant,Food Primary-Class B Dining Lounge,,19571,Fraser Hwy,19571 Fraser Hwy,V3S6K7,6045338987,CTC,Commercial/Industrial,722511,Full-service restaurants,,-122.680533,49.114319
Chimney Hill Dental Centre,Professional Practitioner-Dentist,106,15122,72 Ave,15122 72 Ave,V3S2G2,7788814041,NTC,Commercial/Industrial,621210,Offices of Dentists,,-122.803270,49.133600
Chimney Hill Pizza,Restaurant - No Alcohol,123,15299,68 Ave,15299 68 Ave,V3S2C1,6045972522,NTC,Commercial/Industrial,722512,Limited-service eating places,,-122.798178,49.126438
China King Restaurant,Chinese Restaurant,202,15920,Fraser Hwy,15920 Fraser Hwy,V4N0X8,6045994899,FTC,Commercial/Industrial,722110,Restaurants,,-122.781466,49.158273
China Village Wonton House,Restaurant,,9644,King George Blvd,9644 King George Blvd,V3T2V4,0,SCC,Commercial/Industrial,722110,Restaurants,,-122.845546,49.177700
Chinese Medicine & Acupuncture,Acupuncture,101A,14914,104 Ave,14914 104 Ave,V3R1M7,6045375691,GTC,Commercial/Industrial,621360,Offices of Acupuncturists & Acupressurists,,-122.808797,49.191399
Chita Suarez,Hair Dresser,,10330,152 St,10330 152 St,V3R4G8,6044188824,GTC,Commercial/Industrial,812115,Beauty Salons,,-122.800749,49.190194
Chocolaterie Bernard Callebaut,Retail - Chocolates,240,15355,24 Ave,15355 24 Ave,V4A2H9,6045316777,SSTC,Commercial/Industrial,445292,Confectionery & Nut Stores,,-122.796922,49.045696
Choice Billiards & Cafe Ltd,Dining Lounge,105,7728,128 St,7728 128 St,V3W1L3,6045903904,NTC,Commercial/Industrial,713990,All Other Amusement & Recreation Industries,,-122.867792,49.143576
Choice Billiards & Cafe Ltd,Dining Lounge,105,7728,128 St,7728 128 St,V3W1L3,6045903904,NTC,Commercial/Industrial,722110,Restaurants,,-122.867792,49.143576
Choice Dental Inc,Professional Practitioner-Dentist,102,15299,68 Ave,15299 68 Ave,V3S2C1,6045935344,NTC,Commercial/Industrial,621210,Offices of Dentists,,-122.798178,49.126438
Choice Furniture Warehouse,Warehouse - Furniture,2,12777,76A Ave,12777 76A Ave,V3W4Y8,6045019370,NTC,Commercial/Industrial,414390,Other Home Furnishings Wholesaler-Distributors,,-122.868349,49.142422
Choices Market White Rock Ltd,Retail - Groceries,,3248,King George Blvd,3248 King George Blvd,V4P1A5,6045413902,SSTC,Commercial/Industrial,445110,Supermarkets & Other Grocery (except Convenience) Stores,,-122.812890,49.061327
Choices Pharmacy Ltd,Retail,110,13588,88 Ave,13588 88 Ave,V3W3K8,6045935322,NTC,Commercial/Industrial,446110,Pharmacies & Drug Stores,,-122.846153,49.162665
Chop Chop Chinese Take Out Ltd,Mfg.- Food Manufacturing,204,15110,54A Ave,15110 54A Ave,V3S5X7,7788884412,NTC,Commercial/Industrial,311990,All Other Food Manufacturing,,-122.803658,49.101622
Chopped Leaf The,Restaurant - No Alcohol,116,17433,56 Ave,17433 56 Ave,V3S2X6,6045755071,CTC,Commercial/Industrial,722110,Restaurants,,0.000000,0.000000
Chopra Dr Charu,Professional Practitioner-Medical,101,8501,162 St,8501 162 St,V4N1B2,7788785047,FTC,Commercial/Industrial,621110,Offices of Physicians,,-122.773445,49.157312
Chopsticks on Pho Vietnamese Noodle House,Restaurant,,15325,56 Ave,15325 56 Ave,V3S0X9,7785741884,NTC,Commercial/Industrial,722110,Restaurants,,-122.797715,49.104500
Christ for the Nations Canada Inc,Bible Training Institute,,19533,64 Ave,19533 64 Ave,V4N3G6,6045142364,CTC,Commercial/Industrial,611690,All Other Schools & Instruction,,-122.681826,49.119175
Christian & Missionary Alliance Canadian Pacific Dist,Church,101,17660,65A Ave,17660 65A Ave,V3S5N4,6043721922,CTC,Commercial/Industrial,813110,Religious Organizations,,-122.733193,49.121078
Christian Channel Inc,Miscellaneous,201,5668,192 St,5668 192 St,V3S2V7,6045766880,CTC,Commercial/Industrial,812990,All Other Personal Services,,-122.691002,49.105847
Christina Wegner RMT,RMT,143,12080,Nordel Way,12080 Nordel Way,V3W1P6,6045915569,NTC,Commercial/Industrial,621370,Offices of Massage Therapists,,-122.887293,49.161836
Christine Ahluna Steward RMT,Registered Massage Therapist,202,15388,24 Ave,15388 24 Ave,V4A2J2,6045360440,SSTC,Commercial/Industrial,621370,Offices of Massage Therapists,,-122.796021,49.045513
Christopher's Gift Gallery,Retail - Gifts,101,12894,16 Ave,12894 16 Ave,V4A1N7,6045351199,SSTC,Commercial/Industrial,453220,"Gift, Novelty & Souvenir Stores",,-122.865465,49.031199
Chrysalis Salon Spa Ltd,"Hairdressing, Esthetics, Spa",101,2828,152 St,2828 152 St,V4P1G6,6045350414,SSTC,Commercial/Industrial,812115,Beauty Salons,,-122.801087,49.053361
Chu Lin Farm,Whlse. & Retail Farm Produce,,17535,40 Ave,17535 40 Ave,V3S0L5,6045740268,SSTC,Commercial/Industrial,445230,Fruit & Vegetable Markets,,-122.737115,49.074694
Chui Hong,Restaurant,105/,15976,108 Ave,15976 108 Ave,V4N5V6,6045818809,GTC,Commercial/Industrial,722110,Restaurants,,-122.779378,49.198713
Chung Dr Lindsay Hu,Professional Practitioner - Dentist,,10078,King George Blvd,10078 King George Blvd,V3T2W4,6045831088,SCC,Commercial/Industrial,621110,Offices of Physicians,,-122.845285,49.185702
Church's Chicken,Restaurant,1,14877,108 Ave,14877 108 Ave,V3R1W2,6045845550,GTC,Commercial/Industrial,722110,Restaurants,,-122.809866,49.198821
Church's Chicken,Restaurant,,15318,Fraser Hwy,15318 Fraser Hwy,V3R3P4,6045883666,FTC,Commercial/Industrial,722110,Restaurants,,-122.798106,49.164712
Church's Chicken (120 St),Restaurant,112,8434,120 St,8434 120 St,V3W7S2,6045727660,NTC,Commercial/Industrial,722110,Restaurants,,-122.890235,49.156474
Cimtech Mfg Inc,"Manufacturing engineering prototypes; Multi-axis CNC machined parts, precision castings, sheet metal parts and opto-mechanical components",8,17942,55 Ave,17942 55 Ave,V3S6C8,6045758853,CTC,Commercial/Industrial,332710,Machine Shops,Aviation,-122.725149,49.102199
Cinderella Hair & Spa Inc,Hair Salon/Barber,B,15340,Fraser Hwy,15340 Fraser Hwy,V3R3P5,6049571820,FTC,Commercial/Industrial,812115,Beauty Salons,,-122.797738,49.164567
Cineplex Odeon Strawberry Hill,Movie Theatre,,12161,72 Ave,12161 72 Ave,V3W2M1,6045019420,NTC,Commercial/Industrial,512130,Motion Picture & Video Exhibition,,-122.885903,49.134121
Cineplex Odeon Strawberry Hill,Movie Theatre,,12161,72 Ave,12161 72 Ave,V3W2M1,6045019420,NTC,Commercial/Industrial,722210,Concessions,,-122.885903,49.134121
Citadel The,Apartment/Townhouse Rental,101,15915,84 Ave,15915 84 Ave,V4N0W7,6045981296,FTC,Commercial/Industrial,531111,Lessors of Residential Buildings & Dwellings,,-122.781226,49.155560
Citi Insurance Agency Inc,Insurance Agent,110,8166,128 St,8166 128 St,V3W1R1,6043076440,NTC,Commercial/Industrial,524210,Insurance Agencies & Brokerages,,-122.867845,49.151037
CitiFinancial Canada Inc,Financial Agent,141,12101,72 Ave,12101 72 Ave,V3W2M1,6045960661,NTC,Commercial/Industrial,522291,Consumer Lending,,-122.887484,49.134141
CitiFinancial Canada Inc,Administration Office,310,1688,152 St,1688 152 St,V4A4N2,6045419313,SSTC,Commercial/Industrial,541611,Administrative Management & General Management Consulting Services,,-122.801044,49.032708
Citiwest Consulting Ltd,Professional Practitioner-Engineer/Civil Engineering,101,9030,King George Blvd,9030 King George Blvd,V3V7Y3,6045912213,WTC,Commercial/Industrial,541330,Engineering Services,,-122.845680,49.167067
Citruso Carpet Care Inc,Carpet Cleaning,,12049,86 Ave,12049 86 Ave,V3W7X5,6045963977,NTC,Commercial/Industrial,561740,Carpet & Upholstery Cleaning Services,,-122.888584,49.159691
City Center Auto Sales Ltd,Automobile Dealer/Rebuilder,,12701,King George Blvd,12701 King George Blvd,V3V3K7,6045849993,WTC,Commercial/Industrial,811111,General Automotive Repair,,-122.870072,49.206343
City Centre Dental Clinic,Professional Practitioner-Dentist,102,10252,135 St,10252 135 St,V3T4C2,6049301314,SCC,Commercial/Industrial,621210,Offices of Dentists,,0.000000,0.000000
City Centre Dentistry,Professional Practitioner-Dentist,,10515,King George Blvd,10515 King George Blvd,V3T2X1,6045852001,SCC,Commercial/Industrial,621210,Offices of Dentists,,-122.845466,49.193520
City Centre Glass,Auto & Residential Glass Replacement,,12827,King George Blvd,12827 King George Blvd,V3T2T1,6045803419,WTC,Commercial/Industrial,444190,Other Building Material Dealers,,-122.867217,49.206453
City Centre Medical Clinic,Professional Practitioner-Medical,,10517,King George Blvd,10517 King George Blvd,V3T2X1,6045852005,SCC,Commercial/Industrial,621110,Offices of Physicians,,-122.845465,49.193572
City Centre Pharmacy,Retail Merchant - 3 to 5 Employees,,10519,King George Blvd,10519 King George Blvd,V3T2X1,6045853355,SCC,Commercial/Industrial,446110,Pharmacies & Drug Stores,,-122.845465,49.193624
City Fire Ltd,Contractor - Electrical/Fire Protection,101,13055,84 Ave,13055 84 Ave,V3W1B3,6047608760,NTC,Commercial/Industrial,232530,Automatic Sprinkler System Installation,,-122.860740,49.155485
City Food Equipment Ltd,Retail Merchant - Restaurant Equipment (Appliances),,13403,71A Ave,13403 71A Ave,V3W2L2,6045033444,NTC,Commercial/Industrial,443110,"Appliance, Television & Other Electronics Stores",,-122.851039,49.132818
City Lumber Sales & Service Ltd,Lumber Mill,,19315,54 Ave,19315 54 Ave,V3S8E5,6045768515,CTC,Commercial/Industrial,332710,Machine Shops,,-122.688804,49.101303
