,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
  Second generation,1013335,126500,5050,13795,16460,13860,39480,17160,20690,25745
  Third generation or more,2038435,143110,7320,28845,14905,16810,27405,31665,16155,23475
  Males in private households by generation status,2125625,229810,11275,26760,28785,28870,65490,32225,36405,47675
    First generation,600735,93340,4780,5695,12955,13220,31440,8605,16650,21430
    Second generation,504990,64200,2615,6690,8490,7095,20295,8130,10890,13505
    Third generation or more,1019900,72265,3880,14380,7345,8560,13755,15495,8860,12740
  Females in private households by generation status,2198835,233535,10910,27400,29405,29415,66310,35130,34970,45880
    First generation,671950,100390,5030,5815,13875,14390,33480,9930,17875,22905
    Second generation,508345,62300,2435,7110,7975,6765,19190,9025,9800,12235
    Third generation or more,1018535,70845,3445,14470,7560,8255,13645,16175,7295,10740
Total population in private households by visible minority,4324460,463340,22185,54160,58190,58280,131800,67355,71370,93555
  Total visible minority population,1180865,243760,11300,12355,35465,32055,92305,12695,47590,58885
    South Asian,313440,142445,2655,5365,17345,5990,73915,3000,34180,36835
    Chinese,438145,28485,2195,1665,4895,8230,3690,5825,1980,4175
    Black,33260,6145,675,700,755,1015,1710,395,895,1570
    Filipino,126040,26475,2100,1600,5235,6955,5655,815,4120,6220
    Latin American,35465,5335,475,410,730,690,1530,285,1225,1695
    Arab,14090,3265,280,100,420,1160,580,180,535,820
    Southeast Asian,51970,13080,1265,810,2945,2545,2015,230,3275,4535
    West Asian,38960,2350,120,80,430,450,995,95,175,290
    Korean,53770,8380,920,790,1665,3530,230,1120,135,1050
    Japanese,38120,2405,130,435,380,365,465,365,265,395
"    Visible minority, n.i.e.",6460,1085,115,55,30,190,435,130,125,240
    Multiple visible minorities,31160,4295,375,345,625,935,1090,240,685,1060
  Not a visible minority,3143590,219580,10885,41805,22725,26230,39495,54660,23780,34670
  Males in private households by visible minority,2125625,229805,11270,26760,28785,28870,65490,32225,36400,47675
    Total visible minority population,565970,120800,5560,6095,17740,15625,45940,6065,23775,29335
      South Asian,157140,71615,1345,2790,8590,3005,37065,1560,17255,18600
      Chinese,208180,13720,1115,710,2415,3890,1890,2740,955,2070
      Black,17365,3090,270,390,360,585,820,190,485,755
      Filipino,53710,12265,1005,720,2505,3280,2605,325,1830,2835
      Latin American,16985,2755,230,215,405,370,775,130,620,850
      Arab,8010,1740,140,35,245,625,280,110,305,445
      Southeast Asian,25055,6425,630,390,1515,1195,935,105,1650,2285
      West Asian,19425,1285,65,30,250,240,520,70,105,170
      Korean,25325,4220,530,400,875,1720,110,505,80,615
      Japanese,16300,1095,35,220,200,135,225,160,120,160
"      Visible minority, n.i.e.",3220,505,40,35,25,90,190,60,65,105
      Multiple visible minorities,15255,2085,140,160,350,490,520,120,310,450
    Not a visible minority,1559660,109010,5710,20670,11045,13245,19550,26165,12625,18340
  Females in private households by visible minority,2198835,233535,10910,27395,29405,29410,66310,35130,34970,45880
    Total visible minority population,614900,122965,5740,6260,17725,16425,46370,6635,23810,29555
      South Asian,156300,70830,1310,2570,8755,2980,36855,1440,16925,18230
      Chinese,229965,14770,1075,955,2480,4340,1795,3095,1025,2105
      Black,15895,3060,400,315,395,430,895,210,410,810
      Filipino,72320,14215,1095,880,2730,3675,3045,495,2290,3385
      Latin American,18480,2580,240,190,320,320,755,150,600,845
      Arab,6080,1525,140,65,175,540,300,75,235,375
      Southeast Asian,26915,6655,630,415,1430,1350,1075,130,1625,2250
      West Asian,19540,1065,50,50,180,210,470,25,70,125
      Korean,28445,4170,385,395,795,1810,120,615,50,440
      Japanese,21820,1310,95,215,180,230,240,205,140,235
"      Visible minority, n.i.e.",3240,580,70,20,10,100,245,70,60,130
      Multiple visible minorities,15905,2210,235,190,275,445,570,125,375,610
    Not a visible minority,1583930,110570,5170,21140,11680,12985,19945,28495,11160,16325
Total population in private households by ethnic origins,4324460,463335,22185,54155,58190,58280,131800,67355,71370,93555
  North American Aboriginal origins,267090,13305,1165,2320,1075,1690,3150,1640,2265,3430
    First Nations (North American Indian),202535,8935,840,1410,650,1245,2210,1005,1570,2415
    Inuit,2575,145,0,0,0,0,125,0,0,0
    Métis,70195,4760,375,955,445,515,1025,655,800,1170
  Other North American origins,884490,73645,3690,12980,7750,8360,15680,15355,9820,13515
    Acadian,3555,210,0,65,30,20,0,65,10,25
    American,77955,4985,255,960,635,515,910,1245,465,725
    Canadian,826335,69940,3440,12350,7315,7910,15060,14360,9500,12945
    New Brunswicker,30,0,0,0,0,0,0,0,0,0
    Newfoundlander,1505,105,0,0,0,0,0,0,0,0
    Nova Scotian,175,0,0,0,0,0,0,0,0,0
    Ontarian,100,0,0,0,0,0,0,0,0,0
    Québécois,1535,50,0,20,0,0,0,20,0,0
"    Other North American origins, n.i.e.",680,25,0,15,0,0,0,0,0,0
  European origins,2812935,198105,9580,37885,21245,25090,35245,49450,19600,29180
    British Isles origins,1905680,127885,5220,25420,12635,14880,23705,34540,11480,16705
      Channel Islander,335,15,0,0,0,0,0,15,0,0
      Cornish,605,55,0,30,0,0,0,0,0,0
      English,1199955,79620,2820,15505,8110,9120,14765,22275,7020,9845
      Irish,643470,41650,1880,8540,3915,4285,8100,11255,3675,5550
      Manx,1455,80,0,0,0,0,0,50,0,0
      Scottish,833290,55835,2290,11625,5350,6670,10320,14675,4900,7190
      Welsh,107780,7135,405,1225,700,1055,1215,1895,635,1040
"      British Isles origins, n.i.e.",107925,6970,290,1630,670,820,1240,1755,560,850
    French origins,369420,23260,1285,4465,2565,2790,4625,5075,2455,3735
      Alsatian,235,0,0,0,0,0,0,0,0,0
      Breton,175,0,0,0,0,0,0,0,0,0
      French,369105,23255,1285,4465,2565,2785,4630,5070,2455,3735
    Western European origins (except French origins),797120,55815,2530,12660,6135,6730,9330,13035,5410,7940
      Austrian,45675,3250,215,655,400,330,555,735,360,580
      Belgian,19055,1270,140,225,135,130,210,260,165,300
      Dutch,204695,14615,425,3825,1925,1810,2290,3175,1170,1595
      Flemish,2240,150,0,40,0,35,0,70,0,0
      Frisian,1025,40,0,0,0,0,0,0,0,0
      German,567670,39690,1785,8735,4120,4785,6680,9590,3990,5780
      Luxembourger,715,65,0,0,0,15,0,30,0,0
      Swiss,29705,1695,65,260,120,225,355,580,100,165
"      Western European origins, n.i.e.",435,25,0,0,0,0,15,0,0,0
    Northern European origins (except British Isles origins),333085,21790,740,4835,2270,2630,3475,5855,1990,2735
      Danish,57770,3780,105,930,305,510,665,1030,235,340
      Finnish,31610,1955,50,480,170,305,355,350,240,290
      Icelandic,22595,1520,30,450,150,215,200,335,140,170
      Norwegian,134430,9040,375,2025,875,1140,1240,2590,790,1170
      Swedish,106085,6775,215,1255,840,720,1045,1950,755,965
"      Northern European origins, n.i.e.",12085,695,30,130,60,110,175,165,35,60
    Eastern European origins,515670,37900,2335,7180,4020,5335,6290,9220,3530,5860
      Bulgarian,3200,60,0,0,15,0,0,20,0,10
      Byelorussian,2130,160,45,20,30,15,0,10,20,70
      Czech,19570,1335,35,245,140,185,245,355,125,160
"      Czechoslovakian, n.o.s.",7860,735,0,235,0,80,220,160,20,25
      Estonian,3855,275,0,65,20,25,40,115,0,20
      Hungarian,51025,4010,210,695,415,555,875,905,355,570
      Latvian,4115,315,0,65,35,35,20,110,25,45
      Lithuanian,5735,235,25,40,40,10,30,90,0,25
      Moldovan,735,35,0,0,0,0,30,0,0,0
      Polish,133510,11335,735,1910,1350,1940,1600,2745,1060,1800
      Romanian,28330,2060,80,385,255,370,350,450,175,255
      Russian,120835,7325,450,1295,715,925,1155,1945,845,1295
      Slovak,9950,800,25,305,70,65,125,115,95,115
      Ukrainian,203585,15075,990,3145,1540,1830,2440,3910,1225,2215
"      Eastern European origins, n.i.e.",2055,120,0,0,0,0,35,30,0,45
    Southern European origins,303170,25520,1345,4130,3605,4230,4870,4540,2795,4140
      Albanian,1380,135,15,20,25,40,0,0,10,30
      Bosnian,2765,175,30,20,35,15,0,60,15,40
      Croatian,19855,1415,35,190,195,255,215,335,195,235
      Cypriot,295,20,0,0,0,0,0,25,0,0
      Greek,20075,1830,40,400,285,195,230,395,290,325
      Italian,150660,10445,410,2225,1330,1490,1865,2335,795,1200
      Kosovar,320,95,0,0,0,75,0,0,10,20
      Macedonian,940,55,0,0,20,0,0,0,0,0
      Maltese,2340,135,0,0,0,25,0,60,0,0
      Montenegrin,380,20,0,0,0,0,0,0,0,0
      Portuguese,36545,3710,190,425,605,550,815,460,670,860
      Serbian,10150,550,60,90,55,95,65,120,70,135
      Sicilian,740,25,0,0,0,0,0,0,0,0
      Slovenian,4945,395,0,140,60,0,100,65,15,25
      Spanish,60175,7050,595,675,1035,1535,1710,695,800,1400
"      Yugoslavian, n.o.s.",9020,875,0,205,95,75,140,260,90,95
"      Southern European origins, n.i.e.",240,0,0,0,0,0,0,0,0,0
    Other European origins,45605,2990,200,400,180,485,410,905,410,615
      Basque,710,30,0,0,0,0,0,0,0,0
      Jewish,31865,1490,70,285,135,195,195,495,115,180
      Roma (Gypsy),1030,75,0,0,0,55,0,0,0,0
"      Slavic, n.o.s.",940,85,0,0,0,0,0,65,0,0
"      Other European origins, n.i.e.",11375,1335,130,80,45,220,200,365,300,425
  Caribbean origins,20035,2770,305,275,280,505,705,300,395,700
    Antiguan,170,0,0,0,0,0,0,0,0,0
    Bahamian,265,0,0,0,0,0,0,0,0,0
    Barbadian,1400,220,0,15,30,110,20,25,0,0
    Bermudan,255,20,0,0,0,0,0,20,0,0
    Carib,200,0,0,0,0,0,0,0,0,0
    Cuban,1240,140,25,30,0,0,15,60,10,40
    Dominican,475,80,0,0,0,0,0,15,60,60
    Grenadian,245,45,0,0,20,0,0,20,0,0
    Haitian,735,55,0,0,0,0,0,0,0,0
    Jamaican,7980,1150,85,170,110,235,250,70,230,315
    Kittitian/Nevisian,45,0,0,0,0,0,0,0,0,0
    Martinican,40,0,0,0,0,0,0,0,0,0
    Montserratan,0,0,0,0,0,0,0,0,0,0
    Puerto Rican,490,85,0,0,0,0,45,35,0,0
    St. Lucian,140,15,0,0,0,0,0,0,0,0
    Trinidadian/Tobagonian,3725,540,105,35,35,90,185,25,55,165
    Vincentian/Grenadinian,320,170,40,0,35,0,0,0,0,40
"    West Indian, n.o.s.",1835,240,0,0,45,50,75,25,30,40
"    Caribbean origins, n.i.e.",1270,90,25,0,15,0,0,15,10,35
"  Latin, Central and South American origins",52725,6925,495,800,850,945,1980,550,1295,1790
    Aboriginal from Central/South America (except Maya),1895,140,0,0,0,20,30,0,45,85
    Argentinian,1360,130,0,50,0,30,0,15,0,10
    Belizean,180,0,0,0,0,0,0,0,0,0
    Bolivian,270,15,0,0,0,0,0,0,0,0
    Brazilian,2940,135,0,0,25,20,40,0,0,30
    Chilean,4875,480,0,90,30,105,190,15,40,45
    Colombian,4330,775,20,50,100,100,290,115,105,125
    Costa Rican,640,30,0,0,0,0,0,0,0,0
    Ecuadorian,710,110,0,40,0,0,60,0,0,0
    Guatemalan,2150,415,50,0,10,60,160,0,125,170
    Guyanese,1360,225,0,70,30,65,10,25,0,25
    Hispanic,1275,220,40,0,20,25,45,0,95,135
    Honduran,1135,265,25,0,0,20,75,0,130,155
    Maya,710,105,0,0,0,30,20,0,50,50
    Mexican,15950,1515,145,225,310,200,275,275,90,230
    Nicaraguan,1210,205,10,0,0,20,110,20,35,40
    Panamanian,320,80,0,30,0,0,0,0,0,10
    Paraguayan,740,35,0,0,0,0,0,15,0,0
    Peruvian,3025,250,0,55,15,45,75,0,40,40
    Salvadorean,7565,1680,120,160,250,185,495,25,450,570
    Uruguayan,300,15,0,0,0,0,0,0,0,0
    Venezuelan,1040,55,0,0,0,0,35,0,15,15
"    Latin, Central and South American origins, n.i.e.",2175,500,20,15,70,0,150,0,225,245
  African origins,47185,7435,630,895,815,1140,2310,645,1010,1635
    Central and West African origins,4915,1240,165,230,190,240,235,15,155,315
      Akan,60,35,15,0,0,0,25,0,0,15
      Angolan,0,0,0,0,0,0,0,0,0,0
      Ashanti,60,35,0,0,0,0,20,0,0,0
      Beninese,15,0,0,0,0,0,0,0,0,0
      Burkinabe,0,0,0,0,0,0,0,0,0,0
      Cameroonian,130,0,0,0,0,0,0,0,0,0
      Chadian,0,0,0,0,0,0,0,0,0,0
      Congolese,680,145,35,0,80,20,0,0,0,35
      Gabonese,25,0,0,0,0,0,0,0,0,0
      Gambian,20,20,0,0,0,0,0,0,0,0
      Ghanaian,1100,360,20,20,125,45,105,0,40,55
      Guinean,65,15,0,0,0,0,0,0,0,0
      Ibo,175,80,0,0,0,0,80,0,0,0
      Ivorian,15,10,0,0,0,0,10,0,0,0
      Liberian,295,55,0,0,0,30,0,0,25,25
      Malian,55,0,0,0,0,0,0,0,0,0
      Nigerian,1700,460,85,160,40,120,25,0,35,120
      Peulh,0,0,0,0,0,0,0,0,0,0
      Senegalese,75,0,0,0,0,0,0,0,0,0
      Sierra Leonean,60,0,0,0,0,0,0,0,0,0
      Togolese,110,45,0,0,0,0,0,0,40,45
      Yoruba,290,70,0,35,0,0,0,0,0,20
"      Central and West African origins, n.i.e.",365,50,0,0,0,0,0,0,25,25
    North African origins,7115,1210,150,25,105,240,370,45,270,420
      Algerian,700,35,0,0,0,0,0,0,0,20
      Berber,185,30,0,0,0,0,30,0,0,0
      Coptic,90,0,0,0,0,0,0,0,0,0
      Dinka,35,0,0,0,0,0,0,0,0,0
      Egyptian,3150,550,10,20,50,180,180,20,90,95
      Libyan,415,25,0,0,0,15,0,0,0,0
      Maure,65,0,0,0,0,0,0,0,0,0
      Moroccan,1360,140,20,0,30,35,0,25,0,40
      Sudanese,915,365,60,0,0,0,145,0,150,210
      Tunisian,325,60,0,0,0,0,0,0,0,0
"      North African origins, n.i.e.",145,0,0,0,0,0,0,0,0,0
    Southern and East African origins,19805,2590,160,315,190,330,950,285,355,515
      Afrikaner,635,45,0,0,0,15,0,0,0,0
      Amhara,135,60,15,0,0,40,0,0,0,15
"      Bantu, n.o.s.",80,10,0,0,0,0,10,0,0,0
      Burundian,155,35,0,0,0,0,15,0,0,0
      Eritrean,1110,130,0,0,25,15,40,0,20,45
      Ethiopian,1820,215,30,0,55,35,40,0,50,75
      Harari,0,0,0,0,0,0,0,0,0,0
      Kenyan,1025,205,50,15,0,0,100,0,0,55
      Malagasy,25,0,0,0,0,0,0,0,0,0
      Mauritian,555,155,0,0,0,45,75,20,10,15
      Oromo,105,25,0,0,0,25,0,0,0,0
      Rwandan,215,85,0,25,0,0,65,0,0,0
      Seychellois,30,0,0,0,0,0,0,0,0,0
      Somali,1230,580,30,0,0,50,415,0,80,110
      South African,10335,720,0,215,95,40,75,235,55,60
      Tanzanian,510,45,0,0,0,0,50,0,0,0
      Tigrian,90,0,0,0,0,0,0,0,0,0
      Ugandan,575,230,0,30,0,40,50,0,105,105
      Zambian,170,0,0,0,0,0,0,0,0,0
      Zimbabwean,655,45,0,0,0,0,25,0,0,0
      Zulu,85,0,0,0,0,0,0,0,0,0
"      Southern and East African origins, n.i.e.",1245,140,10,0,10,30,40,15,35,45
    Other African origins,16195,2605,170,325,325,375,775,305,325,495
"      Black, n.o.s.",1785,355,15,0,45,35,205,15,25,40
"      Other African origins, n.i.e.",14505,2270,150,305,290,345,570,290,320,470
  Asian origins,1122445,225540,9830,11330,33100,29665,86260,12270,43090,52920
    West Central Asian and Middle Eastern origins,77140,7630,510,465,1050,1800,2240,560,1005,1515
      Afghan,5315,1375,125,0,160,175,675,30,210,330
"      Arab, n.o.s.",5565,1230,45,75,55,565,190,80,220,265
      Armenian,3335,350,0,100,45,80,90,30,0,0
      Assyrian,445,135,0,0,0,85,25,0,15,20
      Azerbaijani,775,45,0,0,0,0,0,0,0,0
      Georgian,500,20,0,0,0,15,0,0,0,0
      Iranian,39285,1375,145,140,270,250,350,165,60,205
      Iraqi,3145,990,90,0,130,430,220,0,105,190
      Israeli,1190,65,0,0,0,0,0,0,0,15
      Jordanian,525,150,0,0,70,45,20,0,0,0
      Kazakh,270,15,0,0,0,0,0,0,0,0
      Kurd,1440,120,0,15,25,45,25,0,0,20
      Kuwaiti,160,45,0,0,0,30,20,0,0,0
      Lebanese,6435,790,0,40,155,70,280,115,130,140
      Palestinian,1630,470,0,0,155,40,110,15,125,140
      Pashtun,335,160,0,20,0,0,115,0,25,30
      Saudi Arabian,1490,0,0,0,0,0,0,0,0,0
      Syrian,1790,165,0,0,0,35,40,20,45,50
      Tajik,405,40,0,0,0,0,35,0,0,0
      Tatar,315,0,0,0,0,0,0,0,0,0
      Turk,5495,510,35,40,35,100,160,105,40,75
      Uighur,120,30,0,0,0,0,0,0,20,25
      Uzbek,270,0,0,0,0,0,0,0,0,0
      Yemeni,200,55,0,0,0,0,25,0,30,30
"      West Central Asian and Middle Eastern origins, n.i.e.",1575,225,35,0,0,115,35,25,0,40
    South Asian origins,311260,136815,2465,5340,16500,5810,71415,2965,32325,34790
      Bangladeshi,1210,235,65,0,15,15,50,20,75,140
      Bengali,615,135,0,0,30,0,65,0,0,0
      East Indian,274065,121580,2035,5020,14985,4805,62785,2690,29265,31295
      Goan,270,20,0,0,0,0,0,0,10,15
      Gujarati,560,155,10,0,15,0,85,15,30,40
      Kashmiri,70,0,0,0,0,0,0,0,0,0
      Nepali,1255,370,10,0,20,25,215,0,100,110
      Pakistani,9770,4600,130,120,535,320,2990,85,425,555
      Punjabi,24240,11745,180,190,985,440,6655,325,2975,3155
      Sinhalese,595,140,0,10,50,40,0,0,35,40
      Sri Lankan,5210,1115,80,55,190,290,325,10,155,235
      Tamil,1265,250,0,0,80,50,85,0,35,35
"      South Asian origins, n.i.e.",4465,1730,35,40,230,120,945,20,340,375
    East and Southeast Asian origins,739415,82020,6895,5625,15670,22080,13065,8805,9885,16780
      Burmese,2165,510,125,15,120,110,40,20,75,205
      Cambodian (Khmer),2390,890,100,265,175,55,95,0,195,300
      Chinese,464805,32255,2615,2080,5665,8645,4635,5570,3050,5665
      Filipino,135990,27860,2150,1645,5590,7150,6075,770,4480,6630
      Hmong,200,0,0,0,0,0,0,0,0,0
      Indonesian,5540,675,55,120,50,90,185,85,90,140
      Japanese,45895,3250,200,570,540,470,640,480,355,555
      Korean,55450,8605,975,750,1755,3585,240,1130,160,1135
      Laotian,2010,905,185,0,305,240,40,0,110,290
      Malaysian,4355,715,35,35,120,180,240,30,85,115
      Mongolian,1345,100,15,0,0,0,55,25,0,15
      Singaporean,935,150,20,0,0,25,75,0,0,15
      Taiwanese,17210,2740,160,45,325,965,355,795,95,255
      Thai,3865,635,40,40,85,115,40,210,100,145
      Tibetan,305,50,0,0,0,0,0,25,0,0
      Vietnamese,35850,8685,740,520,2125,1855,1535,55,1860,2595
"      East and Southeast Asian origins, n.i.e.",1335,425,35,10,65,35,50,10,225,260
    Other Asian origins,2150,505,45,40,65,170,130,35,25,75
"      Other Asian origins, n.i.e.",2155,510,45,45,65,170,130,35,25,75
  Oceania origins,35770,9005,270,625,1110,625,3105,390,2875,3140
    Australian,12760,680,0,210,15,60,120,215,25,65
    New Zealander,5720,230,0,55,10,40,65,50,0,0
    Pacific Islands origins,17690,8130,230,375,1080,530,2945,125,2845,3075
      Fijian,13905,7845,180,335,1080,505,2875,45,2825,3010
      Hawaiian,2030,60,0,0,0,20,30,0,0,0
      Maori,760,55,0,10,0,0,20,25,0,0
"      Polynesian, n.o.s.",400,60,0,0,0,0,0,45,0,0
      Samoan,370,55,0,15,0,0,10,0,0,0
"      Pacific Islands origins, n.i.e.",585,95,0,0,0,0,0,0,20,65
  Males in private households by ethnic origins,2125625,229805,11270,26760,28785,28870,65490,32225,36400,47670
    North American Aboriginal origins,128880,6160,545,1080,395,750,1460,840,1095,1635
      First Nations (North American Indian),97810,4050,425,665,190,510,960,550,755,1180
      Inuit,1235,85,0,0,0,0,75,0,0,0
      Métis,33525,2220,145,430,210,260,495,305,385,525
    Other North American origins,440920,37180,2050,6500,3800,4355,7750,7545,5185,7230
      Acadian,1915,90,0,30,0,0,0,20,0,20
      American,37820,2555,150,525,190,350,480,570,295,450
      Canadian,412215,35290,1900,6170,3670,4025,7425,7110,5000,6900
      New Brunswicker,0,0,0,0,0,0,0,0,0,0
      Newfoundlander,890,70,0,0,0,0,0,0,0,0
      Nova Scotian,100,0,0,0,0,0,0,0,0,0
      Ontarian,45,0,0,0,0,0,0,0,0,0
      Québécois,735,30,0,15,0,0,0,0,0,0
"      Other North American origins, n.i.e.",325,0,0,0,0,0,0,0,0,0
    European origins,1387940,97930,4765,18710,10370,12540,17520,23690,10340,15100
      British Isles origins,936940,62930,2650,12505,6135,7295,11815,16475,6050,8700
        Channel Islander,150,0,0,0,0,0,0,0,0,0
        Cornish,340,40,0,0,0,0,0,0,0,0
        English,585225,38940,1440,7585,3835,4480,7235,10640,3720,5160
        Irish,304790,20060,890,4125,1910,2025,3765,5390,1955,2850
        Manx,695,35,0,0,0,0,0,0,0,0
        Scottish,404610,27070,1155,5610,2565,3220,5080,6825,2615,3775
        Welsh,50860,3205,150,490,300,385,645,910,325,480
"        British Isles origins, n.i.e.",52005,3390,130,815,355,360,645,820,265,395
      French origins,176170,11210,615,2215,1180,1460,2160,2410,1165,1785
        Alsatian,75,0,0,0,0,0,0,0,0,0
        Breton,40,0,0,0,0,0,0,0,0,0
        French,176090,11205,615,2215,1180,1460,2160,2405,1170,1785
      Western European origins (except French origins),390605,27570,1245,6465,2735,3115,4790,6275,2945,4195
        Austrian,22235,1565,120,260,185,140,345,345,175,290
        Belgian,9425,690,90,135,80,75,115,120,80,170
        Dutch,101510,7090,200,2015,790,745,1105,1580,645,855
        Flemish,1110,90,0,30,0,0,0,45,0,0
        Frisian,535,20,0,0,0,0,0,0,0,0
        German,277540,19800,875,4505,1845,2270,3460,4655,2190,3065
        Luxembourger,340,20,0,0,0,15,0,0,0,0
        Swiss,14435,815,0,145,60,90,215,255,45,55
"        Western European origins, n.i.e.",185,0,0,0,0,0,0,0,0,0
      Northern European origins (except British Isles origins),160750,10590,485,2290,1100,1250,1770,2600,1100,1585
        Danish,28380,1710,65,350,150,240,325,460,120,180
        Finnish,15480,955,30,225,80,130,170,175,145,180
        Icelandic,10890,730,15,185,70,100,110,165,70,85
        Norwegian,65250,4440,275,970,425,535,630,1180,425,700
        Swedish,49745,3315,130,695,405,365,495,800,420,555
"        Northern European origins, n.i.e.",6195,365,0,75,30,55,125,60,10,25
      Eastern European origins,249940,18425,1005,3445,2120,2685,3195,4285,1700,2705
        Bulgarian,1615,45,0,0,0,0,0,20,0,10
        Byelorussian,1075,55,0,0,0,0,0,0,0,15
        Czech,9875,650,0,140,85,90,105,170,50,65
"        Czechoslovakian, n.o.s.",3835,330,0,75,0,30,150,70,0,10
        Estonian,1695,155,0,45,20,20,0,45,0,0
        Hungarian,25215,2010,115,330,240,285,465,380,205,315
        Latvian,2170,160,0,40,10,0,10,60,0,15
        Lithuanian,2670,130,0,20,20,0,10,60,0,0
        Moldovan,415,15,0,0,0,0,10,0,0,0
        Polish,64220,5335,300,850,680,1015,730,1235,530,830
        Romanian,13900,1065,35,220,120,200,190,215,80,110
        Russian,57950,3590,205,615,375,385,620,995,390,595
        Slovak,4745,365,0,120,50,15,75,40,45,60
        Ukrainian,97300,7015,410,1485,790,945,1155,1680,555,960
"        Eastern European origins, n.i.e.",1030,75,0,0,0,0,25,0,0,0
      Southern European origins,150005,12575,580,2095,1740,2160,2310,2235,1455,2040
        Albanian,730,65,0,0,0,20,0,0,10,20
        Bosnian,1415,80,15,0,15,10,0,30,0,25
        Croatian,10095,770,0,115,120,155,100,160,115,125
        Cypriot,165,0,0,0,0,0,0,0,0,0
        Greek,10315,895,20,210,155,70,120,165,150,170
        Italian,75670,5325,205,1185,645,770,940,1165,420,620
        Kosovar,180,50,0,0,0,35,0,0,10,10
        Macedonian,435,20,0,0,0,0,0,0,0,0
        Maltese,1185,45,0,0,0,0,0,20,0,0
        Montenegrin,180,0,0,0,0,0,0,0,0,0
        Portuguese,18175,1815,40,165,310,305,425,235,345,380
        Serbian,5185,305,40,40,35,60,35,40,50,90
        Sicilian,465,30,0,0,0,0,0,0,0,0
        Slovenian,2475,180,0,45,20,0,50,40,10,15
        Spanish,27120,3190,255,310,420,770,725,325,385,640
"        Yugoslavian, n.o.s.",4630,475,0,125,55,35,50,150,55,65
"        Southern European origins, n.i.e.",85,0,0,0,0,0,0,0,0,0
      Other European origins,23495,1660,115,195,85,330,190,490,255,370
        Basque,400,0,0,0,0,0,0,0,0,0
        Jewish,16080,775,40,140,70,140,90,245,45,90
        Roma (Gypsy),455,35,0,0,0,30,0,0,0,0
"        Slavic, n.o.s.",490,65,0,0,0,0,0,50,0,0
"        Other European origins, n.i.e.",6235,785,65,45,20,150,95,205,205,275
    Caribbean origins,10220,1365,105,140,175,260,350,150,190,295
      Antiguan,105,0,0,0,0,0,0,0,0,0
      Bahamian,130,0,0,0,0,0,0,0,0,0
      Barbadian,680,130,0,10,15,65,20,15,0,0
      Bermudan,105,15,0,0,0,0,0,0,0,0
      Carib,125,0,0,0,0,0,0,0,0,0
      Cuban,690,75,0,0,0,0,0,40,0,15
      Dominican,195,30,0,0,0,0,0,0,0,0
      Grenadian,115,30,0,0,0,0,0,0,0,0
      Haitian,385,0,0,0,0,0,0,0,0,0
      Jamaican,3980,520,0,80,70,130,95,20,115,130
      Kittitian/Nevisian,15,0,0,0,0,0,0,0,0,0
      Martinican,0,0,0,0,0,0,0,0,0,0
      Montserratan,0,0,0,0,0,0,0,0,0,0
      Puerto Rican,260,50,0,0,0,0,30,0,0,0
      St. Lucian,95,0,0,0,0,0,0,0,0,0
      Trinidadian/Tobagonian,1920,245,0,30,25,35,65,15,25,70
      Vincentian/Grenadinian,210,135,25,0,15,0,0,0,0,30
"      West Indian, n.o.s.",900,90,0,0,20,0,25,0,20,20
"      Caribbean origins, n.i.e.",680,40,0,0,10,0,0,0,15,15
"    Latin, Central and South American origins",25605,3615,235,365,490,525,1050,280,675,910
      Aboriginal from Central/South America (except Maya),840,50,0,0,0,0,15,0,30,25
      Argentinian,590,40,0,0,0,0,0,0,0,0
      Belizean,95,0,0,0,0,0,0,0,0,0
      Bolivian,125,0,0,0,0,0,0,0,0,0
      Brazilian,1480,50,0,0,0,15,25,0,0,0
      Chilean,2275,265,0,60,15,85,75,0,20,20
      Colombian,2085,400,0,20,50,45,180,45,55,65
      Costa Rican,245,0,0,0,0,0,0,0,0,0
      Ecuadorian,335,50,0,0,0,0,25,0,0,0
      Guatemalan,1070,225,30,0,0,35,85,0,70,100
      Guyanese,695,110,0,20,20,35,0,0,0,0
      Hispanic,680,125,30,0,20,10,25,0,0,70
      Honduran,510,140,0,0,0,10,40,0,75,80
      Maya,395,70,0,0,0,20,15,0,25,30
      Mexican,7885,840,80,125,170,110,140,160,50,130
      Nicaraguan,610,120,0,0,0,0,60,0,0,20
      Panamanian,135,0,0,0,0,0,0,0,0,0
      Paraguayan,440,15,0,0,0,0,0,0,0,0
      Peruvian,1315,120,0,20,10,30,45,0,0,0
      Salvadorean,3830,920,75,90,165,90,245,20,235,310
      Uruguayan,160,0,0,0,0,0,0,0,0,0
      Venezuelan,510,35,0,0,0,0,25,0,10,10
"      Latin, Central and South American origins, n.i.e.",1060,290,0,0,35,0,120,0,135,140
    African origins,23570,3510,265,420,355,630,1020,300,525,785
      Central and West African origins,2635,695,80,160,75,165,95,0,115,190
        Akan,25,10,0,0,0,0,0,0,0,0
        Angolan,0,0,0,0,0,0,0,0,0,0
        Ashanti,25,0,0,0,0,0,0,0,0,0
        Beninese,0,0,0,0,0,0,0,0,0,0
