SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE,SCHOOL_NAME,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,15,15,,17.5,21.6,26.6,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,17,17,,18.7,20,26.8,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636035,Latimer Road Elementary,1,18,13,,21.3,21,25.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,15,4,,14.5,21.8,25.7,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,13,11,,17,21.6,27.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,13,10,,15.5,20,25.2,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,12,9,,15.5,22.3,29,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,13,13,,14,21.7,27.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,14,11,,18.5,20.6,26.1,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,15,7,,15.5,18.8,25.9,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,13,6,,16.7,19.8,27.7,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,12,6,,20.3,21.8,27.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,12,10,,20.3,20.3,29.8,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636036,Ray Shepherd Elementary,1,12,11,,21.6,23.2,28.7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,27,9,,19.8,20.6,27.6,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,24,11,,18.5,20,28.4,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,23,12,,21.3,22.1,25.2,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,22,12,,20.7,21.3,27.9,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,22,11,,19.5,21.6,28.2,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,23,10,,16.6,20.2,26.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,20,16,,17,21.4,28.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,20,7,,20.7,22.6,26.3,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,21,16,,17.8,22.4,28.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,21,14,,21.3,22.1,27.9,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636037,Dr F D Sinclair Elementary,1,22,18,,19.7,21.2,27.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,14,5,,12.5,17.7,23.2,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,13,5,,14.5,17.1,24.4,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,12,11,,14,19.8,19.8,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,12,7,,13,19.1,19.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,12,12,,15,16.4,20.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,12,6,,18,20.4,21.1,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,12,12,,18,22.4,20.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,15,11,,18.3,21.3,25.3,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,18,15,,18.5,21.9,27.7,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,21,,,20.5,21.2,27.1,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636038,Sunnyside Elementary,1,25,12,,20.9,21,27.1,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,13,3,,18,19.5,26.6,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,13,3,,17,21,25.7,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,16,10,,15.8,19.5,25.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,16,6,,18,21.1,25,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,17,13,,18,19.3,24.7,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,17,10,,18.7,21.7,26.9,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,18,15,,20.4,21.9,25.6,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,19,15,,19.9,21.2,26.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,19,18,,18.9,21.1,26.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,19,13,,18.7,22.7,27.6,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636039,Surrey Centre Elementary,1,19,17,,17.3,22.3,28.1,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,23,6,,19,20.9,25.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,23,14,,17,21.5,25.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,22,17,,18,21.6,22.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,22,8,,17.7,21,24.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,20,20,,18.5,19.1,26.9,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,20,17,,17.3,20,27.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,21,10,,21,19.3,25.1,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,20,16,,20,21.1,28,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,21,16,,21.7,20.8,27,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,21,21,,20.1,22.2,28.8,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636040,K B Woodward Elementary,1,22,22,,20.4,22.9,27.1,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,166,25,16,,,,27.1
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,206,39,15,,,,26.5
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,222,40,17,,,,26.8
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,236,49,23,,,,26.7
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,252,41,23,,,,27
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,261,55,13,,,,26.9
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,306,88,4,,,,23.5
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,333,89,6,,,,23
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,346,58,10,,,,23.5
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,359,71,9,,,,23.7
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636041,Lord Tweedsmuir Secondary,1,429,71,,,,,19.5
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636042,Anniedale Traditional School,1,8,3,,16,22.7,25.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636042,Anniedale Traditional School,1,7,3,,19,18.6,20.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636042,Anniedale Traditional School,1,6,2,,19,21.3,17.3,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636042,Anniedale Traditional School,1,6,3,,18,16.5,17.7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,23,7,,20.4,21.4,26.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,22,19,,17.3,20.4,26,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,21,20,,22,18.9,28,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,25,24,,22,20.1,25.5,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,24,22,,15.8,20.7,25.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,23,22,,19,21.1,27.1,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,23,23,,18.4,21.2,26.2,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,22,14,,18.8,21.3,27.3,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,23,14,,18.3,22.1,27.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,22,13,,20.6,21.2,28.6,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636043,Green Timbers Elementary,1,21,15,,20.3,23,29.6,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,3,,18,21.7,25.9,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,5,,20.5,20.7,25.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,13,12,,16,21,25.8,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,13,10,,21.5,19.8,23.8,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,14,,20,22.2,20,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,9,,18.7,18.8,25.6,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,13,,18.5,19.9,23.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,10,,20.5,18.4,26.1,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,10,,18.5,20.3,25.5,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,14,9,,18.1,22.2,25.7,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636044,Prince Charles Elementary,1,15,8,,18,20.8,27.9,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,187,18,29,,,,26.9
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,192,29,46,,,,27.6
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,209,39,23,,,,26.5
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,245,29,38,,,,26.4
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,256,39,30,,,,26.8
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,262,54,51,,,,27.5
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,295,58,6,,,,23.5
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,322,74,9,,,,24.2
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,314,65,10,,,,25.3
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,300,81,18,,,,25.3
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636045,Johnston Heights Secondary,1,357,150,34,,,,24.8
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,172,39,19,,,,26.7
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,177,54,38,,,,25.6
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,199,50,32,,,,25.4
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,178,44,18,,,,25.5
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,207,67,14,,,,25.7
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,219,58,7,,,,25.1
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,260,71,1,,,,21.7
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,260,77,3,,,,21.9
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,282,96,3,,,,21.8
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,282,110,3,,,,21.4
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636047,Guildford Park Secondary,1,363,144,1,,,,16.1
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,240,32,27,,,,25.9
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,235,26,22,,,,26.1
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,231,25,24,,,,25.9
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,218,34,11,,,,26
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,230,36,18,,,,26.2
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,247,32,29,,,,26.1
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,258,36,7,,,,22.9
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,271,59,6,,,,24.1
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,277,68,4,,,,22.6
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,288,78,5,,,,23.8
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636049,Semiahmoo Secondary,1,354,101,,,,,19.7
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,13,4,,20.5,22.3,25.2,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,14,13,,21,23.5,22.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,11,,21.5,21,22.7,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,14,1,17.5,21.6,24.7,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,14,,19.5,20.9,25.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,13,,20,21,26.2,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,15,1,20,20.9,26.8,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,16,7,,20,20.7,24.3,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,15,,20,20.6,27.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,11,,20,20.7,28,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636050,Mountainview Montessori,1,15,12,,20,19.9,26.2,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,19,8,,17.9,21.5,26.9,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,19,18,,15.8,21,25,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,18,13,,19,21.7,27.2,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,19,18,,18.7,21.1,24.9,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,18,18,,17.7,20,27.4,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,18,12,,19.7,18.9,28.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,18,18,,17,22,26.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,18,11,,20,21.9,27,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,18,18,,18.1,20.4,25.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,17,17,,20,22.8,25.9,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636051,A H P Matthew Elementary,1,17,17,,20.1,23,25.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,13,1,,17.5,19.5,28.4,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,16,7,,17.3,19.8,25.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,18,9,,18,19.9,27.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,20,10,,15.3,22.1,26.9,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,20,8,,19.3,21.1,26.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,22,16,,19,20.8,25.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,21,21,,19.7,19.5,26.4,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,20,9,,20.3,22.2,26.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,20,12,,20.3,22,28.3,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,21,21,,20.7,23.2,27.2,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636053,T E Scott Elementary,1,23,16,,22,20.9,28.8,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,18,5,,14.7,21,27.2,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,18,6,,20,20.8,24.6,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,19,9,,20,17.5,24.1,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,17,9,,20.5,19.6,26,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,17,16,,18,21,25,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,16,10,,17.6,20.6,26.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,16,13,,20.2,21.4,25.3,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,16,15,,19,23.3,25,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,16,8,,20.3,21.9,24.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,15,10,,20.5,21.2,27.4,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636054,Mary Jane Shannon Elementary,1,15,12,,21,22.4,27.3,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,26,10,,17.4,17,26.5,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,25,15,,18.2,19.1,25.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,26,18,,17.5,17.9,23.8,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,26,23,,17.4,18.2,26.1,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,26,26,,19.3,20.3,24,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,25,25,,16.8,19.4,25.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,23,23,,18.3,20.9,26.2,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,23,23,,17.5,20.5,27,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,23,23,,19,21.6,26.1,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,22,17,,19.8,20.9,23.9,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636055,Lena Shaw Elementary,1,22,20,,17.3,22.8,25.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,11,6,,13,20.8,27.7,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,10,7,,17.8,20.8,24.9,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636056,H T Thrift Elementary,1,10,8,,19,22.7,21.7,
