,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY,CITY_OF_SURREY
  In the labour force,9570,21760,27990,27510,58935,30195,34965,44535,210930
    Employed,8950,20920,26470,25915,55335,28920,32375,41325,198890
    Unemployed,625,845,1520,1595,3600,1275,2585,3210,12045
  Not in the labour force,4885,7740,12435,13805,26235,20115,16720,21610,101940
Participation rate,66.2,73.8,69.2,66.6,69.2,60,67.7,67.3,67.4
Employment rate,61.9,70.9,65.5,62.7,65,57.5,62.6,62.5,63.6
Unemployment rate,6.5,3.9,5.4,5.8,6.1,4.2,7.4,7.2,5.7
Population 15 to 24 years - Labour force activity,2175,4950,7630,7750,15020,7360,9380,11560,54260
  In the labour force,1325,3680,4845,4715,9720,4680,5735,7065,34705
    Employed,1185,3385,4290,4220,8860,4230,5035,6220,31205
    Unemployed,140,300,555,495,860,450,700,845,3500
  Not in the labour force,850,1270,2785,3035,5295,2680,3640,4495,19560
Participation rate,60.9,74.3,63.5,60.8,64.7,63.6,61.1,61.1,64
Employment rate,54.5,68.4,56.2,54.5,59,57.5,53.7,53.8,57.5
Unemployment rate,10.6,8.2,11.5,10.5,8.8,9.6,12.2,12,10.1
Population 25 years and over - Labour force activity,12280,24550,32795,33565,70155,42950,42305,54590,258610
  In the labour force,8245,18080,23150,22800,49215,25510,29230,37475,176230
    Employed,7765,17535,22180,21695,46470,24690,27340,35105,167680
    Unemployed,480,545,970,1105,2745,820,1885,2365,8545
  Not in the labour force,4035,6470,9645,10770,20940,17440,13080,17115,82380
Participation rate,67.1,73.6,70.6,67.9,70.2,59.4,69.1,68.6,68.1
Employment rate,63.2,71.4,67.6,64.6,66.2,57.5,64.6,64.3,64.8
Unemployment rate,5.8,3,4.2,4.8,5.6,3.2,6.4,6.3,4.8
Males 15 years and over - Labour force activity,7115,14405,19595,20140,41335,23765,25925,33045,152285
  In the labour force,5100,11330,14735,14440,31500,15760,19110,24210,111980
    Employed,4820,10950,14040,13730,30160,15150,17940,22760,106795
    Unemployed,280,380,700,715,1340,610,1165,1450,5185
  Not in the labour force,2015,3080,4865,5695,9835,8005,6820,8835,40305
Participation rate,71.7,78.7,75.2,71.7,76.2,66.3,73.7,73.3,73.5
Employment rate,67.7,76,71.7,68.2,73,63.7,69.2,68.9,70.1
Unemployment rate,5.5,3.4,4.8,5,4.3,3.9,6.1,6,4.6
Males 15 to 24 years - Labour force activity,1070,2595,3915,4090,7565,3800,4895,5960,27930
  In the labour force,675,1880,2480,2465,5010,2380,2930,3610,17825
    Employed,650,1715,2215,2255,4595,2155,2565,3215,16155
    Unemployed,35,165,265,210,420,220,360,395,1670
  Not in the labour force,390,710,1435,1625,2555,1420,1965,2350,10105
Participation rate,63.1,72.4,63.3,60.3,66.2,62.6,59.9,60.6,63.8
Employment rate,60.7,66.1,56.6,55.1,60.7,56.7,52.4,53.9,57.8
Unemployment rate,5.2,8.8,10.7,8.5,8.4,9.2,12.3,10.9,9.4
Males 25 years and over - Labour force activity,6045,11805,15680,16050,33765,19965,21035,27085,124350
  In the labour force,4420,9440,12255,11985,26490,13385,16180,20600,94155
    Employed,4175,9230,11820,11475,25570,12995,15375,19545,90640
    Unemployed,250,210,430,505,925,385,805,1055,3510
  Not in the labour force,1625,2360,3425,4070,7275,6580,4855,6480,30200
Participation rate,73.1,80,78.2,74.7,78.5,67,76.9,76.1,75.7
Employment rate,69.1,78.2,75.4,71.5,75.7,65.1,73.1,72.2,72.9
Unemployment rate,5.7,2.2,3.5,4.2,3.5,2.9,5,5.1,3.7
Females 15 years and over - Labour force activity,7345,15100,20825,21175,43840,26550,25760,33105,160590
  In the labour force,4470,10435,13255,13070,27435,14430,15860,20330,98955
    Employed,4125,9970,12435,12185,25175,13765,14435,18565,92095
    Unemployed,345,465,825,885,2265,665,1415,1765,6865
  Not in the labour force,2875,4665,7570,8105,16405,12115,9900,12775,61635
Participation rate,60.9,69.1,63.6,61.7,62.6,54.4,61.6,61.4,61.6
Employment rate,56.2,66,59.7,57.5,57.4,51.8,56,56.1,57.3
Unemployment rate,7.7,4.5,6.2,6.8,8.3,4.6,8.9,8.7,6.9
Females 15 to 24 years - Labour force activity,1110,2355,3710,3660,7450,3560,4485,5595,26330
  In the labour force,645,1800,2360,2250,4705,2300,2805,3455,16875
    Employed,540,1665,2075,1970,4270,2075,2470,3005,15050
    Unemployed,110,130,285,285,440,235,340,445,1830
  Not in the labour force,460,555,1350,1405,2740,1260,1680,2145,9455
Participation rate,58.1,76.4,63.6,61.5,63.2,64.6,62.5,61.8,64.1
Employment rate,48.6,70.7,55.9,53.8,57.3,58.3,55.1,53.7,57.2
Unemployment rate,17.1,7.2,12.1,12.7,9.4,10.2,12.1,12.9,10.8
Females 25 years and over - Labour force activity,6235,12750,17120,17515,36390,22990,21270,27505,134260
  In the labour force,3830,8640,10900,10815,22725,12125,13050,16875,82080
    Employed,3595,8300,10360,10215,20905,11695,11970,15560,77040
    Unemployed,235,330,535,600,1820,430,1080,1315,5035
  Not in the labour force,2410,4110,6220,6700,13665,10860,8220,10630,52180
Participation rate,61.4,67.8,63.7,61.7,62.4,52.7,61.4,61.4,61.1
Employment rate,57.7,65.1,60.5,58.3,57.4,50.9,56.3,56.6,57.4
Unemployment rate,6.1,3.8,4.9,5.5,8,3.5,8.3,7.8,6.1
Total labour force 15 years and over by class of worker,9570,21760,27995,27515,58940,30190,34965,44535,210935
  Class of worker - Not applicable,235,195,385,595,920,305,735,970,3370
  All classes of worker,9335,21570,27610,26915,58015,29890,34235,43565,207565
    Paid workers,8625,19995,25660,24880,54200,26925,31720,40345,192010
      Employees,8425,19145,24520,23730,51845,24420,30435,38860,182520
      Self-employed (incorporated),200,850,1145,1150,2355,2505,1285,1485,9490
        Without paid help,90,255,345,415,980,885,560,645,3525
        With paid help,115,595,795,740,1375,1625,725,840,5965
    Self-employed (unincorporated),695,1515,1865,1970,3710,2875,2415,3115,15045
      Without paid help,415,970,1195,1145,2210,1910,1465,1875,9310
      With paid help,280,550,665,820,1500,965,955,1235,5735
    Unpaid family workers,15,60,85,70,105,90,95,110,510
Male labour force 15 years and over - class of worker,5100,11325,14735,14440,31500,15760,19105,24210,111980
  Class of worker - Not applicable,100,90,165,275,300,120,305,405,1355
  All classes of worker,5005,11235,14565,14170,31200,15640,18800,23805,110615
    Paid workers,4520,10255,13400,12905,28665,13795,17080,21600,100630
      Employees,4380,9660,12480,11990,26770,11985,15990,20365,93240
      Self-employed (incorporated),140,600,925,920,1900,1810,1095,1235,7385
        Without paid help,50,160,280,340,800,650,480,525,2755
        With paid help,95,440,650,575,1100,1160,610,705,4630
    Self-employed (unincorporated),485,955,1140,1250,2515,1815,1705,2185,9865
      Without paid help,285,565,660,735,1405,1105,990,1275,5745
      With paid help,195,390,480,515,1105,710,715,910,4115
    Unpaid family workers,0,25,25,10,25,25,20,15,125
Female labour force 15 years and over - class of worker,4470,10435,13255,13070,27435,14435,15860,20330,98960
  Class of worker - Not applicable,140,100,215,325,620,175,425,570,2010
  All classes of worker,4330,10335,13045,12745,26820,14250,15430,19760,96950
    Paid workers,4105,9740,12265,11970,25530,13130,14635,18745,91380
      Employees,4045,9490,12045,11745,25075,12435,14445,18490,89280
      Self-employed (incorporated),60,250,220,230,455,690,195,250,2100
        Without paid help,40,100,70,70,180,235,80,115,765
        With paid help,20,155,150,160,275,460,115,135,1335
    Self-employed (unincorporated),215,565,720,715,1200,1055,710,930,5185
      Without paid help,130,405,540,415,805,800,475,600,3565
      With paid help,90,160,185,305,390,255,235,325,1615
    Unpaid family workers,15,30,60,55,85,65,75,90,385
Total labour force 15 years and over by occupation - National Occupational Classification for Statistics 2006,9570,21760,27990,27510,58935,30195,34960,44535,210930
  Occupation - Not applicable,240,190,385,600,920,305,730,970,3370
  All occupations,9335,21570,27610,26915,58015,29890,34230,43565,207565
    A Management occupations,520,2470,2740,2610,4405,5040,1970,2490,19760
      A0 Senior management occupations,0,215,135,195,430,865,140,140,1985
      A1 Specialist managers,175,650,695,595,970,1380,460,635,4930
"      A2 Managers in retail trade, food and accommodation services",200,780,970,870,1425,955,635,840,5835
"      A3 Other managers, n.e.c.",145,820,940,950,1580,1840,735,880,7000
"    B Business, finance and administration occupations",1850,4540,5140,5225,9865,5700,5635,7485,37960
      B0 Professional occupations in business and finance,165,475,545,510,1030,1150,480,640,4355
      B1 Finance and insurance administration occupations,80,430,495,395,745,480,310,395,2945
      B2 Secretaries,140,345,360,415,825,555,265,410,2905
      B3 Administrative and regulatory occupations,225,630,615,500,1020,845,545,775,4385
      B4 Clerical supervisors,60,195,180,225,320,115,200,260,1290
      B5 Clerical occupations,1180,2465,2950,3175,5920,2550,3835,5015,22080
    C Natural and applied sciences and related occupations,595,1005,1515,1600,2540,2110,1090,1685,10460
      C0 Professional occupations in natural and applied sciences,245,410,660,745,1230,1080,410,650,4775
      C1 Technical occupations related to natural and applied sciences,350,600,860,855,1315,1030,680,1035,5685
    D Health occupations,500,990,1705,1505,2925,1855,1575,2075,11060
      D0 Professional occupations in health,20,120,145,170,295,630,100,125,1485
      D1 Nurse supervisors and registered nurses,110,340,510,440,830,590,405,520,3235
      D2 Technical and related occupations in health,120,235,425,350,600,395,230,350,2360
      D3 Assisting occupations in support of health services,245,300,625,540,1195,235,835,1080,3970
"    E Occupations in social science, education, government service and religion",375,1360,1490,1575,2900,2620,1325,1705,11645
"      E0 Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",95,320,345,385,565,760,325,420,2800
      E1 Teachers and professors,100,665,605,490,1185,1375,485,585,4910
"      E2 Paralegals, social services workers and occupations in education and religion, n.e.c.",180,380,530,685,1155,485,515,695,3930
"    F Occupations in art, culture, recreation and sport",185,380,520,590,1030,1010,490,675,4205
      F0 Professional occupations in art and culture,80,140,235,230,390,400,185,260,1660
"      F1 Technical occupations in art, culture, recreation and sport",105,240,280,355,640,610,310,415,2550
    G Sales and service occupations,2550,5600,6995,7145,14690,6825,9300,11850,53100
      G0 Sales and service supervisors,85,185,240,260,475,180,335,420,1755
"      G1 Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",155,570,705,530,1265,945,600,760,4770
      G2 Retail salespersons and sales clerks,305,1185,1465,1425,2290,1455,1450,1755,9575
      G3 Cashiers,220,505,645,585,1435,440,715,930,4535
      G4 Chefs and cooks,250,215,410,425,805,320,655,900,3070
      G5 Occupations in food and beverage service,145,375,330,345,490,440,340,480,2465
      G6 Occupations in protective services,225,595,480,525,1595,490,770,1005,4695
"      G7 Occupations in travel and accommodation, including attendants in recreation and sport",95,170,235,325,540,375,305,395,2045
      G8 Child care and home support workers,200,350,435,420,880,460,565,765,3310
"      G9 Sales and service occupations, n.e.c.",865,1450,2050,2305,4915,1725,3575,4440,16890
"    H Trades, transport and equipment operators and related occupations",1905,3875,5090,4480,12375,3385,8490,10395,39595
      H0 Contractors and supervisors in trades and transportation,40,315,215,160,390,205,290,330,1620
      H1 Construction trades,355,730,1140,1030,2345,740,1805,2165,8150
"      H2 Stationary engineers, power station operators and electrical trades and telecommunications occupations",60,350,360,310,510,285,320,380,2195
"      H3 Machinists, metal forming, shaping and erecting occupations",200,375,300,455,690,195,500,695,2715
      H4 Mechanics,215,505,555,460,1225,475,870,1085,4295
"      H5 Other trades, n.e.c.",80,205,330,185,515,150,375,450,1840
"      H6 Heavy equipment and crane operators, including drillers",30,75,85,120,185,120,160,185,775
"      H7 Transportation equipment operators and related workers, excluding labourers",435,695,1165,835,4070,630,2460,2900,10295
"      H8 Trades helpers, construction and transportation labourers and related occupations",485,625,930,920,2440,590,1715,2205,7710
    I Occupations unique to primary industry,175,585,660,505,2735,790,1130,1305,6585
"      I0 Occupations unique to agriculture, excluding labourers",55,305,295,215,1565,385,495,545,3315
"      I1 Occupations unique to forestry operations, mining, oil and gas extraction and fishing, excluding labourers",10,45,20,50,120,50,95,105,395
      I2 Primary production labourers,115,235,345,240,1045,350,540,655,2870
"    J Occupations unique to processing, manufacturing and utilities",675,760,1750,1690,4555,550,3230,3905,13205
      J0 Supervisors in manufacturing,45,55,130,90,225,70,160,205,775
      J1 Machine operators in manufacturing,290,300,560,635,1755,220,1035,1325,4800
      J2 Assemblers in manufacturing,135,210,460,460,880,105,875,1010,3135
"      J3 Labourers in processing, manufacturing and utilities",205,195,600,500,1695,155,1155,1360,4505
Male labour force 15 years and over by occupation - National Occupational Classification for Statistics 2006,5100,11330,14735,14445,31500,15760,19105,24210,111975
  Occupation - Not applicable,95,95,170,275,300,125,310,405,1360
  All occupations,5000,11240,14565,14170,31200,15635,18805,23805,110620
    A Management occupations,290,1545,1750,1775,2845,3400,1280,1570,12875
      A0 Senior management occupations,0,170,115,145,300,720,115,115,1565
      A1 Specialist managers,85,380,495,435,635,915,340,425,3290
"      A2 Managers in retail trade, food and accommodation services",105,455,550,515,795,565,385,485,3365
"      A3 Other managers, n.e.c.",100,535,585,680,1110,1200,450,545,4660
"    B Business, finance and administration occupations",515,1185,1475,1430,2840,1550,1590,2110,10585
      B0 Professional occupations in business and finance,75,235,260,220,540,665,220,300,2215
      B1 Finance and insurance administration occupations,40,75,140,85,180,80,45,85,640
      B2 Secretaries,0,10,15,0,10,0,10,10,45
      B3 Administrative and regulatory occupations,70,140,170,125,200,205,110,180,1015
      B4 Clerical supervisors,25,115,90,125,155,50,60,90,635
      B5 Clerical occupations,305,615,800,870,1760,550,1140,1445,6035
    C Natural and applied sciences and related occupations,520,840,1320,1320,2055,1745,890,1415,8690
      C0 Professional occupations in natural and applied sciences,235,340,575,590,1000,910,310,545,3965
      C1 Technical occupations related to natural and applied sciences,290,495,745,725,1055,840,580,870,4720
    D Health occupations,80,155,300,315,480,465,250,330,2050
      D0 Professional occupations in health,0,45,65,95,145,340,45,45,735
      D1 Nurse supervisors and registered nurses,0,30,30,25,65,20,25,20,195
      D2 Technical and related occupations in health,35,55,100,120,145,60,55,95,570
      D3 Assisting occupations in support of health services,45,25,110,75,130,40,130,175,545
"    E Occupations in social science, education, government service and religion",140,415,405,465,865,880,355,495,3515
"      E0 Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",60,160,160,200,245,355,105,165,1285
      E1 Teachers and professors,45,205,150,135,405,465,160,205,1560
"      E2 Paralegals, social services workers and occupations in education and religion, n.e.c.",35,50,95,140,215,60,90,120,670
"    F Occupations in art, culture, recreation and sport",120,155,180,305,555,450,245,360,1995
      F0 Professional occupations in art and culture,50,60,70,100,170,205,110,160,765
"      F1 Technical occupations in art, culture, recreation and sport",70,95,110,205,380,240,130,195,1230
    G Sales and service occupations,955,2305,2985,2840,6355,2965,3635,4590,22045
      G0 Sales and service supervisors,40,55,85,110,210,90,130,170,720
"      G1 Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",55,340,435,325,850,610,390,445,3000
      G2 Retail salespersons and sales clerks,125,525,660,530,1055,555,600,730,4055
      G3 Cashiers,40,40,95,80,200,65,80,125,605
      G4 Chefs and cooks,135,110,195,240,310,220,275,410,1490
      G5 Occupations in food and beverage service,25,35,70,65,115,70,75,95,455
      G6 Occupations in protective services,195,515,385,375,1355,435,560,760,3825
"      G7 Occupations in travel and accommodation, including attendants in recreation and sport",35,15,95,100,245,110,125,160,735
      G8 Child care and home support workers,15,0,60,70,110,55,75,90,395
"      G9 Sales and service occupations, n.e.c.",280,650,905,950,1900,760,1330,1605,6770
"    H Trades, transport and equipment operators and related occupations",1750,3670,4755,4235,11515,3155,7925,9675,37000
      H0 Contractors and supervisors in trades and transportation,35,305,200,150,365,200,270,305,1525
      H1 Construction trades,350,700,1075,1010,2225,680,1720,2070,7760
"      H2 Stationary engineers, power station operators and electrical trades and telecommunications occupations",60,340,360,300,500,275,310,370,2135
"      H3 Machinists, metal forming, shaping and erecting occupations",180,375,305,440,650,195,480,665,2625
      H4 Mechanics,215,500,545,450,1210,475,860,1075,4255
"      H5 Other trades, n.e.c.",70,175,250,150,400,135,325,395,1505
"      H6 Heavy equipment and crane operators, including drillers",30,70,80,125,175,120,150,175,755
"      H7 Transportation equipment operators and related workers, excluding labourers",400,635,1115,780,3870,570,2330,2730,9705
"      H8 Trades helpers, construction and transportation labourers and related occupations",415,570,825,825,2120,510,1475,1890,6740
    I Occupations unique to primary industry,145,390,375,345,1175,575,635,775,3625
"      I0 Occupations unique to agriculture, excluding labourers",40,180,135,120,620,215,235,275,1550
"      I1 Occupations unique to forestry operations, mining, oil and gas extraction and fishing, excluding labourers",10,40,20,45,105,50,80,85,345
      I2 Primary production labourers,95,165,215,180,445,300,315,410,1725
"    J Occupations unique to processing, manufacturing and utilities",485,590,1025,1145,2530,450,2005,2495,8230
      J0 Supervisors in manufacturing,25,55,90,55,155,65,110,135,560
      J1 Machine operators in manufacturing,225,230,385,430,1050,195,715,935,3225
      J2 Assemblers in manufacturing,110,165,315,355,595,80,625,735,2255
"      J3 Labourers in processing, manufacturing and utilities",130,140,230,305,725,105,555,685,2190
Female labour force 15 years and over by occupation - National Occupational Classification for Statistics 2006,4475,10435,13255,13070,27435,14430,15855,20330,98955
  Occupation - Not applicable,140,100,215,325,615,180,425,570,2010
  All occupations,4330,10335,13040,12740,26815,14255,15425,19760,96945
    A Management occupations,240,925,995,835,1560,1635,690,925,6885
      A0 Senior management occupations,0,50,15,50,135,145,25,30,420
      A1 Specialist managers,90,270,200,160,335,460,120,210,1645
"      A2 Managers in retail trade, food and accommodation services",100,330,425,355,630,390,255,355,2470
"      A3 Other managers, n.e.c.",50,285,350,270,465,640,285,335,2345
"    B Business, finance and administration occupations",1335,3360,3670,3795,7030,4150,4040,5380,27370
      B0 Professional occupations in business and finance,90,240,280,295,495,490,255,340,2140
      B1 Finance and insurance administration occupations,45,355,350,310,570,405,265,310,2305
      B2 Secretaries,140,335,340,415,815,555,255,400,2860
      B3 Administrative and regulatory occupations,155,490,455,375,820,640,440,590,3370
      B4 Clerical supervisors,30,80,90,100,160,60,130,165,660
      B5 Clerical occupations,870,1855,2145,2305,4160,1995,2700,3570,16040
    C Natural and applied sciences and related occupations,70,170,200,280,485,365,195,270,1770
      C0 Professional occupations in natural and applied sciences,10,65,85,155,225,175,95,105,805
      C1 Technical occupations related to natural and applied sciences,65,105,115,125,260,190,100,165,960
    D Health occupations,420,835,1405,1190,2440,1395,1325,1745,9010
      D0 Professional occupations in health,25,75,75,75,155,295,60,80,755
      D1 Nurse supervisors and registered nurses,110,310,485,420,770,565,390,495,3045
      D2 Technical and related occupations in health,80,180,325,235,460,335,175,260,1790
      D3 Assisting occupations in support of health services,200,275,515,465,1065,200,705,910,3425
"    E Occupations in social science, education, government service and religion",235,945,1090,1105,2040,1745,970,1205,8120
"      E0 Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",35,160,185,195,320,400,220,255,1515
      E1 Teachers and professors,55,455,460,355,780,910,325,385,3350
"      E2 Paralegals, social services workers and occupations in education and religion, n.e.c.",145,330,440,550,935,430,425,565,3260
"    F Occupations in art, culture, recreation and sport",70,225,340,280,480,560,250,320,2210
      F0 Professional occupations in art and culture,30,80,165,130,220,195,70,100,885
"      F1 Technical occupations in art, culture, recreation and sport",40,145,175,155,260,365,180,220,1315
    G Sales and service occupations,1595,3290,4005,4300,8330,3860,5665,7255,31055
      G0 Sales and service supervisors,50,130,145,155,265,85,205,250,1035
"      G1 Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",100,225,270,200,410,335,210,310,1760
      G2 Retail salespersons and sales clerks,180,655,805,895,1235,905,850,1030,5520
      G3 Cashiers,175,465,550,505,1230,375,630,805,3930
      G4 Chefs and cooks,110,105,210,185,490,100,375,490,1585
      G5 Occupations in food and beverage service,120,340,255,280,370,370,265,385,2010
      G6 Occupations in protective services,30,80,95,150,240,60,210,240,870
"      G7 Occupations in travel and accommodation, including attendants in recreation and sport",55,150,140,225,290,260,180,240,1310
      G8 Child care and home support workers,185,345,380,350,770,405,490,670,2915
"      G9 Sales and service occupations, n.e.c.",585,800,1150,1355,3020,965,2245,2830,10120
"    H Trades, transport and equipment operators and related occupations",150,200,330,255,860,230,565,720,2595
      H0 Contractors and supervisors in trades and transportation,10,10,15,10,30,0,20,25,95
      H1 Construction trades,0,25,70,20,120,60,85,95,390
"      H2 Stationary engineers, power station operators and electrical trades and telecommunications occupations",0,10,0,10,15,10,10,10,55
"      H3 Machinists, metal forming, shaping and erecting occupations",20,0,0,10,45,0,15,30,90
      H4 Mechanics,0,10,0,10,15,0,10,10,40
"      H5 Other trades, n.e.c.",10,25,80,35,115,20,50,60,335
"      H6 Heavy equipment and crane operators, including drillers",0,0,0,0,0,0,10,10,20
"      H7 Transportation equipment operators and related workers, excluding labourers",35,60,55,50,195,55,130,170,590
"      H8 Trades helpers, construction and transportation labourers and related occupations",70,55,105,105,320,80,240,310,975
    I Occupations unique to primary industry,35,195,285,160,1560,220,495,525,2955
"      I0 Occupations unique to agriculture, excluding labourers",10,125,155,100,945,170,255,270,1760
"      I1 Occupations unique to forestry operations, mining, oil and gas extraction and fishing, excluding labourers",0,10,0,10,15,10,20,15,50
      I2 Primary production labourers,25,70,130,60,600,45,220,245,1145
"    J Occupations unique to processing, manufacturing and utilities",190,180,720,540,2030,100,1220,1410,4980
      J0 Supervisors in manufacturing,20,0,35,30,70,0,50,70,210
      J1 Machine operators in manufacturing,65,75,175,205,700,25,320,390,1575
      J2 Assemblers in manufacturing,25,45,145,115,285,20,250,275,885
"      J3 Labourers in processing, manufacturing and utilities",80,50,365,195,970,55,600,680,2315
Total labour force 15 years and over by industry - North American Industry Classification System 2002,9570,21760,27990,27515,58935,30195,34960,44535,210930
  Industry - Not applicable,235,195,385,595,920,305,735,970,3370
  All industries,9335,21570,27605,26915,58020,29890,34230,43565,207560
"    11 Agriculture, forestry, fishing and hunting",65,490,525,380,2640,470,850,915,5420
    21 Mining and oil and gas extraction,15,95,35,30,75,95,60,80,420
    22 Utilities,20,110,135,200,180,165,100,115,905
    23 Construction,770,1945,2325,2220,4655,2325,3420,4190,17655
    31-33 Manufacturing,1145,2145,3230,3205,7235,1985,4960,6105,23905
    41 Wholesale trade,580,1385,1515,1615,3090,1820,1745,2320,11750
    44-45 Retail trade,915,3000,3315,3350,6640,2940,3620,4540,23790
    48-49 Transportation and warehousing,780,1450,2025,1610,6070,1815,3615,4390,17365
    51 Information and cultural industries,160,420,665,595,1110,855,645,805,4455
    52 Finance and insurance,335,905,1360,1035,2410,1580,1070,1400,8695
    53 Real estate and rental and leasing,250,385,600,585,1085,855,580,830,4345
"    54 Professional, scientific and technical services",565,1155,1550,1550,2730,2740,1265,1825,11550
    55 Management of companies and enterprises,15,30,70,10,65,115,25,45,335
"    56 Administrative and support, waste management and remediation services",780,800,1260,1645,3620,1075,2550,3330,11735
    61 Educational services,295,1390,1280,1380,2425,2415,1265,1565,10460
    62 Health care and social assistance,900,1680,2680,2520,5130,3060,2765,3665,18735
"    71 Arts, entertainment and recreation",145,400,435,395,835,805,330,470,3345
    72 Accommodation and food services,795,1415,1940,2005,3450,1840,2630,3425,14080
    81 Other services (except public administration),505,1065,1470,1450,2695,1440,1855,2360,10475
    91 Public administration,295,1300,1200,1135,1870,1480,885,1180,8160
Male labour force 15 years and over - Industry - North American Industry Classification System 2002,5100,11325,14735,14445,31500,15765,19105,24210,111975
  Industry - Not applicable,95,90,165,270,300,125,310,405,1360
  All industries,5000,11235,14565,14170,31200,15640,18805,23800,110620
"    11 Agriculture, forestry, fishing and hunting",35,250,235,230,965,250,405,435,2365
    21 Mining and oil and gas extraction,15,75,30,15,50,75,45,55,300
    22 Utilities,20,60,100,110,140,130,70,90,630
    23 Construction,670,1705,2035,1940,4090,1960,3080,3750,15480
    31-33 Manufacturing,850,1585,2220,2315,4915,1500,3345,4190,16725
    41 Wholesale trade,325,930,945,1185,1815,1220,1075,1400,7490
    44-45 Retail trade,350,1285,1545,1405,3125,1195,1670,2020,10570
    48-49 Transportation and warehousing,605,1095,1630,1185,5060,1300,3035,3635,13910
    51 Information and cultural industries,140,225,425,370,650,570,310,450,2695
    52 Finance and insurance,85,280,485,310,865,720,365,450,3110
    53 Real estate and rental and leasing,135,205,335,340,725,425,345,480,2515
"    54 Professional, scientific and technical services",280,630,860,885,1400,1620,580,860,6255
    55 Management of companies and enterprises,10,15,25,10,60,45,0,10,165
"    56 Administrative and support, waste management and remediation services",450,495,730,910,2000,655,1410,1860,6650
    61 Educational services,115,410,385,430,815,740,410,530,3300
    62 Health care and social assistance,155,215,450,415,765,555,380,535,2940
"    71 Arts, entertainment and recreation",80,160,200,185,380,400,145,215,1545
    72 Accommodation and food services,290,395,665,750,1025,765,745,1040,4650
    81 Other services (except public administration),270,495,650,725,1420,645,990,1265,5205
    91 Public administration,130,720,610,450,940,860,410,535,4110
Female labour force 15 years and over - Industry - North American Industry Classification System 2002,4475,10440,13255,13070,27435,14430,15855,20330,98955
  Industry - Not applicable,140,100,215,325,620,175,430,565,2010
  All industries,4335,10330,13040,12745,26815,14255,15430,19760,96945
"    11 Agriculture, forestry, fishing and hunting",30,230,290,150,1680,220,450,480,3055
    21 Mining and oil and gas extraction,10,20,0,15,30,25,20,20,120
    22 Utilities,0,45,30,90,40,40,25,25,275
    23 Construction,100,240,285,280,555,365,340,445,2175
    31-33 Manufacturing,300,555,1015,890,2320,485,1620,1915,7185
    41 Wholesale trade,255,455,570,435,1275,605,665,925,4260
    44-45 Retail trade,570,1715,1770,1945,3520,1745,1950,2520,13220
    48-49 Transportation and warehousing,175,360,390,425,1010,510,580,755,3455
    51 Information and cultural industries,25,200,235,225,460,285,335,360,1760
    52 Finance and insurance,245,630,880,725,1545,860,705,950,5585
    53 Real estate and rental and leasing,110,180,265,245,360,435,230,340,1830
"    54 Professional, scientific and technical services",285,525,690,660,1325,1120,685,970,5295
    55 Management of companies and enterprises,10,10,40,0,0,65,25,30,160
"    56 Administrative and support, waste management and remediation services",330,305,525,735,1625,420,1145,1470,5080
    61 Educational services,180,980,895,950,1610,1675,855,1035,7155
    62 Health care and social assistance,745,1460,2230,2105,4365,2500,2385,3130,15795
"    71 Arts, entertainment and recreation",65,235,240,210,455,405,185,250,1795
    72 Accommodation and food services,500,1020,1275,1255,2420,1080,1885,2385,9430
    81 Other services (except public administration),235,570,820,730,1275,785,865,1095,5275
    91 Public administration,170,580,590,680,935,620,475,645,4050
Total employed labour force 15 years and over by place of work status,8950,20915,26470,25920,55335,28920,32375,41325,198885
    Usual place of work,6950,16835,20905,20680,42310,21300,24490,31440,153465
      In census subdivision of residence,2530,6910,9070,8175,17410,9440,9725,12255,63265
      In different census subdivision,4425,9920,11835,12505,24895,11860,14760,19185,90205
        In same census division,4315,9445,11445,11905,24175,11385,14400,18715,87060
    At home,335,1305,1630,1690,2950,3825,1505,1840,13235
    Outside Canada,60,85,195,235,255,325,135,195,1285
    No fixed workplace address,1600,2700,3740,3320,9825,3470,6250,7850,30900
  Males,4820,10950,14040,13730,30160,15150,17940,22760,106795
    Usual place of work,3450,8185,10235,10250,21095,10560,12210,15660,75990
      In census subdivision of residence,1115,3180,3925,3410,7980,4190,4525,5640,28325
      In different census subdivision,2335,5000,6310,6840,13120,6375,7685,10020,47660
        In same census division,2275,4700,6110,6470,12720,6085,7435,9710,45805
    At home,135,570,785,720,1385,1760,760,895,6120
    Outside Canada,45,65,165,195,200,250,100,145,1015
    No fixed workplace address,1190,2130,2855,2565,7475,2575,4870,6060,23665
  Females,4125,9970,12435,12185,25175,13765,14440,18565,92095
    Usual place of work,3505,8645,10675,10425,21205,10735,12280,15785,77475
      In census subdivision of residence,1415,3730,5145,4765,9435,5250,5200,6615,34935
